date	rating
19-out-1977	1517
23-out-1977	1533
3-nov-1977	1547
6-nov-1977	1550
10-nov-1977	1564
16-nov-1977	1583
20-nov-1977	1574
24-nov-1977	1559
27-nov-1977	1545
4-dez-1977	1525
11-dez-1977	1521
14-dez-1977	1543
18-dez-1977	1551
26-mar-1978	1546
2-abr-1978	1563
6-abr-1978	1563
12-abr-1978	1578
16-abr-1978	1592
23-abr-1978	1591
26-abr-1978	1579
30-abr-1978	1556
4-mai-1978	1553
7-mai-1978	1547
11-mai-1978	1564
14-mai-1978	1551
21-mai-1978	1536
24-mai-1978	1534
28-mai-1978	1550
4-jun-1978	1559
17-jun-1978	1543
24-jun-1978	1558
2-jul-1978	1580
5-jul-1978	1573
9-jul-1978	1581
13-jul-1978	1565
16-jul-1978	1542
20-jul-1978	1536
23-jul-1978	1546
23-set-1979	1559
26-set-1979	1570
28-set-1979	1573
30-set-1979	1567
3-out-1979	1565
10-out-1979	1579
17-out-1979	1587
24-out-1979	1600
4-nov-1979	1614
8-nov-1979	1624
11-nov-1979	1620
15-nov-1979	1601
18-nov-1979	1586
21-nov-1979	1572
24-nov-1979	1566
17-jan-1982	1557
20-jan-1982	1562
24-jan-1982	1572
28-jan-1982	1574
3-fev-1982	1587
7-fev-1982	1589
14-fev-1982	1618
17-fev-1982	1609
28-fev-1982	1585
7-mar-1982	1590
11-mar-1982	1585
14-mar-1982	1571
17-mar-1982	1563
25-mar-1982	1565
