date	rating
20-Jun-1937	1496
4-Jul-1937	1498
11-Jul-1937	1490
18-Jul-1937	1481
1-Aug-1937	1467
8-Aug-1937	1454
22-Aug-1937	1445
5-Sep-1937	1456
19-Sep-1937	1475
20-Mar-1938	1503
27-Mar-1938	1523
2-Oct-1938	1518
9-Oct-1938	1501
16-Oct-1938	1499
23-Oct-1938	1506
13-Nov-1938	1490
8-Jan-1939	1497
19-Mar-1939	1490
16-Apr-1939	1479
21-May-1939	1492
4-Jun-1939	1515
11-Jun-1939	1502
18-Jun-1939	1495
2-Jul-1939	1515
16-Jul-1939	1514
23-Jul-1939	1514
6-Aug-1939	1526
20-Aug-1939	1521
27-Aug-1939	1512
3-Sep-1939	1505
17-Sep-1939	1496
24-Sep-1939	1482
1-Oct-1939	1476
15-Oct-1939	1467
28-Oct-1939	1467
5-Nov-1939	1485
18-Nov-1939	1472
7-Jan-1940	1467
14-Jan-1940	1473
26-May-1940	1486
9-Jun-1940	1473
16-Jun-1940	1461
23-Jun-1940	1476
30-Jun-1940	1456
7-Jul-1940	1454
28-Jul-1940	1452
17-Aug-1940	1437
25-Aug-1940	1426
1-Sep-1940	1419
8-Sep-1940	1414
15-Sep-1940	1408
19-Sep-1940	1392
22-Sep-1940	1387
22-Sep-1940	1398
13-Oct-1940	1391
19-Oct-1940	1409
10-Nov-1940	1407
15-Nov-1940	1404
30-Nov-1940	1421
9-Mar-1941	1416
23-Mar-1941	1407
6-Apr-1941	1402
13-Apr-1941	1411
20-Apr-1941	1399
10-May-1941	1397
18-May-1941	1419
8-Jun-1941	1433
14-Jun-1941	1446
6-Jul-1941	1439
13-Jul-1941	1454
20-Jul-1941	1450
27-Jul-1941	1463
10-Aug-1941	1459
17-Aug-1941	1455
24-Aug-1941	1479
6-Sep-1941	1470
14-Sep-1941	1457
4-Oct-1941	1460
12-Oct-1941	1479
22-Mar-1942	1471
29-Mar-1942	1473
19-Apr-1942	1456
1-May-1942	1450
10-May-1942	1442
17-May-1942	1433
24-May-1942	1412
31-May-1942	1408
7-Jun-1942	1396
28-Jun-1942	1382
12-Jul-1942	1372
19-Jul-1942	1364
26-Jul-1942	1370
2-Aug-1942	1362
9-Aug-1942	1360
15-Aug-1942	1350
30-Aug-1942	1342
8-Sep-1942	1328
13-Sep-1942	1308
27-Sep-1942	1326
