date	rating
19-Oct-1977	1507
27-Oct-1977	1510
30-Oct-1977	1503
6-Nov-1977	1514
10-Nov-1977	1500
13-Nov-1977	1492
16-Nov-1977	1509
20-Nov-1977	1521
27-Nov-1977	1535
8-Dec-1977	1528
11-Dec-1977	1551
15-Dec-1977	1541
18-Dec-1977	1549
26-Mar-1978	1559
29-Mar-1978	1560
2-Apr-1978	1552
9-Apr-1978	1554
12-Apr-1978	1556
16-Apr-1978	1562
20-Apr-1978	1560
23-Apr-1978	1561
26-Apr-1978	1578
30-Apr-1978	1587
3-May-1978	1583
14-May-1978	1566
24-May-1978	1573
1-Jun-1978	1578
4-Jun-1978	1591
7-Jun-1978	1577
10-Jun-1978	1555
13-Jun-1978	1538
17-Jun-1978	1544
20-Jun-1978	1537
25-Sep-1979	1550
30-Sep-1979	1569
4-Oct-1979	1554
7-Oct-1979	1554
10-Oct-1979	1538
17-Oct-1979	1534
28-Oct-1979	1543
1-Nov-1979	1555
4-Nov-1979	1536
8-Nov-1979	1526
11-Nov-1979	1539
15-Nov-1979	1551
18-Nov-1979	1538
21-Nov-1979	1545
25-Nov-1979	1546
28-Nov-1979	1558
23-Feb-1980	1551
27-Feb-1980	1530
2-Mar-1980	1555
5-Mar-1980	1555
8-Mar-1980	1549
12-Mar-1980	1574
19-Mar-1980	1575
23-Mar-1980	1607
30-Mar-1980	1612
6-Apr-1980	1611
13-Apr-1980	1594
20-Apr-1980	1619
23-Apr-1980	1620
27-Apr-1980	1606
4-May-1980	1606
18-Jan-1981	1595
21-Jan-1981	1588
25-Jan-1981	1586
28-Jan-1981	1573
1-Feb-1981	1593
4-Feb-1981	1581
7-Feb-1981	1580
14-Feb-1981	1599
21-Feb-1981	1579
17-Jan-1982	1556
20-Jan-1982	1531
28-Jan-1982	1554
31-Jan-1982	1539
7-Feb-1982	1526
10-Feb-1982	1507
14-Feb-1982	1529
17-Feb-1982	1528
26-Jan-1983	1547
30-Jan-1983	1529
2-Feb-1983	1534
6-Feb-1983	1512
9-Feb-1983	1519
19-Feb-1983	1509
23-Feb-1983	1529
7-Mar-1983	1518
29-Jan-1984	1524
5-Feb-1984	1511
9-Feb-1984	1532
12-Feb-1984	1520
15-Feb-1984	1532
19-Feb-1984	1527
23-Feb-1984	1529
29-Feb-1984	1534
2-Mar-1984	1551
11-Mar-1984	1547
14-Mar-1984	1554
18-Mar-1984	1571
21-Mar-1984	1562
25-Mar-1984	1544
1-Apr-1984	1565
27-Jan-1985	1584
30-Jan-1985	1600
3-Feb-1985	1585
6-Feb-1985	1598
10-Feb-1985	1583
13-Feb-1985	1593
24-Feb-1985	1610
28-Feb-1985	1600
3-Mar-1985	1610
6-Mar-1985	1616
10-Mar-1985	1612
17-Mar-1985	1619
20-Mar-1985	1627
24-Mar-1985	1635
27-Mar-1985	1617
31-Mar-1985	1615
3-Apr-1985	1598
7-Apr-1985	1584
10-Apr-1985	1588
14-Apr-1985	1587
17-Apr-1985	1583
21-Apr-1985	1601
4-Jul-1985	1629
7-Jul-1985	1654
10-Jul-1985	1642
14-Jul-1985	1632
17-Jul-1985	1621
21-Jul-1985	1625
31-Aug-1986	1644
7-Sep-1986	1643
11-Sep-1986	1638
14-Sep-1986	1621
18-Sep-1986	1636
21-Sep-1986	1621
24-Sep-1986	1614
29-Sep-1986	1606
1-Oct-1986	1627
5-Oct-1986	1604
22-Oct-1986	1604
29-Oct-1986	1600
2-Nov-1986	1614
5-Nov-1986	1613
9-Nov-1986	1619
13-Nov-1986	1619
16-Nov-1986	1605
19-Nov-1986	1624
23-Nov-1986	1628
26-Nov-1986	1642
29-Nov-1986	1662
3-Dec-1986	1640
7-Dec-1986	1639
10-Dec-1986	1650
14-Dec-1986	1649
24-Jan-1987	1633
13-Sep-1987	1634
16-Sep-1987	1612
20-Sep-1987	1623
23-Sep-1987	1618
27-Sep-1987	1608
1-Oct-1987	1595
4-Oct-1987	1581
25-Oct-1987	1572
28-Oct-1987	1559
1-Nov-1987	1558
4-Nov-1987	1542
8-Nov-1987	1546
11-Nov-1987	1546
22-Nov-1987	1563
9-May-2015	1557
17-May-2015	1561
23-May-2015	1551
30-May-2015	1545
3-Jun-2015	1530
6-Jun-2015	1525
13-Jun-2015	1519
21-Jun-2015	1537
28-Jun-2015	1532
1-Jul-2015	1525
4-Jul-2015	1529
8-Jul-2015	1556
12-Jul-2015	1544
19-Jul-2015	1548
26-Jul-2015	1537
2-Aug-2015	1559
9-Aug-2015	1561
13-Aug-2015	1596
16-Aug-2015	1590
23-Aug-2015	1608
30-Aug-2015	1600
2-Sep-2015	1606
5-Sep-2015	1610
10-Sep-2015	1611
13-Sep-2015	1604
16-Sep-2015	1608
20-Sep-2015	1589
27-Sep-2015	1596
4-Oct-2015	1584
14-Oct-2015	1608
17-Oct-2015	1622
24-Oct-2015	1613
31-Oct-2015	1605
8-Nov-2015	1611
18-Nov-2015	1597
22-Nov-2015	1587
29-Nov-2015	1577
6-Dec-2015	1569
