date	rating
28-fev-1971	1516
7-mar-1971	1488
10-mar-1971	1488
18-mar-1971	1464
21-mar-1971	1464
28-mar-1971	1445
12-abr-1978	1450
14-mai-1978	1451
17-mai-1978	1472
9-jul-1978	1477
18-jul-1978	1477
23-jul-1978	1466
25-mar-1981	1487
31-mar-1981	1496
3-abr-1981	1487
9-abr-1981	1471
22-abr-1981	1455
24-abr-1981	1445
21-mar-1984	1431
29-mar-1984	1427
3-abr-1984	1420
12-abr-1984	1460
8-mai-1984	1496
10-mai-1984	1490
4-mar-1994	1473
12-mar-1994	1482
18-mar-1994	1503
24-mar-1994	1519
12-abr-1994	1511
15-abr-1994	1499
20-abr-1994	1506
27-abr-1994	1512
27-jul-1994	1537
3-ago-1994	1537
10-ago-1994	1556
17-ago-1994	1544
13-mar-1996	1566
26-mar-1996	1581
3-abr-1996	1567
9-abr-1996	1535
12-abr-1996	1530
16-abr-1996	1541
30-abr-1996	1546
8-mai-1996	1565
15-mai-1996	1571
22-mai-1996	1563
17-fev-2000	1550
2-mar-2000	1580
9-mar-2000	1592
15-mar-2000	1616
21-mar-2000	1594
6-abr-2000	1605
3-mai-2000	1581
10-mai-2000	1560
7-fev-2001	1588
22-fev-2001	1573
15-mar-2001	1583
22-mar-2001	1620
4-abr-2001	1606
19-abr-2001	1600
10-mai-2001	1591
16-mai-2001	1597
3-fev-2005	1604
10-fev-2005	1613
15-fev-2005	1627
1-mar-2005	1641
17-mar-2005	1624
7-abr-2005	1614
19-abr-2005	1583
3-mai-2005	1597
17-mai-2005	1605
26-mai-2005	1591
28-jan-2010	1587
4-fev-2010	1559
17-fev-2011	1572
24-fev-2011	1596
9-mar-2011	1602
17-mar-2011	1607
7-abr-2011	1596
14-abr-2011	1591
8-fev-2012	1568
23-fev-2012	1571
8-mar-2012	1551
20-mar-2012	1533
4-abr-2012	1567
17-abr-2012	1584
