date	rating
16-mar-1930	1483
23-mar-1930	1464
6-abr-1930	1492
13-abr-1930	1481
20-abr-1930	1460
27-abr-1930	1456
3-mai-1930	1469
11-mai-1930	1458
18-mai-1930	1449
24-mai-1930	1456
1-jun-1930	1442
8-jun-1930	1433
15-jun-1930	1441
24-ago-1930	1453
31-ago-1930	1463
7-set-1930	1486
14-set-1930	1503
21-set-1930	1497
28-set-1930	1483
12-out-1930	1472
19-out-1930	1482
16-nov-1930	1490
30-nov-1930	1487
7-dez-1930	1467
14-dez-1930	1454
21-dez-1930	1465
29-mar-1931	1451
5-abr-1931	1462
12-abr-1931	1476
30-abr-1931	1488
10-mai-1931	1483
17-mai-1931	1469
31-mai-1931	1463
7-jun-1931	1455
14-jun-1931	1464
21-jun-1931	1471
28-jun-1931	1464
20-set-1931	1460
4-out-1931	1460
18-out-1931	1459
25-out-1931	1466
1-nov-1931	1455
8-nov-1931	1451
15-nov-1931	1465
22-nov-1931	1458
29-nov-1931	1450
6-dez-1931	1436
13-dez-1931	1453
20-dez-1931	1472
27-dez-1931	1464
3-jan-1932	1473
10-jan-1932	1480
1-mai-1932	1495
15-mai-1932	1519
22-mai-1932	1523
5-jun-1932	1541
12-jun-1932	1536
19-jun-1932	1544
26-jun-1932	1538
6-nov-1932	1552
20-nov-1932	1549
27-nov-1932	1558
18-dez-1932	1567
20-jun-1937	1582
27-jun-1937	1568
4-jul-1937	1566
25-jul-1937	1553
8-ago-1937	1542
22-ago-1937	1541
29-ago-1937	1557
5-set-1937	1571
19-set-1937	1583
17-out-1937	1585
31-out-1937	1565
7-nov-1937	1549
21-nov-1937	1544
28-nov-1937	1549
13-mar-1938	1539
3-abr-1938	1525
25-set-1938	1543
16-out-1938	1554
13-nov-1938	1571
4-dez-1938	1557
18-dez-1938	1557
8-jan-1939	1544
19-mar-1939	1555
26-mar-1939	1550
9-abr-1939	1535
21-mai-1939	1525
28-mai-1939	1520
11-jun-1939	1519
18-jun-1939	1531
25-jun-1939	1518
9-jul-1939	1508
16-jul-1939	1529
23-jul-1939	1528
30-jul-1939	1545
20-ago-1939	1555
3-set-1939	1547
24-set-1939	1556
1-out-1939	1541
8-out-1939	1533
22-out-1939	1527
29-out-1939	1543
5-nov-1939	1525
12-nov-1939	1541
7-jan-1940	1519
21-jan-1940	1526
26-mai-1940	1515
2-jun-1940	1526
9-jun-1940	1517
16-jun-1940	1514
23-jun-1940	1508
30-jun-1940	1490
14-jul-1940	1465
17-ago-1940	1479
25-ago-1940	1477
1-set-1940	1463
8-set-1940	1453
15-set-1940	1446
22-set-1940	1472
29-set-1940	1468
20-out-1940	1456
3-nov-1940	1450
17-nov-1940	1437
30-nov-1940	1420
14-dez-1940	1412
29-dez-1940	1395
9-mar-1941	1386
23-mar-1941	1375
12-abr-1941	1385
20-abr-1941	1403
11-mai-1941	1399
18-mai-1941	1378
25-mai-1941	1376
8-jun-1941	1371
29-jun-1941	1366
6-jul-1941	1373
20-jul-1941	1378
3-ago-1941	1385
10-ago-1941	1376
17-ago-1941	1365
24-ago-1941	1363
31-ago-1941	1360
14-set-1941	1373
21-set-1941	1382
4-out-1941	1396
19-out-1941	1410
22-mar-1942	1431
5-abr-1942	1424
12-abr-1942	1418
19-abr-1942	1424
3-mai-1942	1412
17-mai-1942	1424
7-jun-1942	1421
14-jun-1942	1410
21-jun-1942	1404
28-jun-1942	1419
12-jul-1942	1434
19-jul-1942	1455
26-jul-1942	1460
2-ago-1942	1449
9-ago-1942	1444
23-ago-1942	1458
30-ago-1942	1451
8-set-1942	1465
20-set-1942	1477
27-set-1942	1472
21-mar-1943	1465
28-mar-1943	1459
3-abr-1943	1467
18-abr-1943	1484
25-abr-1943	1501
1-mai-1943	1518
8-mai-1943	1524
16-mai-1943	1512
6-jun-1943	1528
20-jun-1943	1523
11-jul-1943	1546
18-jul-1943	1541
31-jul-1943	1553
8-ago-1943	1565
15-ago-1943	1569
22-ago-1943	1565
29-ago-1943	1576
7-set-1943	1560
12-set-1943	1561
25-set-1943	1566
19-mar-1944	1567
26-mar-1944	1572
2-abr-1944	1578
9-abr-1944	1588
15-abr-1944	1599
23-abr-1944	1572
27-mai-1944	1579
11-jun-1944	1575
18-jun-1944	1579
25-jun-1944	1572
9-jul-1944	1556
16-jul-1944	1552
23-jul-1944	1544
29-jul-1944	1542
5-ago-1944	1545
19-ago-1944	1541
3-set-1944	1553
10-set-1944	1546
8-out-1944	1552
15-out-1944	1526
1-abr-1945	1505
8-abr-1945	1522
15-abr-1945	1532
15-abr-1945	1525
28-abr-1945	1520
13-mai-1945	1516
20-mai-1945	1499
27-mai-1945	1509
3-jun-1945	1518
17-jun-1945	1505
1-jul-1945	1498
14-jul-1945	1505
22-jul-1945	1490
29-jul-1945	1487
4-ago-1945	1495
19-ago-1945	1483
8-set-1945	1480
16-set-1945	1494
29-set-1945	1493
7-out-1945	1479
7-abr-1946	1471
14-abr-1946	1469
21-abr-1946	1481
4-mai-1946	1495
12-mai-1946	1474
19-mai-1946	1474
2-jun-1946	1470
15-jun-1946	1458
14-jul-1946	1455
21-jul-1946	1441
3-ago-1946	1421
