date	rating
15-fev-1970	1526
21-fev-1970	1510
1-mar-1970	1534
14-mar-1970	1532
16-mar-1970	1509
22-mar-1970	1527
12-abr-1970	1517
22-abr-1970	1537
29-abr-1970	1541
2-mai-1970	1533
16-fev-1975	1554
23-fev-1975	1564
5-mar-1975	1559
9-mar-1975	1557
16-mar-1975	1564
19-mar-1975	1560
4-mai-1975	1562
7-mai-1975	1582
22-mai-1975	1567
27-mai-1975	1542
14-mar-1976	1541
21-mar-1976	1566
24-mar-1976	1576
4-abr-1976	1574
11-abr-1976	1583
14-abr-1976	1564
22-abr-1976	1577
5-mai-1976	1589
9-mai-1976	1581
26-mai-1976	1552
30-mai-1976	1545
27-jun-1978	1567
30-jun-1978	1572
5-jul-1978	1546
18-jul-1978	1529
20-jul-1978	1518
26-jul-1978	1533
7-mar-1982	1505
14-mar-1982	1529
18-ago-1982	1528
22-ago-1982	1532
7-set-1982	1517
10-set-1982	1502
20-fev-1991	1518
8-mar-1991	1547
13-mar-1991	1544
19-mar-1991	1513
22-mar-1991	1496
5-abr-1991	1503
17-abr-1991	1507
25-abr-1991	1491
21-fev-1999	1521
5-mar-1999	1537
12-mar-1999	1552
17-mar-1999	1528
6-abr-1999	1525
9-abr-1999	1503
14-abr-1999	1497
21-abr-1999	1521
22-fev-2000	1513
3-mar-2000	1502
14-mar-2000	1490
5-abr-2000	1498
11-abr-2000	1493
19-abr-2000	1498
10-fev-2004	1528
25-fev-2004	1546
4-mar-2004	1589
10-mar-2004	1581
25-mar-2004	1561
7-abr-2004	1585
5-mai-2004	1619
11-mai-2004	1605
3-fev-2005	1634
10-fev-2005	1605
24-fev-2005	1577
8-mar-2005	1595
17-mar-2005	1619
6-abr-2005	1607
27-abr-2005	1608
11-mai-2005	1608
17-mai-2005	1628
26-mai-2005	1612
7-fev-2006	1588
16-fev-2006	1598
7-mar-2006	1578
16-mar-2006	1601
6-abr-2006	1617
18-abr-2006	1619
25-abr-2006	1652
2-mai-2006	1667
10-mai-2006	1689
19-jul-2006	1673
1-fev-2007	1666
6-fev-2007	1681
22-fev-2007	1657
7-mar-2007	1671
15-mar-2007	1671
29-mar-2007	1671
3-abr-2007	1633
25-abr-2007	1646
20-fev-2008	1651
4-mar-2008	1673
12-mar-2008	1681
26-mar-2008	1696
8-abr-2008	1668
17-abr-2008	1657
29-abr-2008	1680
6-mai-2008	1663
15-mai-2008	1659
22-mai-2008	1655
27-mai-2008	1657
3-jun-2008	1659
25-jun-2008	1686
2-jul-2008	1665
17-fev-2009	1686
4-mar-2009	1664
12-mar-2009	1636
9-abr-2009	1637
21-abr-2009	1623
29-abr-2009	1612
17-fev-2011	1593
3-mar-2011	1625
9-mar-2011	1609
17-mar-2011	1640
5-abr-2011	1638
12-abr-2011	1653
23-jan-2013	1675
30-jan-2013	1664
