date	rating
6-out-1979	1487
10-out-1979	1474
14-out-1979	1456
17-out-1979	1472
21-out-1979	1493
24-out-1979	1514
28-out-1979	1501
1-nov-1979	1514
4-nov-1979	1526
8-nov-1979	1528
10-nov-1979	1514
15-nov-1979	1515
18-nov-1979	1503
22-nov-1979	1525
25-nov-1979	1526
29-nov-1979	1521
27-jan-1985	1521
30-jan-1985	1509
3-fev-1985	1524
6-fev-1985	1538
10-fev-1985	1536
13-fev-1985	1547
24-fev-1985	1522
27-fev-1985	1542
3-mar-1985	1555
6-mar-1985	1534
10-mar-1985	1527
17-mar-1985	1515
20-mar-1985	1509
24-mar-1985	1500
27-mar-1985	1481
31-mar-1985	1466
3-abr-1985	1481
7-abr-1985	1493
10-abr-1985	1467
14-abr-1985	1455
17-abr-1985	1455
21-abr-1985	1451
