date	rating
25-abr-1920	1501
9-mai-1920	1510
16-mai-1920	1498
23-mai-1920	1477
18-jul-1920	1460
1-ago-1920	1428
8-ago-1920	1424
15-ago-1920	1434
22-ago-1920	1424
5-set-1920	1413
3-out-1920	1392
17-out-1920	1387
24-out-1920	1380
7-nov-1920	1369
15-nov-1920	1359
21-nov-1920	1357
5-dez-1920	1342
1-mai-1921	1330
13-mai-1921	1326
29-mai-1921	1342
5-jun-1921	1339
12-jun-1921	1336
3-jul-1921	1330
17-jul-1921	1341
24-jul-1921	1342
31-jul-1921	1337
28-ago-1921	1350
4-set-1921	1353
11-set-1921	1358
25-set-1921	1355
2-out-1921	1373
16-out-1921	1354
23-out-1921	1348
30-out-1921	1346
6-nov-1921	1361
13-nov-1921	1359
26-nov-1921	1373
11-dez-1921	1357
18-dez-1921	1373
30-abr-1922	1371
7-mai-1922	1357
28-mai-1922	1347
11-jun-1922	1340
18-jun-1922	1339
25-jun-1922	1336
2-jul-1922	1353
30-jul-1922	1363
3-set-1922	1357
15-out-1922	1369
15-nov-1922	1357
