date	rating
2-mai-1909	1490
16-mai-1909	1471
30-mai-1909	1437
27-jun-1909	1422
11-jul-1909	1415
15-ago-1909	1407
22-ago-1909	1391
12-set-1909	1387
3-out-1909	1382
10-out-1909	1380
20-mai-1917	1370
3-jun-1917	1367
1-jul-1917	1370
8-jul-1917	1364
14-jul-1917	1351
22-jul-1917	1355
15-ago-1917	1353
26-ago-1917	1357
2-set-1917	1365
8-set-1917	1361
16-set-1917	1357
30-set-1917	1351
14-out-1917	1346
4-nov-1917	1336
11-nov-1917	1334
2-dez-1917	1328
9-dez-1917	1341
16-dez-1917	1353
21-abr-1918	1350
28-abr-1918	1346
3-mai-1918	1343
13-mai-1918	1334
19-mai-1918	1322
26-mai-1918	1315
9-jun-1918	1312
23-jun-1918	1307
30-jun-1918	1305
21-jul-1918	1300
28-jul-1918	1295
18-ago-1918	1294
25-ago-1918	1300
15-set-1918	1296
29-set-1918	1286
6-out-1918	1276
8-dez-1918	1275
29-dez-1918	1267
22-jun-1919	1265
29-jun-1919	1261
13-jul-1919	1267
20-jul-1919	1263
27-jul-1919	1260
3-ago-1919	1257
24-ago-1919	1251
7-set-1919	1254
5-out-1919	1271
26-out-1919	1269
16-nov-1919	1284
23-nov-1919	1281
30-nov-1919	1278
7-dez-1919	1296
21-dez-1919	1288
25-dez-1919	1286
28-dez-1919	1290
6-jan-1920	1285
25-abr-1920	1282
2-mai-1920	1278
16-mai-1920	1273
23-mai-1920	1289
27-jun-1920	1285
4-jul-1920	1277
11-jul-1920	1291
8-ago-1920	1288
15-ago-1920	1280
29-ago-1920	1293
10-out-1920	1291
17-out-1920	1284
24-out-1920	1284
31-out-1920	1276
7-nov-1920	1275
14-nov-1920	1271
5-dez-1920	1265
12-dez-1920	1264
