date	rating
20-jul-1988	1497
31-jul-1988	1498
2-ago-1988	1487
11-ago-1988	1485
16-ago-1988	1471
19-ago-1988	1461
19-fev-1989	1444
2-mar-1989	1454
4-mar-1989	1465
12-mar-1989	1442
17-mar-1989	1437
21-mar-1989	1428
23-fev-1991	1430
26-fev-1991	1425
5-mar-1991	1414
16-mar-1991	1401
5-abr-1991	1395
7-abr-1991	1404
23-fev-1992	1393
15-mar-1992	1413
18-mar-1992	1417
29-mar-1992	1419
1-abr-1992	1407
3-abr-1992	1392
22-abr-1992	1395
29-abr-1992	1405
6-mai-1992	1396
23-fev-1994	1383
4-mar-1994	1373
6-mar-1994	1407
11-mar-1994	1408
5-abr-1994	1401
8-abr-1994	1377
