date	rating
18-jan-1998	1504
20-jan-1998	1516
24-jan-1998	1520
28-jan-1998	1505
31-jan-1998	1515
7-fev-1998	1509
11-fev-1998	1526
14-fev-1998	1512
21-fev-1998	1525
1-mar-1998	1515
8-mar-1998	1516
12-mar-1998	1510
15-mar-1998	1535
18-mar-1998	1526
21-mar-1998	1540
28-mar-1998	1554
31-mar-1998	1549
5-abr-1998	1543
8-abr-1998	1558
12-abr-1998	1549
24-jan-1999	1551
27-jan-1999	1559
31-jan-1999	1567
3-fev-1999	1577
7-fev-1999	1566
10-fev-1999	1556
13-fev-1999	1544
21-fev-1999	1553
24-fev-1999	1535
28-fev-1999	1548
6-mar-1999	1542
13-mar-1999	1548
20-mar-1999	1566
23-mar-1999	1580
28-mar-1999	1602
4-abr-1999	1614
10-abr-1999	1603
17-abr-1999	1597
21-abr-1999	1584
25-abr-1999	1590
2-mai-1999	1599
4-mai-1999	1594
9-mai-1999	1586
16-mai-1999	1570
23-mai-1999	1563
30-mai-1999	1548
23-jan-2000	1545
27-jan-2000	1536
30-jan-2000	1552
2-fev-2000	1546
6-fev-2000	1565
13-fev-2000	1579
16-fev-2000	1603
20-fev-2000	1611
23-fev-2000	1604
27-fev-2000	1581
8-mar-2000	1585
12-mar-2000	1588
19-mar-2000	1586
22-mar-2000	1595
24-mar-2000	1599
2-abr-2000	1610
5-abr-2000	1634
13-abr-2000	1627
16-abr-2000	1613
23-abr-2000	1616
21-jan-2001	1592
28-jan-2001	1593
3-fev-2001	1587
11-fev-2001	1571
18-fev-2001	1581
24-fev-2001	1574
4-mar-2001	1558
11-mar-2001	1580
18-mar-2001	1569
25-mar-2001	1579
1-abr-2001	1582
7-abr-2001	1576
15-abr-2001	1590
22-abr-2001	1608
28-abr-2001	1590
20-jan-2002	1599
23-jan-2002	1587
23-jan-2002	1575
30-jan-2002	1574
3-fev-2002	1559
9-fev-2002	1542
16-fev-2002	1543
23-fev-2002	1530
3-mar-2002	1520
6-mar-2002	1522
10-mar-2002	1514
17-mar-2002	1515
20-mar-2002	1507
24-mar-2002	1518
31-mar-2002	1538
7-abr-2002	1539
14-abr-2002	1518
21-abr-2002	1511
28-abr-2002	1498
1-mai-2002	1488
5-mai-2002	1475
12-mai-2002	1469
