date	rating
16-jan-2008	1510
20-jan-2008	1494
23-jan-2008	1488
26-jan-2008	1494
29-jan-2008	1503
2-fev-2008	1507
6-fev-2008	1522
9-fev-2008	1513
16-fev-2008	1498
21-fev-2008	1514
24-fev-2008	1525
2-mar-2008	1522
9-mar-2008	1537
13-mar-2008	1532
16-mar-2008	1544
21-mar-2008	1558
27-mar-2008	1546
30-mar-2008	1536
6-abr-2008	1554
12-abr-2008	1546
18-abr-2008	1548
21-jan-2009	1559
24-jan-2009	1558
29-jan-2009	1562
1-fev-2009	1579
4-fev-2009	1558
7-fev-2009	1558
11-fev-2009	1554
14-fev-2009	1567
21-fev-2009	1566
26-fev-2009	1569
1-mar-2009	1560
7-mar-2009	1548
12-mar-2009	1542
17-mar-2009	1558
21-mar-2009	1574
25-mar-2009	1576
28-mar-2009	1593
31-mar-2009	1600
5-abr-2009	1603
16-jan-2010	1581
20-jan-2010	1586
24-jan-2010	1583
27-jan-2010	1586
31-jan-2010	1599
4-fev-2010	1606
7-fev-2010	1586
12-fev-2010	1578
18-fev-2010	1577
21-fev-2010	1571
27-fev-2010	1570
3-mar-2010	1578
7-mar-2010	1575
13-mar-2010	1562
20-mar-2010	1548
24-mar-2010	1542
27-mar-2010	1545
4-abr-2010	1563
7-abr-2010	1581
16-jan-2011	1591
19-jan-2011	1580
22-jan-2011	1588
26-jan-2011	1590
29-jan-2011	1600
2-fev-2011	1592
6-fev-2011	1602
13-fev-2011	1615
20-fev-2011	1625
27-fev-2011	1637
4-mar-2011	1633
9-mar-2011	1608
13-mar-2011	1603
19-mar-2011	1586
23-mar-2011	1600
26-mar-2011	1597
3-abr-2011	1591
9-abr-2011	1603
17-abr-2011	1582
19-jan-2013	1576
24-jan-2013	1566
27-jan-2013	1561
30-jan-2013	1561
2-fev-2013	1548
6-fev-2013	1558
9-fev-2013	1548
16-fev-2013	1559
23-fev-2013	1575
1-mar-2013	1574
10-mar-2013	1572
16-mar-2013	1560
21-mar-2013	1555
24-mar-2013	1541
27-mar-2013	1565
30-mar-2013	1554
7-abr-2013	1542
14-abr-2013	1533
21-abr-2013	1552
