date	rating
23-fev-1986	1492
2-mar-1986	1494
5-mar-1986	1495
8-mar-1986	1500
12-mar-1986	1502
16-mar-1986	1502
19-mar-1986	1525
23-mar-1986	1526
30-mar-1986	1530
6-abr-1986	1544
9-abr-1986	1529
13-abr-1986	1522
16-abr-1986	1516
20-abr-1986	1517
23-abr-1986	1541
27-abr-1986	1544
30-abr-1986	1562
4-mai-1986	1561
18-mai-1986	1560
25-mai-1986	1553
28-mai-1986	1545
31-mai-1986	1535
14-jun-1986	1545
19-jun-1986	1555
24-jun-1986	1566
28-jun-1986	1570
3-jul-1986	1571
6-jul-1986	1575
9-jul-1986	1576
13-jul-1986	1589
16-jul-1986	1571
20-jul-1986	1572
23-jul-1986	1560
26-jul-1986	1563
3-ago-1986	1547
6-ago-1986	1537
10-ago-1986	1538
17-ago-1986	1540
15-mar-1987	1531
18-mar-1987	1549
22-mar-1987	1564
25-mar-1987	1555
29-mar-1987	1560
5-abr-1987	1562
8-abr-1987	1560
11-abr-1987	1564
15-abr-1987	1569
19-abr-1987	1579
26-abr-1987	1578
3-mai-1987	1579
6-mai-1987	1572
10-mai-1987	1563
13-mai-1987	1558
17-mai-1987	1559
20-mai-1987	1550
24-mai-1987	1562
27-mai-1987	1564
31-mai-1987	1568
7-jun-1987	1572
10-jun-1987	1580
17-jun-1987	1563
21-jun-1987	1554
24-jun-1987	1548
28-jun-1987	1538
1-jul-1987	1540
5-jul-1987	1534
12-jul-1987	1526
15-jul-1987	1518
19-jul-1987	1541
22-jul-1987	1542
26-jul-1987	1527
29-jul-1987	1546
2-ago-1987	1559
5-ago-1987	1570
9-ago-1987	1581
12-ago-1987	1566
28-fev-1988	1579
6-mar-1988	1579
9-mar-1988	1595
13-mar-1988	1596
20-mar-1988	1609
23-mar-1988	1622
27-mar-1988	1610
30-mar-1988	1608
6-abr-1988	1610
10-abr-1988	1591
1-mai-1988	1601
4-mai-1988	1591
8-mai-1988	1577
11-mai-1988	1585
18-mai-1988	1577
22-mai-1988	1567
25-mai-1988	1567
29-mai-1988	1557
4-jun-1988	1548
12-jun-1988	1532
19-fev-1989	1539
26-fev-1989	1550
1-mar-1989	1541
5-mar-1989	1531
12-mar-1989	1521
26-mar-1989	1524
30-mar-1989	1529
2-abr-1989	1545
5-abr-1989	1560
9-abr-1989	1549
19-abr-1989	1553
23-abr-1989	1563
27-abr-1989	1543
30-abr-1989	1554
3-mai-1989	1543
7-mai-1989	1553
14-mai-1989	1552
17-mai-1989	1562
21-mai-1989	1545
28-mai-1989	1555
31-mai-1989	1548
7-jun-1989	1539
11-jun-1989	1533
15-jun-1989	1537
28-jan-1990	1536
4-fev-1990	1536
7-fev-1990	1525
11-fev-1990	1541
18-fev-1990	1542
21-fev-1990	1544
