date	rating
6-mar-1975	1492
14-mar-1975	1519
18-mar-1975	1497
26-mar-1975	1489
1-abr-1975	1468
5-abr-1975	1467
6-abr-1983	1476
12-abr-1983	1501
27-abr-1983	1524
3-mai-1983	1523
6-mai-1983	1543
16-mai-1983	1547
26-mai-1983	1538
9-jul-1986	1573
16-jul-1986	1557
23-jul-1986	1590
29-jul-1986	1608
7-ago-1986	1597
14-ago-1986	1583
29-jun-1988	1588
5-jul-1988	1578
19-jul-1988	1569
23-jul-1988	1560
26-jul-1988	1530
12-ago-1988	1547
6-fev-2002	1569
19-fev-2002	1567
6-mar-2002	1556
13-mar-2002	1569
20-mar-2002	1590
10-abr-2002	1578
24-abr-2002	1580
30-abr-2002	1582
31-jan-2008	1564
7-fev-2008	1562
