date	rating
26-ago-1973	1488
29-ago-1973	1480
2-set-1973	1469
5-set-1973	1463
9-set-1973	1470
12-set-1973	1477
16-set-1973	1479
23-set-1973	1471
26-set-1973	1473
30-set-1973	1453
3-out-1973	1445
7-out-1973	1435
13-out-1973	1450
17-out-1973	1443
21-out-1973	1442
24-out-1973	1433
27-out-1973	1436
31-out-1973	1443
4-nov-1973	1441
11-nov-1973	1425
14-nov-1973	1428
17-nov-1973	1433
25-nov-1973	1432
28-nov-1973	1436
2-dez-1973	1418
8-dez-1973	1407
12-dez-1973	1397
15-dez-1973	1387
20-ago-1975	1403
24-ago-1975	1390
31-ago-1975	1396
3-set-1975	1386
7-set-1975	1375
14-set-1975	1370
21-set-1975	1374
24-set-1975	1370
28-set-1975	1364
5-out-1975	1358
19-out-1975	1354
26-out-1975	1351
29-out-1975	1356
5-nov-1975	1349
26-mar-1978	1342
2-abr-1978	1366
6-abr-1978	1375
9-abr-1978	1393
12-abr-1978	1393
16-abr-1978	1394
27-abr-1978	1398
4-mai-1978	1420
7-mai-1978	1402
11-mai-1978	1407
14-mai-1978	1402
21-mai-1978	1394
28-mai-1978	1410
31-mai-1978	1396
4-jun-1978	1396
24-jun-1978	1377
16-set-1979	1365
23-set-1979	1370
3-out-1979	1389
6-out-1979	1374
11-out-1979	1358
17-out-1979	1386
24-out-1979	1404
28-out-1979	1391
3-nov-1979	1384
17-jan-1982	1387
20-jan-1982	1379
24-jan-1982	1375
31-jan-1982	1378
3-fev-1982	1376
10-fev-1982	1391
14-fev-1982	1393
17-fev-1982	1413
28-fev-1982	1430
7-mar-1982	1424
10-mar-1982	1414
14-mar-1982	1408
17-mar-1982	1399
24-mar-1982	1389
23-jan-1983	1391
26-jan-1983	1382
30-jan-1983	1392
6-fev-1983	1393
9-fev-1983	1389
23-fev-1983	1376
27-fev-1983	1365
6-mar-1983	1374
29-jan-1984	1361
5-fev-1984	1357
8-fev-1984	1353
12-fev-1984	1362
15-fev-1984	1372
19-fev-1984	1363
22-fev-1984	1384
29-fev-1984	1377
