date	rating
10-set-1972	1489
13-set-1972	1498
17-set-1972	1489
20-set-1972	1489
24-set-1972	1520
27-set-1972	1513
1-out-1972	1518
4-out-1972	1526
8-out-1972	1548
11-out-1972	1554
15-out-1972	1541
18-out-1972	1530
22-out-1972	1540
25-out-1972	1539
29-out-1972	1531
1-nov-1972	1530
5-nov-1972	1539
8-nov-1972	1545
12-nov-1972	1540
16-nov-1972	1528
19-nov-1972	1517
22-nov-1972	1506
26-nov-1972	1493
29-nov-1972	1513
3-dez-1972	1506
26-ago-1973	1509
30-ago-1973	1516
2-set-1973	1522
5-set-1973	1518
8-set-1973	1511
12-set-1973	1521
16-set-1973	1533
23-set-1973	1540
26-set-1973	1541
29-set-1973	1552
3-out-1973	1551
7-out-1973	1556
14-out-1973	1556
17-out-1973	1549
21-out-1973	1549
24-out-1973	1558
27-out-1973	1564
31-out-1973	1568
4-nov-1973	1569
11-nov-1973	1551
14-nov-1973	1566
18-nov-1973	1565
25-nov-1973	1582
2-dez-1973	1602
5-dez-1973	1583
8-dez-1973	1562
12-dez-1973	1549
16-dez-1973	1524
10-mar-1974	1520
14-mar-1974	1521
17-mar-1974	1521
23-mar-1974	1531
27-mar-1974	1553
3-abr-1974	1552
6-abr-1974	1541
13-abr-1974	1532
17-abr-1974	1510
24-abr-1974	1527
28-abr-1974	1522
4-mai-1974	1512
8-mai-1974	1531
18-mai-1974	1531
26-mai-1974	1553
1-jun-1974	1537
5-jun-1974	1527
9-jun-1974	1516
13-jun-1974	1499
30-jun-1974	1518
3-jul-1974	1524
6-jul-1974	1529
14-jul-1974	1517
17-jul-1974	1506
24-ago-1975	1507
31-ago-1975	1490
7-set-1975	1496
10-set-1975	1501
14-set-1975	1492
17-set-1975	1481
21-set-1975	1477
24-set-1975	1481
28-set-1975	1489
1-out-1975	1508
26-out-1975	1532
30-out-1975	1533
2-nov-1975	1547
9-nov-1975	1546
12-nov-1975	1536
15-nov-1975	1526
20-nov-1975	1520
23-nov-1975	1514
26-nov-1975	1505
30-nov-1975	1498
4-dez-1975	1487
2-set-1976	1466
7-set-1976	1480
12-set-1976	1498
15-set-1976	1503
19-set-1976	1521
22-set-1976	1527
25-set-1976	1516
30-set-1976	1514
10-out-1976	1513
13-out-1976	1496
17-out-1976	1483
23-out-1976	1484
16-out-1977	1503
23-out-1977	1516
26-out-1977	1514
30-out-1977	1508
10-nov-1977	1502
13-nov-1977	1490
16-nov-1977	1479
24-nov-1977	1492
27-nov-1977	1479
4-dez-1977	1464
7-dez-1977	1452
11-dez-1977	1440
18-dez-1977	1441
2-abr-1978	1431
6-abr-1978	1425
9-abr-1978	1419
16-abr-1978	1405
20-abr-1978	1398
23-abr-1978	1383
27-abr-1978	1381
30-abr-1978	1368
3-mai-1978	1371
7-mai-1978	1386
14-mai-1978	1380
21-mai-1978	1371
25-mai-1978	1355
28-mai-1978	1345
13-jun-1978	1351
17-jun-1978	1335
30-set-1979	1345
3-out-1979	1351
6-out-1979	1342
11-out-1979	1337
14-out-1979	1359
18-out-1979	1355
20-out-1979	1347
27-out-1979	1353
4-nov-1979	1343
24-fev-1980	1339
27-fev-1980	1366
2-mar-1980	1370
5-mar-1980	1369
12-mar-1980	1372
16-mar-1980	1381
19-mar-1980	1375
23-mar-1980	1364
30-mar-1980	1361
18-jan-1981	1383
21-jan-1981	1382
24-jan-1981	1386
28-jan-1981	1400
1-fev-1981	1408
4-fev-1981	1410
7-fev-1981	1425
14-fev-1981	1418
21-fev-1981	1435
7-mar-1981	1426
12-mar-1981	1422
15-mar-1981	1439
21-mar-1981	1466
28-mar-1981	1463
4-abr-1981	1447
20-jan-1982	1448
24-jan-1982	1455
28-jan-1982	1452
31-jan-1982	1449
3-fev-1982	1440
7-fev-1982	1436
10-fev-1982	1421
17-fev-1982	1422
1-fev-1984	1424
5-fev-1984	1414
8-fev-1984	1424
11-fev-1984	1412
15-fev-1984	1407
18-fev-1984	1416
22-fev-1984	1417
29-fev-1984	1407
27-jan-1985	1394
31-jan-1985	1379
3-fev-1985	1399
6-fev-1985	1428
10-fev-1985	1407
13-fev-1985	1418
24-fev-1985	1407
27-fev-1985	1394
3-mar-1985	1419
7-mar-1985	1415
10-mar-1985	1420
17-mar-1985	1442
20-mar-1985	1458
24-mar-1985	1451
27-mar-1985	1471
31-mar-1985	1458
3-abr-1985	1453
7-abr-1985	1454
10-abr-1985	1469
14-abr-1985	1490
17-abr-1985	1498
21-abr-1985	1511
31-ago-1986	1523
4-set-1986	1524
10-set-1986	1528
14-set-1986	1518
17-set-1986	1526
21-set-1986	1511
24-set-1986	1529
1-out-1986	1551
5-out-1986	1553
7-out-1986	1540
15-out-1986	1551
19-out-1986	1547
22-out-1986	1532
26-out-1986	1522
29-out-1986	1537
2-nov-1986	1557
5-nov-1986	1548
19-nov-1986	1545
23-nov-1986	1546
27-nov-1986	1540
29-nov-1986	1561
3-dez-1986	1554
7-dez-1986	1530
10-dez-1986	1514
25-jan-1987	1507
28-jan-1987	1496
