date	rating
28-Feb-1975	1503
7-Mar-1975	1485
14-Mar-1975	1505
21-Mar-1975	1509
4-Apr-1975	1528
9-Apr-1975	1544
11-Apr-1975	1527
6-Jul-1988	1530
12-Jul-1988	1528
17-Jul-1988	1529
21-Jul-1988	1531
29-Jul-1988	1543
1-Aug-1988	1570
7-Aug-1988	1587
7-Sep-1988	1571
14-Sep-1988	1586
22-Sep-1988	1591
28-Sep-1988	1580
5-Oct-1988	1598
12-Oct-1988	1614
19-Oct-1988	1633
26-Oct-1988	1611
26-Feb-1992	1579
3-Mar-1992	1601
6-Mar-1992	1629
9-Mar-1992	1625
25-Mar-1992	1641
31-Mar-1992	1649
3-Apr-1992	1650
10-Apr-1992	1648
29-Apr-1992	1641
6-May-1992	1650
13-May-1992	1674
20-May-1992	1670
27-May-1992	1672
3-Jun-1992	1674
10-Jun-1992	1693
17-Jun-1992	1681
7-Feb-1993	1697
12-Feb-1993	1695
23-Feb-1993	1693
10-Mar-1993	1692
19-Mar-1993	1676
23-Mar-1993	1676
7-Apr-1993	1708
14-Apr-1993	1688
9-Feb-2006	1666
21-Feb-2006	1686
15-Mar-2006	1668
22-Mar-2006	1674
11-Apr-2006	1672
19-Apr-2006	1685
27-Apr-2006	1661
3-May-2006	1662
27-Jan-2010	1653
11-Feb-2010	1630
14-Feb-2013	1650
21-Feb-2013	1625
5-Mar-2013	1611
12-Mar-2013	1635
4-Apr-2013	1645
11-Apr-2013	1617
24-Apr-2013	1606
15-May-2013	1626
23-May-2013	1631
29-May-2013	1635
3-Jul-2013	1667
10-Jul-2013	1649
