date	rating
12-fev-1989	1489
19-fev-1989	1480
26-fev-1989	1479
5-mar-1989	1480
11-mar-1989	1486
19-mar-1989	1494
22-mar-1989	1483
25-mar-1989	1482
1-abr-1989	1493
16-abr-1989	1487
22-abr-1989	1487
30-abr-1989	1480
3-mai-1989	1494
7-mai-1989	1473
13-mai-1989	1469
17-mai-1989	1471
21-mai-1989	1468
27-mai-1989	1467
31-mai-1989	1457
4-jun-1989	1474
6-jun-1989	1481
11-jun-1989	1481
27-jan-1990	1475
31-jan-1990	1470
3-fev-1990	1459
7-fev-1990	1441
11-fev-1990	1436
14-fev-1990	1427
18-fev-1990	1420
21-fev-1990	1415
4-mar-1990	1413
7-mar-1990	1404
10-mar-1990	1406
18-mar-1990	1396
21-mar-1990	1404
24-mar-1990	1399
28-mar-1990	1391
31-mar-1990	1383
8-abr-1990	1405
11-abr-1990	1401
14-abr-1990	1397
18-abr-1990	1392
22-abr-1990	1394
28-abr-1990	1398
