date	rating
23-Feb-1986	1494
1-Mar-1986	1489
5-Mar-1986	1481
8-Mar-1986	1468
12-Mar-1986	1455
16-Mar-1986	1451
23-Mar-1986	1445
30-Mar-1986	1460
2-Apr-1986	1452
6-Apr-1986	1475
9-Apr-1986	1467
13-Apr-1986	1470
20-Apr-1986	1491
23-Apr-1986	1508
27-Apr-1986	1494
30-Apr-1986	1496
4-May-1986	1500
11-May-1986	1504
18-May-1986	1506
24-May-1986	1511
31-May-1986	1529
14-Jun-1986	1521
19-Jun-1986	1536
24-Jun-1986	1552
28-Jun-1986	1539
2-Jul-1986	1552
5-Jul-1986	1544
9-Jul-1986	1556
13-Jul-1986	1545
16-Jul-1986	1546
20-Jul-1986	1558
23-Jul-1986	1557
27-Jul-1986	1572
30-Jul-1986	1571
3-Aug-1986	1586
6-Aug-1986	1571
10-Aug-1986	1570
17-Aug-1986	1570
22-Mar-1987	1564
25-Mar-1987	1563
29-Mar-1987	1564
1-Apr-1987	1554
5-Apr-1987	1554
8-Apr-1987	1555
11-Apr-1987	1561
15-Apr-1987	1553
19-Apr-1987	1557
22-Apr-1987	1574
26-Apr-1987	1574
29-Apr-1987	1560
3-May-1987	1552
6-May-1987	1543
10-May-1987	1523
13-May-1987	1527
17-May-1987	1518
24-May-1987	1528
27-May-1987	1532
31-May-1987	1523
7-Jun-1987	1527
17-Jun-1987	1528
21-Jun-1987	1521
23-Jun-1987	1523
28-Jun-1987	1527
1-Jul-1987	1547
5-Jul-1987	1559
8-Jul-1987	1553
12-Jul-1987	1539
15-Jul-1987	1550
19-Jul-1987	1568
22-Jul-1987	1592
26-Jul-1987	1590
29-Jul-1987	1583
2-Aug-1987	1585
5-Aug-1987	1584
9-Aug-1987	1583
12-Aug-1987	1598
28-Feb-1988	1612
6-Mar-1988	1594
9-Mar-1988	1594
13-Mar-1988	1582
20-Mar-1988	1566
23-Mar-1988	1567
27-Mar-1988	1561
30-Mar-1988	1560
3-Apr-1988	1574
10-Apr-1988	1566
1-May-1988	1557
4-May-1988	1566
8-May-1988	1556
11-May-1988	1545
15-May-1988	1540
18-May-1988	1541
22-May-1988	1543
25-May-1988	1534
29-May-1988	1528
5-Jun-1988	1529
19-Feb-1989	1544
26-Feb-1989	1534
1-Mar-1989	1547
5-Mar-1989	1552
12-Mar-1989	1552
22-Mar-1989	1543
26-Mar-1989	1543
29-Mar-1989	1548
2-Apr-1989	1548
5-Apr-1989	1546
9-Apr-1989	1540
16-Apr-1989	1550
19-Apr-1989	1550
23-Apr-1989	1540
27-Apr-1989	1554
30-Apr-1989	1544
3-May-1989	1528
14-May-1989	1542
17-May-1989	1542
21-May-1989	1531
28-May-1989	1541
1-Jun-1989	1531
4-Jun-1989	1537
14-Jun-1989	1528
17-Jun-1989	1534
28-Jan-1990	1533
4-Feb-1990	1548
7-Feb-1990	1538
11-Feb-1990	1550
18-Feb-1990	1539
21-Feb-1990	1554
4-Mar-1990	1553
7-Mar-1990	1552
11-Mar-1990	1544
14-Mar-1990	1558
18-Mar-1990	1558
21-Mar-1990	1548
24-Mar-1990	1563
1-Apr-1990	1565
8-Apr-1990	1567
15-Apr-1990	1586
18-Apr-1990	1602
22-Apr-1990	1583
25-Apr-1990	1601
29-Apr-1990	1604
2-May-1990	1607
6-May-1990	1601
12-May-1990	1602
27-Jun-1990	1612
2-Jul-1990	1613
11-Jul-1990	1616
15-Jul-1990	1615
19-Jul-1990	1619
22-Jul-1990	1629
25-Jul-1990	1636
29-Jul-1990	1637
5-Aug-1990	1651
8-Aug-1990	1645
12-Aug-1990	1653
15-Aug-1990	1654
22-Aug-1990	1655
26-Aug-1990	1656
24-Jul-1991	1658
28-Jul-1991	1638
31-Jul-1991	1645
4-Aug-1991	1663
7-Aug-1991	1660
11-Aug-1991	1648
14-Aug-1991	1639
18-Aug-1991	1649
21-Aug-1991	1637
25-Aug-1991	1655
1-Sep-1991	1657
4-Sep-1991	1653
7-Sep-1991	1655
15-Sep-1991	1640
18-Sep-1991	1639
22-Sep-1991	1631
29-Sep-1991	1617
6-Oct-1991	1620
9-Oct-1991	1610
13-Oct-1991	1598
16-Oct-1991	1591
19-Oct-1991	1591
23-Oct-1991	1600
27-Oct-1991	1599
31-Oct-1991	1613
3-Nov-1991	1611
5-Jul-1992	1592
12-Jul-1992	1592
19-Jul-1992	1600
26-Jul-1992	1609
2-Aug-1992	1607
9-Aug-1992	1592
16-Aug-1992	1600
19-Aug-1992	1588
23-Aug-1992	1599
30-Aug-1992	1598
2-Sep-1992	1597
6-Sep-1992	1592
9-Sep-1992	1582
13-Sep-1992	1570
16-Sep-1992	1583
20-Sep-1992	1570
27-Sep-1992	1582
30-Sep-1992	1565
4-Oct-1992	1577
7-Oct-1992	1578
11-Oct-1992	1588
14-Oct-1992	1586
18-Oct-1992	1576
21-Oct-1992	1577
24-Oct-1992	1567
1-Nov-1992	1573
24-Jan-1993	1590
31-Jan-1993	1573
3-Feb-1993	1584
7-Feb-1993	1582
10-Feb-1993	1560
14-Feb-1993	1568
17-Feb-1993	1565
21-Feb-1993	1578
28-Feb-1993	1577
3-Mar-1993	1585
7-Mar-1993	1568
10-Mar-1993	1578
14-Mar-1993	1581
21-Mar-1993	1570
24-Mar-1993	1585
28-Mar-1993	1583
31-Mar-1993	1591
4-Apr-1993	1603
7-Apr-1993	1600
