date	rating
24-abr-1932	1488
1-mai-1932	1481
8-mai-1932	1468
15-mai-1932	1462
29-mai-1932	1459
5-jun-1932	1448
12-jun-1932	1455
19-jun-1932	1463
26-jun-1932	1457
10-jul-1932	1451
17-jul-1932	1444
24-jul-1932	1449
31-jul-1932	1443
7-ago-1932	1459
14-ago-1932	1447
28-ago-1932	1443
4-set-1932	1430
11-set-1932	1426
18-set-1932	1436
25-set-1932	1442
9-out-1932	1447
16-out-1932	1476
1-out-1937	1481
10-out-1937	1482
12-out-1937	1474
17-out-1937	1477
26-out-1937	1470
31-out-1937	1485
4-nov-1937	1480
11-nov-1937	1497
15-nov-1937	1488
21-nov-1937	1477
28-nov-1937	1490
5-dez-1937	1479
8-dez-1937	1461
15-dez-1937	1455
19-dez-1937	1449
26-dez-1937	1463
29-dez-1937	1457
5-jan-1938	1448
9-jan-1938	1432
16-jan-1938	1427
19-jan-1938	1422
26-jan-1938	1405
3-ago-1947	1395
10-ago-1947	1394
16-ago-1947	1393
24-ago-1947	1402
31-ago-1947	1411
6-set-1947	1395
14-set-1947	1391
21-set-1947	1415
28-set-1947	1412
12-out-1947	1427
19-out-1947	1429
26-out-1947	1447
1-nov-1947	1466
9-nov-1947	1464
15-nov-1947	1462
23-nov-1947	1453
29-nov-1947	1450
7-dez-1947	1461
14-dez-1947	1471
28-dez-1947	1473
11-jul-1948	1468
18-jul-1948	1465
25-jul-1948	1463
31-jul-1948	1452
7-ago-1948	1472
15-ago-1948	1459
22-ago-1948	1456
29-ago-1948	1452
5-set-1948	1461
19-set-1948	1443
3-out-1948	1470
10-out-1948	1466
17-out-1948	1464
24-out-1948	1476
31-out-1948	1455
7-nov-1948	1456
15-nov-1948	1453
21-nov-1948	1452
28-nov-1948	1462
5-dez-1948	1454
3-jul-1949	1452
17-jul-1949	1469
24-jul-1949	1492
31-jul-1949	1501
14-ago-1949	1497
21-ago-1949	1484
28-ago-1949	1479
4-set-1949	1484
11-set-1949	1483
18-set-1949	1490
25-set-1949	1518
9-out-1949	1515
16-out-1949	1514
23-out-1949	1522
6-nov-1949	1520
13-nov-1949	1513
20-nov-1949	1523
27-nov-1949	1514
4-dez-1949	1512
11-dez-1949	1509
12-ago-1950	1517
20-ago-1950	1513
27-ago-1950	1520
9-set-1950	1555
17-set-1950	1553
24-set-1950	1549
30-set-1950	1544
8-out-1950	1542
14-out-1950	1534
22-out-1950	1540
29-out-1950	1533
4-nov-1950	1550
11-nov-1950	1565
19-nov-1950	1562
26-nov-1950	1571
3-dez-1950	1557
9-dez-1950	1548
16-dez-1950	1544
24-dez-1950	1555
31-dez-1950	1562
12-ago-1951	1569
19-ago-1951	1574
26-ago-1951	1583
2-set-1951	1581
16-set-1951	1590
23-set-1951	1584
30-set-1951	1579
7-out-1951	1569
14-out-1951	1576
21-out-1951	1569
28-out-1951	1564
4-nov-1951	1582
11-nov-1951	1576
