date	rating
7-abr-1963	1515
14-abr-1963	1490
17-jul-1963	1463
24-jul-1963	1480
27-fev-1966	1482
5-mar-1966	1497
8-mar-1966	1499
11-mar-1966	1475
16-mar-1966	1498
20-mar-1966	1476
23-mar-1966	1463
31-jan-1969	1437
9-fev-1969	1467
13-fev-1969	1467
23-fev-1969	1453
7-mar-1969	1483
13-mar-1969	1501
18-mar-1969	1514
30-mar-1969	1522
7-abr-1969	1515
11-fev-1970	1502
18-fev-1970	1529
22-fev-1970	1524
5-mar-1970	1541
8-mar-1970	1539
12-mar-1970	1542
15-mar-1970	1555
21-mar-1970	1583
29-mar-1970	1565
2-abr-1970	1558
20-fev-1972	1557
1-mar-1972	1546
5-mar-1972	1552
9-mar-1972	1573
16-mar-1972	1578
26-mar-1972	1570
4-fev-1973	1546
14-fev-1973	1533
17-fev-1973	1516
2-mar-1973	1535
9-mar-1973	1558
16-mar-1973	1573
5-fev-1974	1559
13-fev-1974	1564
19-fev-1974	1570
24-fev-1974	1572
1-mar-1974	1555
5-mar-1974	1562
28-fev-1975	1565
7-mar-1975	1584
14-mar-1975	1585
21-mar-1975	1600
4-abr-1975	1581
9-abr-1975	1583
7-mar-1976	1564
14-mar-1976	1559
18-mar-1976	1569
28-mar-1976	1581
4-abr-1976	1572
13-abr-1976	1581
1-abr-1977	1576
9-abr-1977	1560
14-abr-1977	1543
20-abr-1977	1541
29-abr-1977	1556
3-mai-1977	1554
23-mar-1979	1566
29-mar-1979	1578
3-abr-1979	1562
5-abr-1979	1573
8-abr-1979	1583
18-abr-1979	1609
4-mai-1979	1630
9-mai-1979	1650
16-mai-1979	1671
24-mai-1979	1675
22-jul-1979	1706
27-jul-1979	1710
11-jun-1980	1717
18-jun-1980	1700
2-jul-1980	1699
9-jul-1980	1710
7-jul-1981	1703
17-jul-1981	1706
24-jul-1981	1711
28-jul-1981	1699
8-ago-1981	1662
14-ago-1981	1669
14-mar-1982	1661
20-mar-1982	1669
24-mar-1982	1684
4-abr-1982	1677
18-abr-1982	1683
25-abr-1982	1701
21-out-1982	1695
29-out-1982	1708
5-nov-1982	1707
10-nov-1982	1690
6-abr-1983	1668
20-abr-1983	1654
27-abr-1983	1647
6-mai-1983	1627
16-mai-1983	1623
23-mai-1983	1603
8-mar-1984	1598
16-mar-1984	1618
23-mar-1984	1638
13-abr-1984	1647
24-abr-1984	1636
27-abr-1984	1653
6-ago-1986	1665
13-ago-1986	1672
11-set-1986	1687
16-set-1986	1688
30-set-1986	1683
5-out-1986	1667
15-mar-1987	1675
1-abr-1987	1696
12-abr-1987	1703
14-abr-1987	1695
20-mai-1987	1658
24-mai-1987	1638
6-jul-1988	1636
19-jul-1988	1613
22-jul-1988	1586
10-ago-1988	1600
19-ago-1988	1578
26-ago-1988	1602
23-fev-1989	1596
10-mar-1989	1618
14-mar-1989	1591
17-mar-1989	1579
23-mar-1989	1612
30-mar-1989	1592
5-abr-1989	1622
12-abr-1989	1603
19-abr-1989	1619
26-abr-1989	1613
10-mai-1989	1604
17-mai-1989	1626
24-mai-1989	1646
31-mai-1989	1619
14-mar-1990	1632
27-mar-1990	1652
3-abr-1990	1673
18-abr-1990	1656
24-abr-1990	1657
27-abr-1990	1647
22-ago-1990	1665
29-ago-1990	1661
20-set-1990	1675
26-set-1990	1658
3-out-1990	1673
