date	rating
24-jul-1991	1507
28-jul-1991	1509
31-jul-1991	1509
4-ago-1991	1512
7-ago-1991	1518
11-ago-1991	1499
14-ago-1991	1500
18-ago-1991	1487
21-ago-1991	1475
25-ago-1991	1460
1-set-1991	1462
4-set-1991	1463
8-set-1991	1450
14-set-1991	1461
18-set-1991	1452
22-set-1991	1455
28-set-1991	1467
6-out-1991	1459
9-out-1991	1450
12-out-1991	1440
16-out-1991	1454
19-out-1991	1442
23-out-1991	1441
27-out-1991	1439
31-out-1991	1432
3-nov-1991	1451
5-jul-1992	1444
12-jul-1992	1434
19-jul-1992	1428
26-jul-1992	1431
2-ago-1992	1423
9-ago-1992	1438
16-ago-1992	1450
19-ago-1992	1442
23-ago-1992	1445
30-ago-1992	1448
2-set-1992	1457
6-set-1992	1458
9-set-1992	1475
13-set-1992	1488
16-set-1992	1488
20-set-1992	1492
27-set-1992	1480
30-set-1992	1481
4-out-1992	1494
7-out-1992	1483
11-out-1992	1486
14-out-1992	1490
18-out-1992	1496
21-out-1992	1513
24-out-1992	1501
1-nov-1992	1512
24-jan-1993	1511
31-jan-1993	1501
3-fev-1993	1490
7-fev-1993	1486
10-fev-1993	1472
14-fev-1993	1462
17-fev-1993	1464
21-fev-1993	1451
28-fev-1993	1463
3-mar-1993	1465
7-mar-1993	1448
10-mar-1993	1458
14-mar-1993	1451
21-mar-1993	1442
24-mar-1993	1432
28-mar-1993	1423
31-mar-1993	1434
4-abr-1993	1420
7-abr-1993	1415
11-abr-1993	1404
14-abr-1993	1423
18-abr-1993	1410
25-abr-1993	1413
28-abr-1993	1414
2-mai-1993	1425
9-mai-1993	1415
