date	rating
24-fev-1999	1490
2-mar-1999	1534
9-mar-1999	1540
17-mar-1999	1575
23-mar-1999	1563
25-mar-1999	1548
6-fev-2002	1566
21-fev-2002	1553
27-fev-2002	1527
7-mar-2002	1558
19-mar-2002	1576
10-abr-2002	1553
19-fev-2004	1576
25-fev-2004	1588
9-mar-2004	1567
17-mar-2004	1593
6-abr-2004	1604
22-abr-2004	1599
6-mai-2004	1600
13-mai-2004	1601
19-mai-2004	1608
27-mai-2004	1627
9-jun-2004	1634
16-jun-2004	1655
23-jun-2004	1662
1-jul-2004	1669
24-fev-2005	1664
2-mar-2005	1661
22-mar-2005	1638
5-abr-2005	1633
12-abr-2005	1654
5-mai-2005	1663
19-mai-2005	1658
26-mai-2005	1639
9-fev-2010	1652
25-fev-2010	1672
10-mar-2010	1665
18-mar-2010	1659
1-abr-2010	1665
21-abr-2010	1654
29-abr-2010	1652
6-mai-2010	1636
17-fev-2011	1599
22-fev-2011	1601
3-mar-2011	1596
15-mar-2011	1591
22-mar-2011	1594
19-abr-2011	1610
