date	rating
21-Apr-1917	1519
29-Apr-1917	1521
6-May-1917	1538
17-May-1917	1536
27-May-1917	1528
10-Jun-1917	1535
29-Jun-1917	1543
8-Jul-1917	1559
15-Jul-1917	1565
5-Aug-1917	1579
26-Aug-1917	1592
9-Sep-1917	1587
16-Sep-1917	1587
23-Sep-1917	1600
4-Nov-1917	1595
25-Nov-1917	1605
7-Apr-1918	1610
3-May-1918	1624
13-May-1918	1622
26-May-1918	1606
19-Jun-1918	1592
30-Jun-1918	1582
22-Jun-1919	1586
29-Jun-1919	1592
13-Jul-1919	1599
20-Jul-1919	1610
27-Jul-1919	1617
10-Aug-1919	1628
24-Aug-1919	1636
31-Aug-1919	1650
14-Sep-1919	1660
5-Oct-1919	1632
12-Oct-1919	1644
19-Oct-1919	1649
1-Nov-1919	1662
9-Nov-1919	1652
16-Nov-1919	1645
23-Nov-1919	1651
7-Dec-1919	1656
14-Dec-1919	1664
25-Apr-1920	1683
9-May-1920	1687
16-May-1920	1699
30-May-1920	1704
4-Jul-1920	1710
18-Jul-1920	1716
1-Aug-1920	1722
8-Aug-1920	1728
15-Aug-1920	1730
5-Sep-1920	1719
3-Oct-1920	1715
17-Oct-1920	1720
31-Oct-1920	1724
7-Nov-1920	1728
15-Nov-1920	1733
21-Nov-1920	1737
12-Dec-1920	1729
19-Dec-1920	1741
1-May-1921	1725
13-May-1921	1729
22-May-1921	1733
29-May-1921	1716
12-Jun-1921	1724
19-Jun-1921	1726
3-Jul-1921	1734
24-Jul-1921	1742
31-Jul-1921	1747
28-Aug-1921	1750
4-Sep-1921	1767
18-Sep-1921	1772
25-Sep-1921	1778
9-Oct-1921	1781
23-Oct-1921	1787
1-Nov-1921	1790
6-Nov-1921	1782
13-Nov-1921	1785
20-Nov-1921	1788
4-Dec-1921	1795
11-Dec-1921	1802
25-Dec-1921	1820
23-Apr-1922	1819
7-May-1922	1824
21-May-1922	1825
4-Jun-1922	1830
18-Jun-1922	1831
30-Jul-1922	1837
4-Nov-1922	1838
12-Nov-1922	1840
19-Nov-1922	1823
26-Nov-1922	1825
10-Dec-1922	1814
17-Dec-1922	1818
24-Dec-1922	1828
31-Dec-1922	1832
7-Jan-1923	1834
14-Jan-1923	1837
21-Jan-1923	1815
