date	rating
4-abr-1942	1510
12-abr-1942	1514
19-abr-1942	1530
3-mai-1942	1543
10-mai-1942	1554
17-mai-1942	1563
31-mai-1942	1572
7-jun-1942	1584
14-jun-1942	1598
28-jun-1942	1605
19-jul-1942	1612
26-jul-1942	1620
2-ago-1942	1631
9-ago-1942	1647
16-ago-1942	1660
23-ago-1942	1664
8-set-1942	1678
13-set-1942	1682
20-set-1942	1702
4-out-1942	1693
21-mar-1943	1701
28-mar-1943	1707
4-abr-1943	1713
11-abr-1943	1714
17-abr-1943	1721
25-abr-1943	1717
9-mai-1943	1723
23-mai-1943	1706
23-mai-1943	1727
13-jun-1943	1718
11-jul-1943	1724
18-jul-1943	1703
25-jul-1943	1711
1-ago-1943	1714
8-ago-1943	1728
15-ago-1943	1723
21-ago-1943	1726
29-ago-1943	1735
19-set-1943	1755
3-out-1943	1757
26-mar-1944	1753
2-abr-1944	1735
9-abr-1944	1740
16-abr-1944	1744
22-abr-1944	1747
30-abr-1944	1768
4-jun-1944	1769
8-jun-1944	1773
18-jun-1944	1781
25-jun-1944	1788
9-jul-1944	1791
15-jul-1944	1776
23-jul-1944	1782
6-ago-1944	1785
13-ago-1944	1789
27-ago-1944	1779
10-set-1944	1787
17-set-1944	1803
1-out-1944	1805
8-out-1944	1809
1-abr-1945	1812
8-abr-1945	1805
14-abr-1945	1798
22-abr-1945	1789
29-abr-1945	1792
13-mai-1945	1795
19-mai-1945	1798
27-mai-1945	1804
2-jun-1945	1812
10-jun-1945	1811
1-jul-1945	1813
8-jul-1945	1807
15-jul-1945	1798
29-jul-1945	1789
5-ago-1945	1795
25-ago-1945	1803
2-set-1945	1794
8-set-1945	1797
23-set-1945	1799
7-out-1945	1804
14-abr-1946	1806
21-abr-1946	1779
5-mai-1946	1788
11-mai-1946	1781
26-mai-1946	1755
2-jun-1946	1757
19-jun-1946	1762
23-jun-1946	1734
29-jun-1946	1727
21-jul-1946	1731
4-ago-1946	1718
17-ago-1946	1723
25-ago-1946	1715
7-set-1946	1709
15-set-1946	1716
22-set-1946	1725
5-out-1946	1729
20-out-1946	1723
26-out-1946	1705
10-nov-1946	1700
3-jan-1947	1705
18-mai-1947	1710
1-jun-1947	1715
14-jun-1947	1721
29-jun-1947	1735
13-jul-1947	1739
20-jul-1947	1760
17-ago-1947	1772
23-ago-1947	1776
30-ago-1947	1770
13-set-1947	1774
21-set-1947	1777
4-out-1947	1782
18-out-1947	1786
2-nov-1947	1793
23-nov-1947	1781
29-nov-1947	1785
7-dez-1947	1787
14-dez-1947	1789
28-dez-1947	1793
15-mai-1948	1795
30-mai-1948	1772
13-jun-1948	1767
27-jun-1948	1749
4-jul-1948	1748
7-jul-1948	1750
15-ago-1948	1742
21-ago-1948	1725
29-ago-1948	1729
5-set-1948	1731
12-set-1948	1735
25-set-1948	1728
10-out-1948	1716
17-out-1948	1719
24-out-1948	1722
15-nov-1948	1701
21-nov-1948	1679
28-nov-1948	1684
5-dez-1948	1686
26-dez-1948	1679
5-jun-1949	1682
19-jun-1949	1685
2-jul-1949	1700
10-jul-1949	1707
16-jul-1949	1714
24-jul-1949	1703
6-ago-1949	1716
14-ago-1949	1708
20-ago-1949	1692
28-ago-1949	1696
4-set-1949	1699
18-set-1949	1693
25-set-1949	1693
2-out-1949	1701
9-out-1949	1708
23-out-1949	1699
26-out-1949	1708
6-nov-1949	1712
13-nov-1949	1712
20-nov-1949	1704
4-dez-1949	1683
11-dez-1949	1665
20-ago-1950	1661
3-set-1950	1665
9-set-1950	1664
17-set-1950	1676
24-set-1950	1677
1-out-1950	1684
7-out-1950	1688
15-out-1950	1710
22-out-1950	1716
29-out-1950	1725
5-nov-1950	1723
19-nov-1950	1729
25-nov-1950	1723
3-dez-1950	1727
10-dez-1950	1710
16-dez-1950	1692
24-dez-1950	1699
31-dez-1950	1703
7-jan-1951	1688
14-jan-1951	1694
21-jan-1951	1703
28-jan-1951	1706
3-jun-1951	1711
17-jun-1951	1720
24-jun-1951	1724
1-ago-1951	1731
5-ago-1951	1708
11-ago-1951	1712
19-ago-1951	1722
25-ago-1951	1728
2-set-1951	1737
9-set-1951	1747
16-set-1951	1738
23-set-1951	1729
30-set-1951	1738
7-out-1951	1750
21-out-1951	1753
4-nov-1951	1746
