date	rating
4-Sep-1993	1482
12-Sep-1993	1506
16-Sep-1993	1509
18-Sep-1993	1527
22-Sep-1993	1531
25-Sep-1993	1555
29-Sep-1993	1560
6-Oct-1993	1560
10-Oct-1993	1555
13-Oct-1993	1534
16-Oct-1993	1526
20-Oct-1993	1555
24-Oct-1993	1570
27-Oct-1993	1587
14-Aug-1994	1580
17-Aug-1994	1584
21-Aug-1994	1576
25-Aug-1994	1575
28-Aug-1994	1591
1-Sep-1994	1588
4-Sep-1994	1603
11-Sep-1994	1594
18-Sep-1994	1618
24-Sep-1994	1613
2-Oct-1994	1614
8-Oct-1994	1611
12-Oct-1994	1613
15-Oct-1994	1619
19-Oct-1994	1608
26-Oct-1994	1614
30-Oct-1994	1607
2-Nov-1994	1614
5-Nov-1994	1640
9-Nov-1994	1629
12-Nov-1994	1655
20-Nov-1994	1655
23-Nov-1994	1665
27-Nov-1994	1649
29-Nov-1994	1640
20-Aug-1995	1665
23-Aug-1995	1673
26-Aug-1995	1691
30-Aug-1995	1692
3-Sep-1995	1680
17-Sep-1995	1679
20-Sep-1995	1678
24-Sep-1995	1665
30-Sep-1995	1686
4-Oct-1995	1696
8-Oct-1995	1699
12-Oct-1995	1684
14-Oct-1995	1687
22-Oct-1995	1670
29-Oct-1995	1657
5-Nov-1995	1642
10-Nov-1995	1645
12-Nov-1995	1649
19-Nov-1995	1670
22-Nov-1995	1672
26-Nov-1995	1689
29-Nov-1995	1687
3-Dec-1995	1705
11-Aug-1996	1715
14-Aug-1996	1714
18-Aug-1996	1697
21-Aug-1996	1682
25-Aug-1996	1700
28-Aug-1996	1691
31-Aug-1996	1681
5-Sep-1996	1671
8-Sep-1996	1645
15-Sep-1996	1649
22-Sep-1996	1632
29-Sep-1996	1609
5-Oct-1996	1596
9-Oct-1996	1624
13-Oct-1996	1653
20-Oct-1996	1637
26-Oct-1996	1654
3-Nov-1996	1670
6-Nov-1996	1670
10-Nov-1996	1659
17-Nov-1996	1670
20-Nov-1996	1695
24-Nov-1996	1698
6-Jul-1997	1710
9-Jul-1997	1723
13-Jul-1997	1746
16-Jul-1997	1764
20-Jul-1997	1762
27-Jul-1997	1751
3-Aug-1997	1768
9-Aug-1997	1770
17-Aug-1997	1780
20-Aug-1997	1764
24-Aug-1997	1747
27-Aug-1997	1743
31-Aug-1997	1727
7-Sep-1997	1726
11-Sep-1997	1709
14-Sep-1997	1685
17-Sep-1997	1679
20-Sep-1997	1661
28-Sep-1997	1665
4-Oct-1997	1656
11-Oct-1997	1671
19-Oct-1997	1659
26-Oct-1997	1661
2-Nov-1997	1679
9-Nov-1997	1682
26-Jul-1998	1661
2-Aug-1998	1651
5-Aug-1998	1659
9-Aug-1998	1651
12-Aug-1998	1627
16-Aug-1998	1642
19-Aug-1998	1641
26-Aug-1998	1652
30-Aug-1998	1636
2-Sep-1998	1625
6-Sep-1998	1639
9-Sep-1998	1629
12-Sep-1998	1630
19-Sep-1998	1649
27-Sep-1998	1633
30-Sep-1998	1623
8-Oct-1998	1608
10-Oct-1998	1599
18-Oct-1998	1585
21-Oct-1998	1591
24-Oct-1998	1611
1-Nov-1998	1605
12-Nov-1998	1623
25-Jul-1999	1612
8-Aug-1999	1630
15-Aug-1999	1647
18-Aug-1999	1646
22-Aug-1999	1634
29-Aug-1999	1646
5-Sep-1999	1650
15-Sep-1999	1651
19-Sep-1999	1657
22-Sep-1999	1649
26-Sep-1999	1625
29-Sep-1999	1628
6-Oct-1999	1614
9-Oct-1999	1608
16-Oct-1999	1620
24-Oct-1999	1607
27-Oct-1999	1639
30-Oct-1999	1631
4-Nov-1999	1645
7-Nov-1999	1634
10-Nov-1999	1635
1-Aug-2001	1655
5-Aug-2001	1644
8-Aug-2001	1661
12-Aug-2001	1682
15-Aug-2001	1673
18-Aug-2001	1659
25-Aug-2001	1646
29-Aug-2001	1623
1-Sep-2001	1653
8-Sep-2001	1674
15-Sep-2001	1698
19-Sep-2001	1719
23-Sep-2001	1695
29-Sep-2001	1710
2-Oct-2001	1693
6-Oct-2001	1696
10-Oct-2001	1677
13-Oct-2001	1693
21-Oct-2001	1689
27-Oct-2001	1675
3-Nov-2001	1659
8-Nov-2001	1659
11-Nov-2001	1639
15-Nov-2001	1631
18-Nov-2001	1618
25-Nov-2001	1637
2-Dec-2001	1661
10-Aug-2002	1678
15-Aug-2002	1664
18-Aug-2002	1657
28-Aug-2002	1646
1-Sep-2002	1669
4-Sep-2002	1657
8-Sep-2002	1673
11-Sep-2002	1663
14-Sep-2002	1666
19-Sep-2002	1651
22-Sep-2002	1641
25-Sep-2002	1630
28-Sep-2002	1645
3-Oct-2002	1647
8-Oct-2002	1635
12-Oct-2002	1650
16-Oct-2002	1627
19-Oct-2002	1616
23-Oct-2002	1629
31-Oct-2002	1652
2-Nov-2002	1633
7-Nov-2002	1649
10-Nov-2002	1632
14-Nov-2002	1637
17-Nov-2002	1636
30-Mar-2003	1640
6-Apr-2003	1667
13-Apr-2003	1648
17-Apr-2003	1670
20-Apr-2003	1670
26-Apr-2003	1689
4-May-2003	1675
10-May-2003	1687
18-May-2003	1674
24-May-2003	1678
1-Jun-2003	1700
8-Jun-2003	1673
15-Jun-2003	1657
21-Jun-2003	1645
29-Jun-2003	1649
5-Jul-2003	1677
10-Jul-2003	1696
13-Jul-2003	1675
20-Jul-2003	1660
23-Jul-2003	1675
27-Jul-2003	1697
31-Jul-2003	1710
3-Aug-2003	1710
6-Aug-2003	1696
9-Aug-2003	1686
17-Aug-2003	1686
20-Aug-2003	1674
24-Aug-2003	1689
31-Aug-2003	1666
14-Sep-2003	1657
20-Sep-2003	1631
24-Sep-2003	1659
28-Sep-2003	1643
5-Oct-2003	1666
9-Oct-2003	1687
12-Oct-2003	1685
19-Oct-2003	1710
23-Oct-2003	1712
26-Oct-2003	1710
1-Nov-2003	1724
5-Nov-2003	1723
8-Nov-2003	1732
23-Nov-2003	1720
30-Nov-2003	1695
6-Dec-2003	1694
13-Dec-2003	1710
21-Apr-2004	1726
25-Apr-2004	1694
29-Apr-2004	1706
2-May-2004	1679
8-May-2004	1707
16-May-2004	1710
23-May-2004	1695
30-May-2004	1678
12-Jun-2004	1674
19-Jun-2004	1674
26-Jun-2004	1673
4-Jul-2004	1664
7-Jul-2004	1679
10-Jul-2004	1663
13-Jul-2004	1667
17-Jul-2004	1658
20-Jul-2004	1633
24-Jul-2004	1652
29-Jul-2004	1631
1-Aug-2004	1616
4-Aug-2004	1598
7-Aug-2004	1582
