date	rating
26-jan-1969	1487
29-jan-1969	1479
2-fev-1969	1480
9-fev-1969	1466
23-fev-1969	1461
2-mar-1969	1459
9-mar-1969	1461
15-mar-1969	1453
16-mar-1969	1449
23-mar-1969	1444
26-mar-1969	1468
30-mar-1969	1473
13-abr-1969	1467
20-abr-1969	1479
4-mai-1969	1494
8-mai-1969	1489
11-mai-1969	1502
21-mai-1969	1508
25-mai-1969	1502
28-mai-1969	1499
5-jun-1969	1495
8-jun-1969	1506
29-jun-1969	1518
3-jul-1969	1529
13-jul-1969	1519
27-jul-1969	1505
28-fev-1971	1500
4-mar-1971	1496
12-mar-1971	1491
21-mar-1971	1482
24-mar-1971	1486
28-mar-1971	1475
4-abr-1971	1478
11-abr-1971	1469
18-abr-1971	1476
21-abr-1971	1465
25-abr-1971	1477
9-mai-1971	1473
15-mai-1971	1468
19-mai-1971	1463
23-mai-1971	1454
27-mai-1971	1449
30-mai-1971	1454
6-jun-1971	1468
12-jun-1971	1466
16-jun-1971	1458
20-jun-1971	1469
26-jun-1971	1471
2-mar-1975	1465
9-mar-1975	1459
16-mar-1975	1464
26-mar-1975	1470
30-mar-1975	1464
2-abr-1975	1466
6-abr-1975	1477
9-abr-1975	1471
13-abr-1975	1462
20-abr-1975	1475
23-abr-1975	1484
27-abr-1975	1483
30-abr-1975	1468
4-mai-1975	1457
11-mai-1975	1445
18-mai-1975	1433
21-mai-1975	1421
25-mai-1975	1423
29-mai-1975	1419
1-jun-1975	1421
8-jun-1975	1409
11-jun-1975	1402
15-jun-1975	1400
29-jun-1975	1415
6-jul-1975	1409
13-jul-1975	1401
20-jul-1975	1394
22-fev-1976	1389
28-fev-1976	1386
7-mar-1976	1390
13-mar-1976	1378
21-mar-1976	1376
28-mar-1976	1373
4-abr-1976	1389
11-abr-1976	1392
18-abr-1976	1383
25-abr-1976	1391
2-mai-1976	1391
9-mai-1976	1398
16-mai-1976	1401
13-jun-1976	1415
20-jun-1976	1408
27-jun-1976	1399
4-jul-1976	1392
5-fev-1977	1389
12-fev-1977	1396
19-fev-1977	1392
27-fev-1977	1382
6-mar-1977	1390
13-mar-1977	1395
16-mar-1977	1401
19-mar-1977	1414
27-mar-1977	1414
6-abr-1977	1420
10-abr-1977	1438
13-abr-1977	1439
24-abr-1977	1430
27-abr-1977	1443
1-mai-1977	1445
4-mai-1977	1439
8-mai-1977	1433
11-mai-1977	1424
22-mai-1977	1420
29-mai-1977	1417
1-jun-1977	1424
5-jun-1977	1424
9-jun-1977	1412
12-jun-1977	1409
18-jun-1977	1404
25-jun-1977	1398
2-jul-1977	1393
6-jul-1977	1381
9-jul-1977	1395
17-jul-1977	1396
24-jul-1977	1417
31-jul-1977	1410
3-ago-1977	1425
7-ago-1977	1439
10-ago-1977	1453
14-ago-1977	1443
20-ago-1978	1440
