date	rating
3-May-1906	1478
3-Jun-1906	1498
17-Jun-1906	1488
8-Jul-1906	1506
22-Jul-1906	1524
5-Aug-1906	1541
19-Aug-1906	1557
2-Sep-1906	1540
16-Sep-1906	1548
12-Oct-1906	1556
3-May-1908	1536
17-May-1908	1517
21-Jun-1908	1499
26-Jul-1908	1508
9-Aug-1908	1492
23-Aug-1908	1471
13-Sep-1908	1480
20-Sep-1908	1460
4-Oct-1908	1456
18-Oct-1908	1448
7-May-1911	1443
4-Jun-1911	1438
2-Jul-1911	1430
23-Jul-1911	1415
3-Sep-1911	1411
24-Sep-1911	1405
22-Oct-1911	1417
3-May-1913	1434
11-May-1913	1445
25-May-1913	1468
8-Jun-1913	1458
29-Jun-1913	1459
27-Jul-1913	1488
10-Aug-1913	1480
17-Aug-1913	1478
7-Sep-1913	1487
28-Sep-1913	1493
5-Oct-1913	1507
12-Oct-1913	1493
26-Oct-1913	1503
1-Nov-1913	1498
23-Nov-1913	1492
3-May-1914	1484
10-May-1914	1484
24-May-1914	1478
7-Jun-1914	1458
21-Jun-1914	1451
14-Jul-1914	1446
16-Aug-1914	1438
30-Aug-1914	1429
6-Sep-1914	1440
13-Sep-1914	1447
25-Oct-1914	1443
8-Nov-1914	1436
