date	rating
8-jul-1962	1486
18-jul-1962	1513
22-jul-1962	1513
28-jul-1962	1511
2-ago-1962	1538
30-ago-1962	1533
9-jun-1963	1560
7-jul-1963	1587
7-ago-1963	1569
15-ago-1963	1554
7-fev-1965	1551
28-fev-1965	1568
7-mar-1965	1552
10-mar-1965	1574
25-mar-1965	1568
28-mar-1965	1592
31-mar-1965	1614
9-abr-1965	1599
12-abr-1965	1624
15-abr-1965	1597
30-jan-1966	1569
2-fev-1966	1551
6-fev-1966	1563
9-fev-1966	1576
13-fev-1966	1588
2-mar-1966	1604
5-mar-1966	1618
8-mar-1966	1632
11-mar-1966	1650
20-mar-1966	1678
30-mar-1966	1657
10-abr-1966	1682
19-abr-1966	1697
23-abr-1966	1708
14-mai-1966	1728
18-mai-1966	1709
20-mai-1966	1728
11-jun-1967	1713
18-jun-1967	1694
5-jul-1967	1708
16-jul-1967	1708
2-fev-1968	1723
7-fev-1968	1734
12-fev-1968	1745
16-fev-1968	1743
20-fev-1968	1718
24-fev-1968	1711
16-mar-1968	1721
20-mar-1968	1726
25-mar-1968	1719
31-mar-1968	1728
4-abr-1968	1733
10-abr-1968	1727
18-abr-1968	1713
23-abr-1968	1700
23-fev-1969	1699
26-fev-1969	1708
2-mar-1969	1699
9-mar-1969	1698
12-mar-1969	1710
15-mar-1969	1719
30-mar-1969	1711
7-abr-1969	1719
26-abr-1969	1697
30-abr-1969	1714
4-mai-1969	1715
15-fev-1970	1714
22-fev-1970	1706
27-fev-1970	1710
6-mar-1970	1711
10-mar-1970	1717
15-mar-1970	1735
12-abr-1970	1746
19-abr-1970	1715
26-abr-1970	1727
2-mai-1970	1734
8-mai-1970	1713
12-mai-1970	1728
14-mai-1970	1722
21-mai-1970	1710
27-mai-1970	1713
2-mar-1971	1697
7-mar-1971	1704
13-mar-1971	1695
19-mar-1971	1702
22-mar-1971	1719
30-mar-1971	1697
19-fev-1972	1703
27-fev-1972	1710
12-mar-1972	1720
16-mar-1972	1730
11-abr-1972	1738
21-abr-1972	1739
29-abr-1972	1733
3-mai-1972	1709
17-fev-1973	1692
25-fev-1973	1678
10-mar-1973	1683
10-mar-1973	1659
14-mar-1973	1663
21-mar-1973	1649
6-fev-1974	1669
13-fev-1974	1664
20-fev-1974	1678
24-fev-1974	1658
1-mar-1974	1675
8-mar-1974	1673
11-set-1974	1671
18-set-1974	1657
25-set-1974	1679
2-out-1974	1681
6-mar-1975	1689
11-mar-1975	1702
21-mar-1975	1681
26-mar-1975	1689
2-abr-1975	1700
6-abr-1975	1680
3-mar-1976	1682
13-mar-1976	1677
17-mar-1976	1655
24-mar-1976	1671
30-mar-1976	1679
4-abr-1976	1698
26-mai-1976	1685
15-jun-1976	1699
30-jun-1976	1669
15-jul-1976	1657
31-mar-1977	1625
13-abr-1977	1613
20-abr-1977	1601
26-abr-1977	1605
11-mai-1977	1594
18-mai-1977	1613
19-abr-1978	1628
14-mai-1978	1610
17-mai-1978	1589
7-jun-1978	1599
18-jul-1978	1576
23-jul-1978	1586
7-mar-1979	1589
13-mar-1979	1609
23-mar-1979	1619
28-mar-1979	1621
5-abr-1979	1630
8-abr-1979	1645
10-mai-1979	1649
16-mai-1979	1640
20-jun-1979	1629
4-jul-1979	1637
25-mar-1981	1651
22-abr-1981	1659
26-abr-1981	1670
6-mai-1981	1664
13-mai-1981	1676
18-mai-1981	1685
30-set-1981	1686
13-out-1981	1667
21-out-1981	1668
28-out-1981	1642
5-ago-1982	1656
20-ago-1982	1677
27-ago-1982	1695
9-set-1982	1686
14-set-1982	1703
17-set-1982	1682
19-out-1982	1705
28-out-1982	1729
12-nov-1982	1743
16-nov-1982	1762
26-nov-1982	1759
30-nov-1982	1771
18-jun-1983	1762
5-jul-1983	1782
13-jul-1983	1787
15-jul-1983	1800
22-jul-1983	1799
28-jul-1983	1783
23-abr-1985	1790
30-abr-1985	1779
3-mai-1985	1787
15-mai-1985	1795
24-mai-1985	1800
31-mai-1985	1809
18-set-1985	1802
25-set-1985	1815
29-set-1985	1772
2-out-1985	1741
9-jul-1986	1707
17-jul-1986	1692
24-jul-1986	1670
29-jul-1986	1651
1-ago-1986	1653
6-ago-1986	1635
6-mai-1987	1645
20-mai-1987	1653
22-mai-1987	1647
26-mai-1987	1639
2-jun-1987	1653
9-jun-1987	1664
2-set-1987	1698
16-set-1987	1701
30-set-1987	1727
7-out-1987	1713
21-out-1987	1697
28-out-1987	1714
31-out-1987	1728
21-set-1988	1724
28-set-1988	1705
17-fev-1989	1665
21-fev-1989	1672
24-fev-1989	1638
8-mar-1989	1652
17-mar-1989	1677
24-mar-1989	1669
5-abr-1989	1644
11-abr-1989	1633
19-fev-1995	1628
22-fev-1995	1618
8-mar-1995	1621
15-mar-1995	1637
14-abr-1995	1655
19-abr-1995	1658
26-abr-1995	1635
3-mai-1995	1614
18-mar-1996	1630
23-mar-1996	1648
26-mar-1996	1643
7-abr-1996	1637
13-abr-1996	1634
16-abr-1996	1613
2-mai-1996	1598
8-mai-1996	1572
27-fev-1997	1600
7-mar-1997	1617
11-mar-1997	1596
14-mar-1997	1613
19-mar-1997	1586
18-abr-1997	1604
23-abr-1997	1583
6-mai-1997	1611
21-mai-1997	1626
25-fev-1998	1639
3-mar-1998	1632
6-mar-1998	1616
18-mar-1998	1636
27-mar-1998	1653
31-mar-1998	1638
22-abr-1998	1616
29-abr-1998	1626
20-mai-1998	1650
27-mai-1998	1621
22-fev-2000	1621
2-mar-2000	1634
16-mar-2000	1635
5-abr-2000	1659
13-abr-2000	1655
19-abr-2000	1636
4-mai-2000	1666
11-mai-2000	1649
13-fev-2001	1636
22-fev-2001	1629
6-mar-2001	1618
5-abr-2001	1609
18-abr-2001	1622
2-mai-2001	1611
5-fev-2002	1595
19-fev-2002	1617
6-mar-2002	1630
12-mar-2002	1654
19-mar-2002	1609
9-abr-2002	1628
24-abr-2002	1626
30-abr-2002	1624
9-mai-2002	1646
14-mai-2002	1636
18-fev-2003	1642
25-fev-2003	1611
11-mar-2003	1632
18-mar-2003	1658
2-abr-2003	1638
10-abr-2003	1611
11-fev-2004	1597
2-mar-2004	1604
16-mar-2004	1624
23-mar-2004	1593
8-abr-2004	1601
15-abr-2004	1635
3-fev-2005	1606
10-fev-2005	1635
29-jan-2009	1604
3-fev-2009	1605
24-fev-2011	1583
1-mar-2011	1601
9-mar-2011	1617
17-mar-2011	1586
31-mar-2011	1599
12-abr-2011	1585
16-fev-2012	1566
21-fev-2012	1544
6-mar-2012	1547
27-mar-2012	1535
10-abr-2012	1517
19-abr-2012	1539
13-fev-2013	1552
19-fev-2013	1565
26-fev-2013	1555
12-mar-2013	1542
2-abr-2013	1516
9-abr-2013	1538
