date	rating
18-jan-1981	1505
21-jan-1981	1520
25-jan-1981	1525
28-jan-1981	1534
1-fev-1981	1517
4-fev-1981	1523
7-fev-1981	1523
14-fev-1981	1527
19-fev-1981	1516
27-jan-1985	1516
30-jan-1985	1527
3-fev-1985	1523
6-fev-1985	1510
10-fev-1985	1503
14-fev-1985	1510
24-fev-1985	1513
27-fev-1985	1524
3-mar-1985	1514
6-mar-1985	1533
10-mar-1985	1548
14-mar-1985	1545
17-mar-1985	1557
23-mar-1985	1566
27-mar-1985	1564
30-mar-1985	1557
3-abr-1985	1561
7-abr-1985	1549
10-abr-1985	1566
14-abr-1985	1566
17-abr-1985	1552
21-abr-1985	1547
