date	rating
22-abr-1923	1495
6-mai-1923	1498
13-mai-1923	1497
20-mai-1923	1505
27-mai-1923	1499
3-jun-1923	1505
10-jun-1923	1505
24-jun-1923	1490
1-jul-1923	1476
22-jul-1923	1486
12-ago-1923	1500
26-ago-1923	1511
2-set-1923	1511
9-set-1923	1529
16-set-1923	1525
4-out-1923	1518
21-out-1923	1533
28-out-1923	1525
20-abr-1924	1520
27-abr-1924	1505
4-mai-1924	1512
13-mai-1924	1518
25-mai-1924	1512
8-jun-1924	1524
22-jun-1924	1521
31-ago-1924	1519
14-set-1924	1505
28-set-1924	1478
23-nov-1924	1473
30-nov-1924	1457
14-dez-1924	1452
28-dez-1924	1448
4-jan-1925	1442
11-jan-1925	1433
19-abr-1925	1428
26-abr-1925	1447
10-mai-1925	1443
24-mai-1925	1433
31-mai-1925	1439
14-jun-1925	1430
21-jun-1925	1422
27-set-1925	1442
4-out-1925	1436
11-out-1925	1450
25-out-1925	1444
16-mar-1930	1441
23-mar-1930	1455
30-mar-1930	1449
6-abr-1930	1451
20-abr-1930	1476
27-abr-1930	1476
3-mai-1930	1482
11-mai-1930	1479
18-mai-1930	1488
25-mai-1930	1505
1-jun-1930	1511
15-jun-1930	1524
15-jun-1930	1536
24-ago-1930	1522
31-ago-1930	1509
7-set-1930	1515
14-set-1930	1512
21-set-1930	1531
28-set-1930	1544
12-out-1930	1555
16-nov-1930	1542
23-nov-1930	1552
30-nov-1930	1538
14-dez-1930	1545
21-dez-1930	1539
28-dez-1930	1524
5-abr-1931	1530
12-abr-1931	1542
1-mai-1931	1548
10-mai-1931	1554
17-mai-1931	1568
24-mai-1931	1556
7-jun-1931	1553
14-jun-1931	1563
21-jun-1931	1559
28-jun-1931	1564
20-set-1931	1553
27-set-1931	1547
4-out-1931	1551
18-out-1931	1560
24-out-1931	1555
1-nov-1931	1566
8-nov-1931	1567
15-nov-1931	1559
22-nov-1931	1543
29-nov-1931	1551
6-dez-1931	1563
13-dez-1931	1552
20-dez-1931	1567
27-dez-1931	1570
3-jan-1932	1575
10-jan-1932	1586
1-mai-1932	1579
8-mai-1932	1573
22-mai-1932	1582
5-jun-1932	1565
12-jun-1932	1565
19-jun-1932	1569
26-jun-1932	1557
6-nov-1932	1562
20-nov-1932	1556
5-dez-1932	1546
18-dez-1932	1562
7-mai-1933	1558
21-mai-1933	1578
28-mai-1933	1590
11-jun-1933	1596
25-jun-1933	1621
23-jul-1933	1625
30-jul-1933	1616
7-set-1933	1622
24-set-1933	1615
15-out-1933	1624
22-out-1933	1642
5-nov-1933	1648
12-nov-1933	1654
26-nov-1933	1676
1-abr-1934	1675
15-abr-1934	1681
29-abr-1934	1676
13-mai-1934	1681
20-mai-1934	1671
27-mai-1934	1675
3-jun-1934	1683
24-jun-1934	1692
8-jul-1934	1697
29-jul-1934	1691
12-ago-1934	1687
26-ago-1934	1690
2-set-1934	1698
16-set-1934	1707
20-mar-1938	1679
25-set-1938	1685
2-out-1938	1673
9-out-1938	1649
6-nov-1938	1653
8-jan-1939	1667
19-mar-1939	1657
26-mar-1939	1645
2-abr-1939	1662
9-abr-1939	1650
21-mai-1939	1654
28-mai-1939	1632
4-jun-1939	1645
18-jun-1939	1655
9-jul-1939	1664
16-jul-1939	1658
23-jul-1939	1651
6-ago-1939	1660
13-ago-1939	1670
27-ago-1939	1679
