date	rating
3-Oct-1937	1512
10-Oct-1937	1511
14-Oct-1937	1495
21-Oct-1937	1509
24-Oct-1937	1501
30-Oct-1937	1495
5-Nov-1937	1489
7-Nov-1937	1477
14-Nov-1937	1482
21-Nov-1937	1473
27-Nov-1937	1498
8-Dec-1937	1515
12-Dec-1937	1500
19-Dec-1937	1493
22-Dec-1937	1487
29-Dec-1937	1490
2-Jan-1938	1480
9-Jan-1938	1495
12-Jan-1938	1488
15-Jan-1938	1483
22-Jan-1938	1475
26-Jan-1938	1492
12-Jul-1953	1490
19-Jul-1953	1517
26-Jul-1953	1514
2-Aug-1953	1530
9-Aug-1953	1524
16-Aug-1953	1515
23-Aug-1953	1506
30-Aug-1953	1496
6-Sep-1953	1481
13-Sep-1953	1471
20-Sep-1953	1479
27-Sep-1953	1490
4-Oct-1953	1487
11-Oct-1953	1482
18-Oct-1953	1479
25-Oct-1953	1470
1-Nov-1953	1460
11-Nov-1953	1456
15-Nov-1953	1434
22-Nov-1953	1426
28-Nov-1953	1440
5-Dec-1953	1431
22-Aug-1954	1429
29-Aug-1954	1424
5-Sep-1954	1421
12-Sep-1954	1419
19-Sep-1954	1441
26-Sep-1954	1439
2-Oct-1954	1437
10-Oct-1954	1436
24-Oct-1954	1428
31-Oct-1954	1446
7-Nov-1954	1442
14-Nov-1954	1436
21-Nov-1954	1435
28-Nov-1954	1433
5-Dec-1954	1431
12-Dec-1954	1430
19-Dec-1954	1417
29-Dec-1954	1401
2-Jan-1955	1420
8-Jan-1955	1407
16-Jan-1955	1404
20-Jan-1955	1416
7-Aug-1955	1412
14-Aug-1955	1411
20-Aug-1955	1409
28-Aug-1955	1407
4-Sep-1955	1408
11-Sep-1955	1411
25-Sep-1955	1408
29-Sep-1955	1420
9-Oct-1955	1437
23-Oct-1955	1419
30-Oct-1955	1437
6-Nov-1955	1456
20-Nov-1955	1454
27-Nov-1955	1452
4-Dec-1955	1447
8-Dec-1955	1437
18-Dec-1955	1432
8-Jan-1956	1424
14-Jan-1956	1422
20-Jan-1956	1431
28-Jan-1956	1428
3-Feb-1956	1439
26-Jul-1956	1436
