date	rating
13-jun-1937	1500
27-jun-1937	1500
11-jul-1937	1510
1-ago-1937	1524
8-ago-1937	1535
15-ago-1937	1537
5-set-1937	1549
12-set-1937	1546
19-set-1937	1540
10-out-1937	1555
31-out-1937	1586
7-nov-1937	1603
21-nov-1937	1614
12-dez-1937	1593
13-mar-1938	1605
20-mar-1938	1608
2-out-1938	1620
6-nov-1938	1607
4-dez-1938	1620
19-mar-1939	1627
26-mar-1939	1633
2-abr-1939	1621
8-abr-1939	1616
16-abr-1939	1621
28-mai-1939	1604
4-jun-1939	1581
18-jun-1939	1586
25-jun-1939	1578
9-jul-1939	1566
16-jul-1939	1545
30-jul-1939	1536
13-ago-1939	1526
20-ago-1939	1538
27-ago-1939	1532
10-set-1939	1545
17-set-1939	1553
1-out-1939	1559
8-out-1939	1555
22-out-1939	1536
29-out-1939	1521
12-nov-1939	1503
31-dez-1939	1497
7-jan-1940	1514
21-jan-1940	1510
2-jun-1940	1528
9-jun-1940	1541
23-jun-1940	1553
7-jul-1940	1540
14-jul-1940	1566
28-jul-1940	1555
4-ago-1940	1552
18-ago-1940	1534
25-ago-1940	1548
1-set-1940	1562
15-set-1940	1568
5-out-1940	1578
20-out-1940	1579
10-nov-1940	1570
17-nov-1940	1564
30-nov-1940	1575
8-dez-1940	1591
14-dez-1940	1599
22-dez-1940	1598
25-dez-1940	1602
9-mar-1941	1610
30-mar-1941	1604
6-abr-1941	1612
12-abr-1941	1590
4-mai-1941	1583
11-mai-1941	1583
25-mai-1941	1573
1-jun-1941	1575
8-jun-1941	1561
22-jun-1941	1561
20-jul-1941	1556
3-ago-1941	1563
7-ago-1941	1570
16-ago-1941	1569
31-ago-1941	1564
7-set-1941	1574
21-set-1941	1566
28-set-1941	1556
4-out-1941	1553
19-out-1941	1543
22-mar-1942	1523
29-mar-1942	1513
11-abr-1942	1508
3-mai-1942	1489
17-mai-1942	1498
23-mai-1942	1517
31-mai-1942	1509
14-jun-1942	1515
20-jun-1942	1509
28-jun-1942	1497
12-jul-1942	1482
19-jul-1942	1461
26-jul-1942	1455
1-ago-1942	1445
9-ago-1942	1468
15-ago-1942	1479
30-ago-1942	1463
13-set-1942	1459
20-set-1942	1456
4-out-1942	1469
21-mar-1943	1462
11-abr-1943	1453
18-abr-1943	1436
25-abr-1943	1432
2-mai-1943	1443
9-mai-1943	1451
23-mai-1943	1444
23-mai-1943	1431
6-jun-1943	1442
20-jun-1943	1436
4-jul-1943	1424
11-jul-1943	1418
18-jul-1943	1407
1-ago-1943	1422
8-ago-1943	1410
14-ago-1943	1405
29-ago-1943	1386
5-set-1943	1396
26-set-1943	1386
2-out-1943	1384
19-mar-1944	1376
26-mar-1944	1371
2-abr-1944	1389
16-abr-1944	1386
30-abr-1944	1380
28-mai-1944	1378
8-jun-1944	1388
18-jun-1944	1402
25-jun-1944	1388
2-jul-1944	1392
9-jul-1944	1389
16-jul-1944	1394
22-jul-1944	1402
6-ago-1944	1383
13-ago-1944	1375
20-ago-1944	1368
10-set-1944	1364
24-set-1944	1343
1-out-1944	1340
8-out-1944	1331
1-abr-1945	1329
