date	rating
8-jul-1962	1500
11-jul-1962	1490
15-jul-1962	1484
22-jul-1962	1478
29-jul-1962	1493
1-ago-1962	1481
5-ago-1962	1479
15-ago-1962	1476
19-ago-1962	1469
26-ago-1962	1454
2-set-1962	1460
9-set-1962	1468
16-set-1962	1479
23-set-1962	1469
30-set-1962	1481
14-out-1962	1491
17-out-1962	1490
21-out-1962	1505
28-out-1962	1498
1-nov-1962	1503
4-nov-1962	1485
8-nov-1962	1477
11-nov-1962	1469
15-nov-1962	1489
18-nov-1962	1472
21-nov-1962	1481
2-dez-1962	1492
6-dez-1962	1482
9-dez-1962	1485
15-dez-1962	1481
12-mai-1963	1486
19-mai-1963	1476
26-mai-1963	1466
2-jun-1963	1458
16-jun-1963	1460
23-jun-1963	1481
30-jun-1963	1487
7-jul-1963	1497
14-jul-1963	1521
18-jul-1963	1516
27-jul-1963	1509
1-set-1963	1510
8-set-1963	1532
18-set-1963	1540
21-set-1963	1526
29-set-1963	1517
5-out-1963	1513
17-out-1963	1502
20-out-1963	1520
26-out-1963	1502
3-nov-1963	1499
6-nov-1963	1488
10-nov-1963	1510
14-nov-1963	1501
17-nov-1963	1493
24-nov-1963	1488
28-nov-1963	1493
1-dez-1963	1475
8-dez-1963	1466
15-dez-1963	1468
5-jul-1964	1457
12-jul-1964	1476
19-jul-1964	1472
22-jul-1964	1475
26-jul-1964	1481
2-ago-1964	1472
9-ago-1964	1494
16-ago-1964	1494
23-ago-1964	1487
26-ago-1964	1490
30-ago-1964	1491
6-set-1964	1480
13-set-1964	1505
20-set-1964	1529
27-set-1964	1541
4-out-1964	1545
11-out-1964	1538
18-out-1964	1520
21-out-1964	1522
25-out-1964	1540
28-out-1964	1529
1-nov-1964	1519
8-nov-1964	1511
11-nov-1964	1530
15-nov-1964	1518
18-nov-1964	1532
22-nov-1964	1520
29-nov-1964	1544
5-dez-1964	1548
13-dez-1964	1535
4-jul-1965	1553
7-jul-1965	1546
13-jul-1965	1540
18-jul-1965	1571
25-jul-1965	1565
1-ago-1965	1548
8-ago-1965	1549
15-ago-1965	1543
22-ago-1965	1533
29-ago-1965	1543
1-set-1965	1532
4-set-1965	1542
7-set-1965	1533
12-set-1965	1530
19-set-1965	1538
23-set-1965	1535
26-set-1965	1539
3-out-1965	1552
10-out-1965	1545
17-out-1965	1562
20-out-1965	1573
24-out-1965	1587
31-out-1965	1581
7-nov-1965	1570
14-nov-1965	1568
17-nov-1965	1551
28-nov-1965	1551
5-dez-1965	1548
12-dez-1965	1560
16-dez-1965	1563
31-jul-1966	1556
7-ago-1966	1566
10-ago-1966	1555
14-ago-1966	1558
21-ago-1966	1544
28-ago-1966	1541
31-ago-1966	1553
4-set-1966	1541
7-set-1966	1539
11-set-1966	1534
18-set-1966	1549
21-set-1966	1561
25-set-1966	1556
9-out-1966	1566
16-out-1966	1578
19-out-1966	1578
23-out-1966	1594
30-out-1966	1591
3-nov-1966	1576
6-nov-1966	1594
13-nov-1966	1610
16-nov-1966	1613
23-nov-1966	1607
30-nov-1966	1602
4-dez-1966	1614
11-dez-1966	1592
17-dez-1966	1590
19-dez-1966	1583
4-jul-1967	1575
9-jul-1967	1568
12-jul-1967	1568
16-jul-1967	1582
23-jul-1967	1607
26-jul-1967	1588
30-jul-1967	1564
6-ago-1967	1572
9-ago-1967	1565
15-ago-1967	1563
20-ago-1967	1557
3-set-1967	1547
7-set-1967	1548
16-set-1967	1539
24-set-1967	1531
1-out-1967	1510
8-out-1967	1510
14-out-1967	1497
22-out-1967	1494
29-out-1967	1486
5-nov-1967	1468
12-nov-1967	1487
15-nov-1967	1501
26-nov-1967	1495
10-dez-1967	1490
17-dez-1967	1518
