date	rating
14-fev-1962	1514
20-fev-1962	1496
24-fev-1962	1483
27-fev-1962	1485
8-mar-1967	1517
15-mar-1967	1488
26-mar-1967	1510
29-mar-1967	1526
5-abr-1967	1548
5-abr-1967	1575
18-abr-1967	1592
20-abr-1967	1611
2-mai-1967	1633
11-mai-1967	1635
1-jun-1967	1637
7-jun-1967	1648
15-jun-1967	1629
22-jun-1967	1645
28-jun-1967	1659
12-jul-1967	1680
18-jul-1967	1691
15-ago-1967	1692
25-ago-1967	1694
29-ago-1967	1710
18-abr-1968	1727
24-abr-1968	1693
27-abr-1968	1691
12-fev-1989	1691
28-fev-1989	1671
2-mar-1989	1680
8-mar-1989	1664
17-mar-1989	1683
24-mar-1989	1694
29-mar-1989	1671
5-abr-1989	1639
12-abr-1989	1650
27-fev-1997	1645
2-mar-1997	1616
12-mar-1997	1603
7-mai-1997	1609
21-mai-1997	1595
30-jul-1997	1570
18-fev-2003	1565
25-fev-2003	1582
12-mar-2003	1594
25-mar-2003	1588
9-abr-2003	1618
16-abr-2003	1624
29-abr-2003	1627
13-mai-2003	1631
