date	rating
3-jun-1951	1490
10-jun-1951	1486
17-jun-1951	1496
24-jun-1951	1508
29-jul-1951	1504
5-ago-1951	1503
11-ago-1951	1499
19-ago-1951	1504
26-ago-1951	1500
2-set-1951	1511
9-set-1951	1497
16-set-1951	1513
23-set-1951	1514
29-set-1951	1502
21-out-1951	1497
28-out-1951	1492
4-nov-1951	1500
10-nov-1951	1487
17-nov-1951	1482
24-nov-1951	1492
2-dez-1951	1484
9-dez-1951	1481
15-dez-1951	1476
23-dez-1951	1477
29-dez-1951	1458
6-jan-1952	1458
13-jan-1952	1469
20-jan-1952	1478
30-ago-1952	1474
7-set-1952	1469
14-set-1952	1459
21-set-1952	1462
27-set-1952	1474
5-out-1952	1472
8-out-1952	1465
12-out-1952	1463
19-out-1952	1447
26-out-1952	1429
29-out-1952	1407
2-nov-1952	1414
9-nov-1952	1402
13-nov-1952	1398
16-nov-1952	1416
23-nov-1952	1418
29-nov-1952	1408
4-dez-1952	1405
7-dez-1952	1408
10-dez-1952	1410
14-dez-1952	1425
21-dez-1952	1407
28-dez-1952	1403
4-jan-1953	1407
7-jan-1953	1403
11-jan-1953	1397
14-jan-1953	1411
18-jan-1953	1429
25-jan-1953	1446
1-fev-1953	1427
