date	rating
9-set-1972	1500
13-set-1972	1506
17-set-1972	1527
20-set-1972	1529
24-set-1972	1535
27-set-1972	1541
1-out-1972	1535
4-out-1972	1539
7-out-1972	1533
11-out-1972	1554
15-out-1972	1564
18-out-1972	1563
22-out-1972	1589
25-out-1972	1592
29-out-1972	1589
1-nov-1972	1556
5-nov-1972	1562
8-nov-1972	1554
12-nov-1972	1553
16-nov-1972	1565
19-nov-1972	1561
22-nov-1972	1550
26-nov-1972	1555
29-nov-1972	1559
3-dez-1972	1564
26-ago-1973	1557
29-ago-1973	1570
2-set-1973	1582
5-set-1973	1594
9-set-1973	1574
13-set-1973	1561
16-set-1973	1573
23-set-1973	1560
27-set-1973	1554
30-set-1973	1564
4-out-1973	1565
7-out-1973	1550
14-out-1973	1537
17-out-1973	1523
21-out-1973	1540
27-out-1973	1529
31-out-1973	1521
4-nov-1973	1502
7-nov-1973	1517
10-nov-1973	1496
14-nov-1973	1496
17-nov-1973	1493
25-nov-1973	1517
28-nov-1973	1538
2-dez-1973	1556
8-dez-1973	1554
12-dez-1973	1565
15-dez-1973	1562
10-mar-1974	1567
14-mar-1974	1559
17-mar-1974	1560
20-mar-1974	1553
23-mar-1974	1537
30-mar-1974	1511
6-abr-1974	1506
13-abr-1974	1508
20-abr-1974	1510
27-abr-1974	1513
4-mai-1974	1533
11-mai-1974	1515
16-mai-1974	1534
18-mai-1974	1532
25-mai-1974	1558
1-jun-1974	1545
5-jun-1974	1531
9-jun-1974	1548
13-jun-1974	1565
24-ago-1975	1578
31-ago-1975	1580
3-set-1975	1582
7-set-1975	1595
10-set-1975	1571
13-set-1975	1572
17-set-1975	1579
21-set-1975	1595
24-set-1975	1591
2-out-1975	1608
8-out-1975	1593
12-out-1975	1582
15-out-1975	1569
19-out-1975	1559
22-out-1975	1567
25-out-1975	1586
29-out-1975	1613
2-nov-1975	1614
5-nov-1975	1614
9-nov-1975	1634
29-ago-1976	1647
1-set-1976	1649
4-set-1976	1635
7-set-1976	1651
12-set-1976	1661
19-set-1976	1643
26-set-1976	1642
29-set-1976	1623
13-out-1976	1611
17-out-1976	1602
20-out-1976	1602
24-out-1976	1587
27-out-1976	1593
16-out-1977	1581
19-out-1977	1591
23-out-1977	1581
27-out-1977	1577
30-out-1977	1561
6-nov-1977	1558
13-nov-1977	1598
20-nov-1977	1611
27-nov-1977	1623
4-dez-1977	1617
7-dez-1977	1601
15-dez-1977	1612
18-dez-1977	1631
29-jan-1978	1662
15-fev-1978	1662
18-fev-1978	1655
20-fev-1978	1675
23-fev-1978	1665
26-mar-1978	1659
29-mar-1978	1669
2-abr-1978	1661
5-abr-1978	1672
9-abr-1978	1689
16-abr-1978	1681
22-abr-1978	1692
30-abr-1978	1702
3-mai-1978	1687
9-mai-1978	1676
14-mai-1978	1682
21-mai-1978	1692
28-mai-1978	1714
4-jun-1978	1713
10-jun-1978	1696
13-jun-1978	1706
17-jun-1978	1682
20-jun-1978	1672
24-jun-1978	1643
23-set-1979	1625
30-set-1979	1606
3-out-1979	1582
6-out-1979	1591
10-out-1979	1578
18-out-1979	1584
21-out-1979	1581
31-out-1979	1597
4-nov-1979	1587
24-fev-1980	1577
27-fev-1980	1583
2-mar-1980	1600
5-mar-1980	1601
9-mar-1980	1587
12-mar-1980	1563
19-mar-1980	1582
23-mar-1980	1593
30-mar-1980	1604
6-abr-1980	1594
12-abr-1980	1591
16-abr-1980	1615
20-abr-1980	1606
27-abr-1980	1584
4-mai-1980	1593
27-jan-1985	1572
30-jan-1985	1556
3-fev-1985	1556
6-fev-1985	1548
10-fev-1985	1541
13-fev-1985	1536
24-fev-1985	1521
27-fev-1985	1520
3-mar-1985	1495
6-mar-1985	1508
9-mar-1985	1490
16-mar-1985	1477
21-mar-1985	1489
24-mar-1985	1479
28-mar-1985	1472
31-mar-1985	1479
3-abr-1985	1493
7-abr-1985	1469
10-abr-1985	1451
14-abr-1985	1430
18-abr-1985	1440
21-abr-1985	1425
31-ago-1986	1432
2-set-1986	1441
11-set-1986	1435
14-set-1986	1425
18-set-1986	1434
21-set-1986	1441
24-set-1986	1435
27-set-1986	1442
2-out-1986	1437
5-out-1986	1434
7-set-1993	1449
12-set-1993	1467
15-set-1993	1484
18-set-1993	1477
22-set-1993	1460
26-set-1993	1484
29-set-1993	1506
6-out-1993	1507
10-out-1993	1497
13-out-1993	1482
16-out-1993	1508
21-out-1993	1537
24-out-1993	1524
27-out-1993	1546
22-nov-1993	1554
26-nov-1993	1548
28-nov-1993	1545
1-dez-1993	1541
5-dez-1993	1529
8-dez-1993	1539
14-ago-1994	1534
17-ago-1994	1537
21-ago-1994	1554
24-ago-1994	1547
28-ago-1994	1539
31-ago-1994	1531
4-set-1994	1527
11-set-1994	1544
14-set-1994	1534
25-set-1994	1526
6-out-1994	1508
9-out-1994	1522
12-out-1994	1539
22-out-1994	1542
27-out-1994	1533
30-out-1994	1537
1-nov-1994	1540
3-nov-1994	1543
6-nov-1994	1524
10-nov-1994	1512
13-nov-1994	1541
16-nov-1994	1531
20-nov-1994	1522
27-nov-1994	1543
