date	rating
1-set-1976	1488
7-set-1976	1475
15-set-1976	1477
19-set-1976	1470
22-set-1976	1466
25-set-1976	1452
29-set-1976	1447
2-out-1976	1433
10-out-1976	1437
14-out-1976	1436
17-out-1976	1448
20-out-1976	1463
26-mar-1978	1466
2-abr-1978	1466
6-abr-1978	1480
9-abr-1978	1456
12-abr-1978	1445
16-abr-1978	1434
20-abr-1978	1424
23-abr-1978	1430
26-abr-1978	1421
4-mai-1978	1416
10-mai-1978	1396
28-mai-1978	1386
4-jun-1978	1388
17-jun-1978	1406
20-jun-1978	1407
24-jun-1978	1396
23-set-1979	1388
30-set-1979	1399
3-out-1979	1401
6-out-1979	1432
10-out-1979	1422
20-out-1979	1429
25-out-1979	1431
28-out-1979	1428
4-nov-1979	1437
26-jan-1983	1430
30-jan-1983	1437
2-fev-1983	1452
6-fev-1983	1446
9-fev-1983	1438
19-fev-1983	1422
23-fev-1983	1417
6-mar-1983	1409
29-jan-1984	1403
4-fev-1984	1431
8-fev-1984	1446
12-fev-1984	1467
15-fev-1984	1450
19-fev-1984	1433
23-fev-1984	1423
29-fev-1984	1416
2-mar-1984	1411
31-ago-1986	1403
2-set-1986	1424
7-set-1986	1428
10-set-1986	1434
14-set-1986	1436
17-set-1986	1460
21-set-1986	1479
27-set-1986	1485
2-out-1986	1503
5-out-1986	1517
12-out-1986	1513
15-out-1986	1502
19-out-1986	1486
26-out-1986	1487
29-out-1986	1506
2-nov-1986	1492
9-nov-1986	1487
16-nov-1986	1507
23-nov-1986	1518
26-nov-1986	1524
3-dez-1986	1519
7-dez-1986	1543
10-dez-1986	1532
14-dez-1986	1556
25-jan-1987	1556
28-jan-1987	1549
19-set-1987	1537
24-set-1987	1551
27-set-1987	1552
4-out-1987	1544
7-out-1987	1536
11-out-1987	1548
14-out-1987	1550
21-out-1987	1551
25-out-1987	1554
28-out-1987	1536
1-nov-1987	1536
7-nov-1987	1542
11-nov-1987	1535
25-nov-1987	1552
