date	rating
24-jul-1991	1500
28-jul-1991	1483
31-jul-1991	1495
4-ago-1991	1492
7-ago-1991	1483
11-ago-1991	1502
14-ago-1991	1499
18-ago-1991	1490
21-ago-1991	1499
25-ago-1991	1510
1-set-1991	1520
4-set-1991	1522
8-set-1991	1538
15-set-1991	1527
18-set-1991	1537
22-set-1991	1527
28-set-1991	1523
6-out-1991	1532
9-out-1991	1532
12-out-1991	1523
16-out-1991	1535
19-out-1991	1546
23-out-1991	1536
26-out-1991	1535
31-out-1991	1527
3-nov-1991	1518
5-jul-1992	1529
12-jul-1992	1546
18-jul-1992	1547
26-jul-1992	1544
2-ago-1992	1543
9-ago-1992	1535
16-ago-1992	1545
19-ago-1992	1554
23-ago-1992	1570
30-ago-1992	1570
2-set-1992	1590
6-set-1992	1597
9-set-1992	1607
13-set-1992	1598
16-set-1992	1604
20-set-1992	1601
24-set-1992	1601
27-set-1992	1590
30-set-1992	1594
4-out-1992	1593
7-out-1992	1602
11-out-1992	1589
18-out-1992	1575
21-out-1992	1576
24-out-1992	1586
1-nov-1992	1593
24-jan-1993	1593
27-jan-1993	1593
31-jan-1993	1614
3-fev-1993	1618
6-fev-1993	1631
11-fev-1993	1634
14-fev-1993	1626
21-fev-1993	1641
28-fev-1993	1650
3-mar-1993	1647
7-mar-1993	1645
9-mar-1993	1661
10-mar-1993	1663
14-mar-1993	1670
17-mar-1993	1660
21-mar-1993	1675
25-mar-1993	1664
28-mar-1993	1660
1-abr-1993	1652
4-abr-1993	1660
7-abr-1993	1658
11-abr-1993	1649
14-abr-1993	1656
18-abr-1993	1672
22-abr-1993	1665
25-abr-1993	1681
28-abr-1993	1664
2-mai-1993	1675
5-mai-1993	1690
9-mai-1993	1691
16-mai-1993	1678
19-mai-1993	1666
23-mai-1993	1667
27-mai-1993	1665
29-mai-1993	1660
2-jun-1993	1652
26-jan-1994	1639
30-jan-1994	1632
2-fev-1994	1644
6-fev-1994	1634
9-fev-1994	1620
12-fev-1994	1616
17-fev-1994	1637
20-fev-1994	1639
23-fev-1994	1652
27-fev-1994	1652
2-mar-1994	1667
6-mar-1994	1665
9-mar-1994	1677
13-mar-1994	1688
15-mar-1994	1694
20-mar-1994	1690
24-mar-1994	1686
27-mar-1994	1672
3-abr-1994	1683
6-abr-1994	1699
10-abr-1994	1682
14-abr-1994	1676
17-abr-1994	1676
21-abr-1994	1691
24-abr-1994	1682
1-mai-1994	1671
3-mai-1994	1670
7-mai-1994	1658
11-mai-1994	1673
15-mai-1994	1673
29-jan-1995	1673
5-fev-1995	1678
8-fev-1995	1693
12-fev-1995	1706
19-fev-1995	1682
22-fev-1995	1686
5-mar-1995	1684
12-mar-1995	1673
16-mar-1995	1678
18-mar-1995	1692
23-mar-1995	1713
26-mar-1995	1714
2-abr-1995	1702
5-abr-1995	1684
8-abr-1995	1686
15-abr-1995	1673
20-abr-1995	1678
23-abr-1995	1661
26-abr-1995	1664
30-abr-1995	1646
7-mai-1995	1656
10-mai-1995	1655
14-mai-1995	1636
17-mai-1995	1637
20-mai-1995	1629
24-mai-1995	1644
28-mai-1995	1643
3-jun-1995	1656
7-jun-1995	1645
11-jun-1995	1648
27-jan-1996	1651
31-jan-1996	1644
3-fev-1996	1630
7-fev-1996	1629
11-fev-1996	1640
17-fev-1996	1631
25-fev-1996	1638
2-mar-1996	1627
7-mar-1996	1619
10-mar-1996	1633
17-mar-1996	1645
19-mar-1996	1638
21-mar-1996	1615
24-mar-1996	1631
31-mar-1996	1621
6-abr-1996	1611
10-abr-1996	1626
14-abr-1996	1616
17-abr-1996	1630
21-abr-1996	1629
28-abr-1996	1640
1-mai-1996	1638
5-mai-1996	1637
8-mai-1996	1625
11-mai-1996	1608
16-mai-1996	1606
19-mai-1996	1606
26-mai-1996	1613
2-jun-1996	1613
5-jun-1996	1628
9-fev-1997	1617
16-fev-1997	1602
19-fev-1997	1592
23-fev-1997	1601
26-fev-1997	1602
2-mar-1997	1588
6-mar-1997	1603
9-mar-1997	1607
16-mar-1997	1611
19-mar-1997	1610
23-mar-1997	1613
29-mar-1997	1613
6-abr-1997	1624
9-abr-1997	1621
13-abr-1997	1628
19-abr-1997	1642
23-abr-1997	1633
26-abr-1997	1647
1-mai-1997	1635
4-mai-1997	1643
11-mai-1997	1629
15-mai-1997	1625
18-mai-1997	1622
18-jan-1998	1631
20-jan-1998	1628
24-jan-1998	1625
28-jan-1998	1638
31-jan-1998	1649
7-fev-1998	1628
11-fev-1998	1616
14-fev-1998	1630
21-fev-1998	1617
1-mar-1998	1635
8-mar-1998	1636
10-mar-1998	1624
14-mar-1998	1637
19-mar-1998	1645
21-mar-1998	1631
28-mar-1998	1617
2-abr-1998	1606
4-abr-1998	1596
9-abr-1998	1593
12-abr-1998	1602
24-jan-1999	1589
27-jan-1999	1598
31-jan-1999	1605
3-fev-1999	1600
7-fev-1999	1618
10-fev-1999	1605
13-fev-1999	1620
20-fev-1999	1617
24-fev-1999	1631
27-fev-1999	1618
7-mar-1999	1631
13-mar-1999	1627
21-mar-1999	1618
23-mar-1999	1638
27-mar-1999	1632
4-abr-1999	1621
11-abr-1999	1616
17-abr-1999	1629
21-abr-1999	1643
25-abr-1999	1636
1-mai-1999	1630
6-mai-1999	1626
9-mai-1999	1613
16-mai-1999	1630
23-mai-1999	1623
30-mai-1999	1639
23-jan-2000	1628
26-jan-2000	1627
30-jan-2000	1639
2-fev-2000	1644
6-fev-2000	1647
14-fev-2000	1662
16-fev-2000	1650
20-fev-2000	1660
23-fev-2000	1638
27-fev-2000	1640
8-mar-2000	1646
12-mar-2000	1635
19-mar-2000	1627
22-mar-2000	1618
24-mar-2000	1607
2-abr-2000	1615
9-abr-2000	1639
11-abr-2000	1627
16-abr-2000	1625
23-abr-2000	1633
29-abr-2000	1623
7-mai-2000	1616
11-mai-2000	1622
14-mai-2000	1627
16-mai-2000	1631
21-mai-2000	1623
21-jan-2001	1622
28-jan-2001	1637
4-fev-2001	1635
11-fev-2001	1651
17-fev-2001	1653
24-fev-2001	1651
3-mar-2001	1665
11-mar-2001	1662
18-mar-2001	1683
25-mar-2001	1662
1-abr-2001	1652
8-abr-2001	1664
15-abr-2001	1649
22-abr-2001	1647
28-abr-2001	1640
20-jan-2002	1622
23-jan-2002	1618
23-jan-2002	1631
30-jan-2002	1629
3-fev-2002	1625
9-fev-2002	1625
17-fev-2002	1622
24-fev-2002	1635
3-mar-2002	1646
6-mar-2002	1642
10-mar-2002	1624
17-mar-2002	1638
20-mar-2002	1617
23-mar-2002	1599
30-mar-2002	1609
6-abr-2002	1615
14-abr-2002	1614
21-abr-2002	1628
28-abr-2002	1617
1-mai-2002	1627
5-mai-2002	1639
12-mai-2002	1647
29-jan-2003	1644
2-fev-2003	1656
9-fev-2003	1653
13-fev-2003	1670
16-fev-2003	1657
22-fev-2003	1657
1-mar-2003	1645
5-mar-2003	1652
9-mar-2003	1629
15-mar-2003	1627
19-mar-2003	1625
23-mar-2003	1621
21-jan-2004	1610
24-jan-2004	1601
1-fev-2004	1589
8-fev-2004	1597
15-fev-2004	1604
25-fev-2004	1593
29-fev-2004	1588
7-mar-2004	1604
14-mar-2004	1615
19-jan-2005	1623
23-jan-2005	1605
26-jan-2005	1612
30-jan-2005	1611
5-fev-2005	1625
10-fev-2005	1614
13-fev-2005	1605
20-fev-2005	1588
23-fev-2005	1581
27-fev-2005	1562
5-mar-2005	1552
12-mar-2005	1549
20-mar-2005	1568
23-mar-2005	1568
26-mar-2005	1559
29-mar-2005	1560
3-abr-2005	1570
10-abr-2005	1594
17-abr-2005	1586
11-jan-2006	1578
15-jan-2006	1591
18-jan-2006	1591
22-jan-2006	1591
29-jan-2006	1583
1-fev-2006	1574
5-fev-2006	1587
8-fev-2006	1567
11-fev-2006	1583
19-fev-2006	1599
25-fev-2006	1591
1-mar-2006	1607
5-mar-2006	1604
12-mar-2006	1619
19-mar-2006	1605
26-mar-2006	1596
29-mar-2006	1611
1-abr-2006	1632
9-abr-2006	1642
17-jan-2007	1620
21-jan-2007	1611
24-jan-2007	1601
28-jan-2007	1585
1-fev-2007	1571
4-fev-2007	1590
8-fev-2007	1574
11-fev-2007	1565
17-fev-2007	1574
24-fev-2007	1577
4-mar-2007	1575
8-mar-2007	1568
11-mar-2007	1566
18-mar-2007	1548
25-mar-2007	1546
28-mar-2007	1540
1-abr-2007	1528
8-abr-2007	1507
11-abr-2007	1521
17-jan-2010	1511
21-jan-2010	1510
24-jan-2010	1520
28-jan-2010	1518
31-jan-2010	1510
4-fev-2010	1503
7-fev-2010	1491
12-fev-2010	1504
17-fev-2010	1503
20-fev-2010	1508
27-fev-2010	1499
3-mar-2010	1485
7-mar-2010	1487
14-mar-2010	1484
20-mar-2010	1465
24-mar-2010	1471
27-mar-2010	1462
3-abr-2010	1455
7-abr-2010	1444
