date	rating
6-May-1906	1522
17-Jun-1906	1531
1-Jul-1906	1514
22-Jul-1906	1523
12-Aug-1906	1514
2-Sep-1906	1531
23-Sep-1906	1547
7-Oct-1906	1564
14-Oct-1906	1548
28-Oct-1906	1533
10-May-1908	1521
24-May-1908	1509
7-Jun-1908	1529
21-Jun-1908	1548
19-Jul-1908	1545
2-Aug-1908	1533
23-Aug-1908	1554
13-Sep-1908	1542
27-Sep-1908	1532
18-Oct-1908	1539
29-May-1910	1513
19-Jun-1910	1506
3-Jul-1910	1494
10-Jul-1910	1482
24-Jul-1910	1470
7-Aug-1910	1460
21-Aug-1910	1467
4-Sep-1910	1475
2-Oct-1910	1466
30-Oct-1910	1474
14-May-1911	1468
28-May-1911	1472
11-Jun-1911	1465
23-Jul-1911	1481
27-Aug-1911	1472
10-Sep-1911	1466
22-Oct-1911	1454
11-May-1913	1444
18-May-1913	1469
25-May-1913	1468
8-Jun-1913	1464
29-Jun-1913	1474
6-Jul-1913	1468
17-Aug-1913	1459
31-Aug-1913	1469
7-Sep-1913	1471
28-Sep-1913	1478
5-Oct-1913	1464
19-Oct-1913	1488
26-Oct-1913	1473
9-Nov-1913	1469
7-Dec-1913	1460
10-May-1914	1451
31-May-1914	1443
7-Jun-1914	1464
5-Jul-1914	1480
26-Jul-1914	1476
2-Aug-1914	1471
30-Aug-1914	1480
6-Sep-1914	1474
27-Sep-1914	1463
11-Oct-1914	1456
25-Oct-1914	1452
22-Nov-1914	1449
2-May-1915	1455
9-May-1915	1449
16-May-1915	1443
30-May-1915	1436
13-Jun-1915	1450
11-Jul-1915	1458
1-Aug-1915	1453
15-Aug-1915	1448
29-Aug-1915	1440
19-Sep-1915	1434
26-Sep-1915	1414
10-Oct-1915	1396
