date	rating
25-ago-1973	1500
29-ago-1973	1496
31-ago-1973	1481
5-set-1973	1496
9-set-1973	1499
12-set-1973	1492
16-set-1973	1506
22-set-1973	1520
26-set-1973	1519
30-set-1973	1526
3-out-1973	1513
7-out-1973	1528
14-out-1973	1540
17-out-1973	1546
21-out-1973	1561
27-out-1973	1565
1-nov-1973	1565
7-nov-1973	1550
11-nov-1973	1537
14-nov-1973	1546
18-nov-1973	1547
21-nov-1973	1536
25-nov-1973	1525
28-nov-1973	1515
1-dez-1973	1512
8-dez-1973	1499
12-dez-1973	1503
16-dez-1973	1495
9-mar-1974	1495
13-mar-1974	1490
16-mar-1974	1495
20-mar-1974	1483
24-mar-1974	1478
31-mar-1974	1486
6-abr-1974	1500
13-abr-1974	1500
21-abr-1974	1518
24-abr-1974	1533
2-mai-1974	1525
12-mai-1974	1544
15-mai-1974	1549
18-mai-1974	1548
22-mai-1974	1547
29-mai-1974	1531
2-jun-1974	1521
8-jun-1974	1534
12-jun-1974	1544
20-ago-1975	1545
24-ago-1975	1544
27-ago-1975	1568
3-set-1975	1556
6-set-1975	1539
10-set-1975	1524
14-set-1975	1525
21-set-1975	1524
24-set-1975	1516
27-set-1975	1523
19-out-1975	1510
22-out-1975	1500
25-out-1975	1517
29-out-1975	1511
29-ago-1976	1500
1-set-1976	1501
7-set-1976	1487
12-set-1976	1477
16-set-1976	1470
22-set-1976	1491
26-set-1976	1497
29-set-1976	1501
14-out-1976	1481
17-out-1976	1494
20-out-1976	1498
23-out-1976	1498
30-set-1979	1473
3-out-1979	1459
6-out-1979	1449
13-out-1979	1449
17-out-1979	1427
20-out-1979	1407
24-out-1979	1387
28-out-1979	1378
4-nov-1979	1393
26-jan-1983	1407
30-jan-1983	1401
2-fev-1983	1411
6-fev-1983	1411
9-fev-1983	1401
19-fev-1983	1396
23-fev-1983	1408
6-mar-1983	1386
13-mar-1983	1395
16-mar-1983	1384
19-mar-1983	1405
26-mar-1983	1397
30-mar-1983	1390
3-abr-1983	1381
