date	rating
15-Oct-1977	1525
19-Oct-1977	1533
27-Oct-1977	1518
30-Oct-1977	1497
2-Nov-1977	1489
9-Nov-1977	1501
16-Nov-1977	1507
20-Nov-1977	1504
23-Nov-1977	1495
27-Nov-1977	1493
4-Dec-1977	1503
8-Dec-1977	1517
11-Dec-1977	1514
15-Dec-1977	1491
18-Dec-1977	1470
26-Mar-1978	1469
2-Apr-1978	1463
6-Apr-1978	1457
9-Apr-1978	1439
12-Apr-1978	1422
16-Apr-1978	1421
20-Apr-1978	1436
23-Apr-1978	1435
4-May-1978	1422
11-May-1978	1417
14-May-1978	1435
21-May-1978	1420
24-May-1978	1410
4-Jun-1978	1402
17-Jun-1978	1382
24-Jun-1978	1402
16-Sep-1979	1413
30-Sep-1979	1404
6-Oct-1979	1405
10-Oct-1979	1395
14-Oct-1979	1384
20-Oct-1979	1373
27-Oct-1979	1366
31-Oct-1979	1396
4-Nov-1979	1398
18-Jan-1981	1381
21-Jan-1981	1384
25-Jan-1981	1376
28-Jan-1981	1372
1-Feb-1981	1379
4-Feb-1981	1402
7-Feb-1981	1435
14-Feb-1981	1415
26-Feb-1981	1406
20-Jan-1982	1396
24-Jan-1982	1391
28-Jan-1982	1386
31-Jan-1982	1376
4-Feb-1982	1369
7-Feb-1982	1364
10-Feb-1982	1354
17-Feb-1982	1349
