date	rating
10-Feb-1966	1519
15-Feb-1966	1534
17-Feb-1966	1556
23-Feb-1966	1554
26-Feb-1966	1567
2-Mar-1966	1593
4-Mar-1966	1610
8-Mar-1966	1616
10-Mar-1966	1624
24-Mar-1966	1601
6-Apr-1966	1619
12-Apr-1966	1621
14-Apr-1966	1622
19-Apr-1966	1647
21-Apr-1966	1661
4-May-1966	1645
10-May-1966	1660
14-May-1966	1641
18-May-1966	1659
20-May-1966	1640
8-Mar-1967	1608
19-Mar-1967	1604
22-Mar-1967	1625
2-Apr-1967	1620
5-Apr-1967	1628
18-Apr-1967	1647
20-Apr-1967	1660
2-May-1967	1671
4-May-1967	1688
11-May-1967	1685
1-Jun-1967	1683
7-Jun-1967	1661
13-Jun-1967	1641
29-Jun-1967	1638
5-Jul-1967	1632
12-Jul-1967	1611
17-Feb-1970	1591
1-Mar-1970	1612
5-Mar-1970	1605
11-Mar-1970	1635
15-Mar-1970	1642
19-Mar-1970	1630
14-Apr-1970	1640
16-Apr-1970	1658
25-Apr-1970	1671
30-Apr-1970	1672
7-May-1970	1661
15-May-1970	1645
25-Feb-1973	1658
28-Feb-1973	1637
13-Mar-1973	1616
19-Mar-1973	1611
23-Mar-1973	1630
27-Mar-1973	1597
25-Feb-1976	1619
4-Mar-1976	1625
5-Mar-1976	1639
23-Mar-1976	1647
1-Apr-1976	1655
7-Apr-1976	1644
13-May-1976	1649
15-Jun-1976	1635
23-Jun-1976	1656
30-Jun-1976	1685
16-Jul-1976	1703
21-Jul-1976	1689
28-Jul-1976	1712
30-Jul-1976	1704
9-Mar-1977	1688
13-Apr-1977	1700
21-Apr-1977	1693
26-Apr-1977	1689
12-May-1977	1683
18-May-1977	1684
27-Jun-1978	1678
30-Jun-1978	1673
5-Jul-1978	1675
11-Jul-1978	1690
18-Jul-1978	1707
26-Jul-1978	1708
2-Aug-1978	1737
19-Sep-1978	1737
28-Sep-1978	1754
8-Oct-1978	1738
17-Oct-1978	1718
27-Feb-1980	1710
11-Mar-1980	1716
25-Mar-1980	1726
15-Apr-1980	1730
18-Apr-1980	1738
25-Apr-1980	1731
28-Apr-1980	1725
18-Mar-1981	1738
31-Mar-1981	1728
3-Apr-1981	1709
22-Apr-1981	1691
24-Apr-1981	1702
19-May-1981	1716
27-Jul-1982	1722
5-Aug-1982	1723
20-Aug-1982	1728
3-Sep-1982	1738
14-Sep-1982	1742
30-Sep-1982	1757
22-Oct-1982	1738
28-Oct-1982	1713
2-Nov-1982	1698
12-Nov-1982	1685
9-Jul-1986	1686
16-Jul-1986	1701
24-Jul-1986	1723
6-Aug-1986	1741
14-Aug-1986	1755
20-Aug-1986	1768
4-Sep-1986	1763
16-Sep-1986	1774
23-Sep-1986	1784
26-Sep-1986	1752
3-Oct-1986	1749
22-Oct-1986	1762
29-Oct-1986	1774
26-Aug-1987	1773
16-Sep-1987	1770
23-Sep-1987	1753
7-Oct-1987	1767
25-Mar-1990	1766
1-Apr-1990	1749
5-Aug-1990	1754
12-Aug-1990	1760
22-Aug-1990	1782
29-Aug-1990	1781
5-Sep-1990	1786
12-Sep-1990	1762
27-Feb-1991	1744
5-Mar-1991	1707
8-Mar-1991	1697
20-Mar-1991	1673
26-Mar-1991	1693
2-Apr-1991	1704
7-Feb-1993	1688
23-Feb-1993	1671
26-Feb-1993	1671
10-Mar-1993	1672
16-Mar-1993	1671
26-Mar-1993	1687
19-Feb-1995	1689
23-Feb-1995	1697
8-Mar-1995	1693
29-Mar-1995	1718
13-Apr-1995	1732
19-Apr-1995	1728
