date	rating
19-fev-1971	1493
23-fev-1971	1510
26-fev-1971	1493
16-mar-1971	1494
25-mar-1971	1527
16-fev-1972	1531
22-fev-1972	1529
24-fev-1972	1543
9-mar-1972	1525
21-mar-1972	1544
23-mar-1972	1562
28-fev-1974	1575
12-mar-1974	1596
19-mar-1974	1606
21-mar-1974	1623
26-mar-1974	1604
2-abr-1974	1623
11-abr-1974	1593
28-fev-1975	1589
7-mar-1975	1605
14-mar-1975	1604
21-mar-1975	1600
4-abr-1975	1621
9-abr-1975	1619
11-abr-1975	1637
6-mai-1975	1667
21-mai-1975	1651
30-mai-1975	1631
3-jun-1975	1664
18-mar-1981	1652
31-mar-1981	1634
3-abr-1981	1644
22-abr-1981	1660
24-abr-1981	1675
19-mai-1981	1662
18-jul-1987	1671
22-jul-1987	1661
1-ago-1987	1665
5-ago-1987	1671
8-ago-1987	1679
16-ago-1987	1661
22-fev-2000	1678
7-mar-2000	1656
14-mar-2000	1669
23-mar-2000	1664
4-abr-2000	1642
4-abr-2000	1646
19-abr-2000	1640
3-mai-2000	1663
9-mai-2000	1654
7-fev-2001	1626
21-fev-2001	1644
8-mar-2001	1672
20-mar-2001	1663
4-abr-2001	1676
19-abr-2001	1698
8-mai-2001	1709
15-mai-2001	1704
22-mai-2001	1720
29-mai-2001	1705
7-jun-2001	1679
14-jun-2001	1678
5-fev-2004	1699
26-fev-2004	1691
4-mar-2004	1711
10-mar-2004	1684
23-mar-2004	1646
13-abr-2004	1660
6-mai-2004	1680
12-mai-2004	1670
9-fev-2006	1653
23-fev-2006	1632
15-mar-2006	1638
23-mar-2006	1643
6-abr-2006	1667
13-abr-2006	1652
