date	rating
26-abr-1925	1488
3-mai-1925	1482
13-mai-1925	1468
17-mai-1925	1462
24-mai-1925	1454
31-mai-1925	1440
7-jun-1925	1430
21-jun-1925	1431
28-jun-1925	1417
5-jul-1925	1412
12-jul-1925	1408
27-set-1925	1415
11-out-1925	1407
25-out-1925	1425
19-nov-1925	1421
29-nov-1925	1416
6-dez-1925	1417
13-dez-1925	1431
4-abr-1926	1421
18-abr-1926	1400
21-abr-1926	1396
25-abr-1926	1393
9-mai-1926	1390
23-mai-1926	1383
6-jun-1926	1372
12-jun-1926	1396
13-jun-1926	1412
20-jun-1926	1401
27-jun-1926	1387
4-jul-1926	1378
14-jul-1926	1376
18-jul-1926	1373
25-jul-1926	1381
8-ago-1926	1375
29-ago-1926	1367
19-set-1926	1359
1-mai-1927	1355
8-mai-1927	1351
22-mai-1927	1345
29-mai-1927	1342
5-jun-1927	1334
12-jun-1927	1330
19-jun-1927	1321
26-jun-1927	1319
3-jul-1927	1320
10-jul-1927	1319
17-jul-1927	1326
24-jul-1927	1325
31-jul-1927	1320
7-ago-1927	1319
14-ago-1927	1324
21-ago-1927	1320
4-set-1927	1326
18-set-1927	1336
8-abr-1928	1332
15-abr-1928	1327
22-abr-1928	1341
29-abr-1928	1339
6-mai-1928	1355
13-mai-1928	1352
20-mai-1928	1349
3-jun-1928	1355
10-jun-1928	1353
17-jun-1928	1351
1-jul-1928	1359
8-jul-1928	1364
12-ago-1928	1363
19-ago-1928	1371
26-ago-1928	1368
9-set-1928	1363
23-set-1928	1355
23-set-1928	1346
7-out-1928	1344
21-out-1928	1339
7-abr-1929	1337
14-abr-1929	1331
21-abr-1929	1328
28-abr-1929	1324
5-mai-1929	1322
2-jun-1929	1320
9-jun-1929	1312
16-jun-1929	1307
14-jul-1929	1323
21-jul-1929	1322
28-jul-1929	1311
4-ago-1929	1319
11-ago-1929	1317
18-ago-1929	1315
1-set-1929	1311
20-set-1929	1309
29-set-1929	1306
6-out-1929	1311
20-out-1929	1306
27-out-1929	1295
6-abr-1930	1294
13-abr-1930	1285
20-abr-1930	1304
27-abr-1930	1301
4-mai-1930	1300
11-mai-1930	1296
25-mai-1930	1288
1-jun-1930	1284
8-jun-1930	1280
14-set-1930	1294
21-set-1930	1293
28-set-1930	1298
5-out-1930	1295
12-out-1930	1292
19-out-1930	1290
26-out-1930	1289
16-nov-1930	1285
23-nov-1930	1301
30-nov-1930	1297
7-dez-1930	1302
12-abr-1931	1310
19-abr-1931	1319
10-mai-1931	1337
17-mai-1931	1335
24-mai-1931	1338
31-mai-1931	1333
7-jun-1931	1343
14-jun-1931	1361
20-set-1931	1360
27-set-1931	1373
4-out-1931	1380
11-out-1931	1375
25-out-1931	1382
8-nov-1931	1380
15-nov-1931	1368
22-nov-1931	1363
29-nov-1931	1347
6-dez-1931	1344
13-dez-1931	1353
20-dez-1931	1341
27-dez-1931	1337
24-abr-1932	1333
15-mai-1932	1319
22-mai-1932	1337
29-mai-1932	1343
2-jun-1932	1352
5-jun-1932	1360
19-jun-1932	1353
26-jun-1932	1348
3-jul-1932	1345
10-jul-1932	1332
17-jul-1932	1338
24-jul-1932	1337
7-ago-1932	1334
14-ago-1932	1327
21-ago-1932	1324
28-ago-1932	1321
4-set-1932	1317
18-set-1932	1307
25-set-1932	1302
2-out-1932	1334
9-out-1932	1336
16-out-1932	1330
