date	rating
11-May-1902	1484
29-May-1902	1484
8-Jun-1902	1469
15-Jun-1902	1455
10-Aug-1902	1455
24-Aug-1902	1458
14-Sep-1902	1445
25-Oct-1902	1437
21-Jun-1903	1422
28-Jun-1903	1410
5-Jul-1903	1398
26-Jul-1903	1389
30-Aug-1903	1400
20-Sep-1903	1386
27-Sep-1903	1379
12-Oct-1903	1403
3-May-1904	1426
22-May-1904	1417
2-Jun-1904	1437
19-Jun-1904	1445
17-Jul-1904	1460
7-Aug-1904	1450
21-Aug-1904	1469
28-Aug-1904	1459
18-Sep-1904	1451
25-Sep-1904	1464
7-May-1905	1462
28-May-1905	1451
4-Jun-1905	1449
18-Jun-1905	1466
23-Jul-1905	1472
6-Aug-1905	1452
20-Aug-1905	1466
7-Sep-1905	1481
12-Oct-1905	1480
22-Oct-1905	1472
3-May-1906	1456
13-May-1906	1442
3-Jun-1906	1461
1-Jul-1906	1442
15-Jul-1906	1457
5-Aug-1906	1484
19-Aug-1906	1496
7-Sep-1906	1512
30-Sep-1906	1493
7-Oct-1906	1512
12-May-1907	1512
23-Jun-1907	1521
29-Jun-1907	1537
28-Jul-1907	1554
11-Aug-1907	1571
1-Sep-1907	1583
8-Sep-1907	1596
15-Sep-1907	1609
20-Oct-1907	1597
15-Nov-1907	1593
17-May-1908	1601
7-Jun-1908	1600
18-Jun-1908	1610
12-Jul-1908	1619
9-Aug-1908	1618
23-Aug-1908	1606
7-Sep-1908	1615
20-Sep-1908	1619
4-Oct-1908	1601
25-Oct-1908	1600
20-May-1909	1604
30-May-1909	1613
20-Jun-1909	1628
25-Jul-1909	1639
26-Sep-1909	1613
3-Oct-1909	1613
31-Oct-1909	1596
15-Nov-1909	1604
21-Nov-1909	1602
21-Apr-1912	1607
5-May-1912	1601
13-May-1912	1575
2-Jun-1912	1582
9-Jun-1912	1583
23-Jun-1912	1568
4-Aug-1912	1565
18-Aug-1912	1541
15-Sep-1912	1529
6-Oct-1912	1514
21-Apr-1917	1494
29-Apr-1917	1476
6-May-1917	1464
17-May-1917	1449
3-Jun-1917	1465
10-Jun-1917	1452
17-Jun-1917	1428
1-Jul-1917	1413
15-Jul-1917	1407
12-Aug-1917	1395
2-Sep-1917	1388
9-Sep-1917	1392
23-Sep-1917	1403
14-Oct-1917	1414
21-Oct-1917	1404
4-Nov-1917	1396
7-Apr-1918	1391
3-May-1918	1382
13-May-1918	1377
9-Jun-1918	1396
19-Jun-1918	1376
14-Jul-1918	1365
11-Aug-1918	1357
18-Aug-1918	1338
7-Sep-1918	1333
15-Sep-1918	1325
22-Sep-1918	1319
6-Oct-1918	1305
15-Dec-1918	1301
22-Dec-1918	1316
5-Jan-1919	1309
27-Apr-1919	1311
4-May-1919	1328
1-Jun-1919	1344
29-Jun-1919	1347
13-Jul-1919	1340
27-Jul-1919	1347
31-Aug-1919	1342
7-Sep-1919	1333
14-Sep-1919	1340
21-Sep-1919	1334
5-Oct-1919	1338
12-Oct-1919	1334
26-Oct-1919	1363
23-Nov-1919	1356
7-Dec-1919	1352
21-Apr-1920	1362
13-May-1920	1349
23-May-1920	1370
27-Jun-1920	1371
11-Jul-1920	1364
1-Aug-1920	1361
8-Aug-1920	1355
14-Aug-1920	1349
22-Aug-1920	1342
12-Sep-1920	1340
19-Sep-1920	1361
17-Oct-1920	1355
24-Oct-1920	1349
7-Nov-1920	1345
14-Nov-1920	1372
28-Nov-1920	1357
5-Dec-1920	1372
21-Apr-1921	1385
24-Apr-1921	1369
15-May-1921	1366
22-May-1921	1395
29-May-1921	1412
5-Jun-1921	1400
12-Jun-1921	1390
10-Jul-1921	1386
17-Jul-1921	1375
31-Jul-1921	1374
7-Aug-1921	1376
11-Sep-1921	1358
18-Sep-1921	1350
2-Oct-1921	1338
9-Oct-1921	1335
23-Oct-1921	1331
5-Nov-1921	1352
13-Nov-1921	1345
20-Nov-1921	1336
4-Dec-1921	1334
18-Dec-1921	1318
30-Apr-1922	1309
14-May-1922	1298
21-May-1922	1296
18-Jun-1922	1295
25-Jun-1922	1287
2-Jul-1922	1282
14-Jul-1922	1298
30-Jul-1922	1303
8-Oct-1922	1290
15-Oct-1922	1278
5-Nov-1922	1275
29-Apr-1923	1267
6-May-1923	1266
27-May-1923	1252
3-Jun-1923	1246
17-Jun-1923	1244
24-Jun-1923	1241
1-Jul-1923	1256
22-Jul-1923	1248
29-Jul-1923	1251
5-Aug-1923	1249
