date	rating
13-jun-1937	1500
20-jun-1937	1485
4-jul-1937	1472
25-jul-1937	1485
1-ago-1937	1501
15-ago-1937	1498
22-ago-1937	1489
5-set-1937	1477
12-set-1937	1460
13-mar-1938	1448
25-set-1938	1452
9-out-1938	1476
16-out-1938	1488
4-dez-1938	1476
11-dez-1938	1472
8-jan-1939	1460
19-mar-1939	1449
2-abr-1939	1457
16-abr-1939	1468
28-mai-1939	1490
4-jun-1939	1509
11-jun-1939	1509
25-jun-1939	1520
2-jul-1939	1499
9-jul-1939	1512
23-jul-1939	1525
6-ago-1939	1519
13-ago-1939	1536
20-ago-1939	1532
10-set-1939	1526
24-set-1939	1517
8-out-1939	1523
15-out-1939	1531
22-out-1939	1550
5-nov-1939	1562
19-nov-1939	1568
31-dez-1939	1553
7-jan-1940	1550
21-jan-1940	1563
26-mai-1940	1566
2-jun-1940	1554
9-jun-1940	1556
16-jun-1940	1541
7-jul-1940	1536
28-jul-1940	1547
4-ago-1940	1526
11-ago-1940	1520
25-ago-1940	1531
1-set-1940	1512
19-set-1940	1528
22-set-1940	1520
6-out-1940	1538
12-out-1940	1540
20-out-1940	1552
3-nov-1940	1558
10-nov-1940	1547
23-nov-1940	1542
8-dez-1940	1526
15-dez-1940	1532
9-mar-1941	1518
23-mar-1941	1529
30-mar-1941	1525
12-abr-1941	1547
20-abr-1941	1562
4-mai-1941	1558
18-mai-1941	1558
25-mai-1941	1537
1-jun-1941	1546
14-jun-1941	1533
20-jul-1941	1536
3-ago-1941	1531
16-ago-1941	1532
24-ago-1941	1526
31-ago-1941	1533
7-set-1941	1549
14-set-1941	1559
28-set-1941	1563
12-out-1941	1544
19-out-1941	1530
22-mar-1942	1531
29-mar-1942	1540
14-abr-1942	1529
18-abr-1942	1533
3-mai-1942	1528
10-mai-1942	1536
17-mai-1942	1526
23-mai-1942	1527
14-jun-1942	1544
21-jun-1942	1550
12-jul-1942	1557
19-jul-1942	1562
26-jul-1942	1553
2-ago-1942	1561
9-ago-1942	1538
16-ago-1942	1554
23-ago-1942	1539
12-set-1942	1531
20-set-1942	1520
3-out-1942	1505
21-mar-1943	1497
4-abr-1943	1490
11-abr-1943	1485
25-abr-1943	1467
2-mai-1943	1438
16-mai-1943	1427
23-mai-1943	1444
6-jun-1943	1434
13-jun-1943	1423
20-jun-1943	1438
4-jul-1943	1435
25-jul-1943	1428
1-ago-1943	1425
8-ago-1943	1407
15-ago-1943	1401
22-ago-1943	1412
29-ago-1943	1401
7-set-1943	1392
12-set-1943	1396
26-set-1943	1406
19-mar-1944	1410
25-mar-1944	1420
1-abr-1944	1416
9-abr-1944	1404
23-abr-1944	1430
28-mai-1944	1438
4-jun-1944	1451
8-jun-1944	1447
18-jun-1944	1442
25-jun-1944	1455
9-jul-1944	1467
16-jul-1944	1478
23-jul-1944	1473
29-jul-1944	1475
15-ago-1944	1472
20-ago-1944	1479
10-set-1944	1498
23-set-1944	1492
1-out-1944	1473
8-out-1944	1487
1-abr-1945	1500
8-abr-1945	1516
14-abr-1945	1523
29-abr-1945	1516
13-mai-1945	1523
20-mai-1945	1518
27-mai-1945	1507
1-jun-1945	1515
17-jun-1945	1510
24-jun-1945	1500
1-jul-1945	1487
8-jul-1945	1507
15-jul-1945	1492
21-jul-1945	1488
5-ago-1945	1466
2-set-1945	1453
7-set-1945	1464
15-set-1945	1461
29-set-1945	1462
7-out-1945	1457
7-abr-1946	1468
20-abr-1946	1465
27-abr-1946	1457
5-mai-1946	1455
19-mai-1946	1455
25-mai-1946	1469
2-jun-1946	1478
19-jun-1946	1473
20-jun-1946	1465
6-jul-1946	1459
28-jul-1946	1456
4-ago-1946	1454
10-ago-1946	1438
25-ago-1946	1426
1-set-1946	1408
8-set-1946	1399
15-set-1946	1398
22-set-1946	1384
6-out-1946	1398
26-out-1946	1415
