date	rating
10-Mar-1974	1492
13-Mar-1974	1496
17-Mar-1974	1511
20-Mar-1974	1536
23-Mar-1974	1546
30-Mar-1974	1534
6-Apr-1974	1541
20-Apr-1974	1523
27-Apr-1974	1515
4-May-1974	1515
8-May-1974	1502
11-May-1974	1507
16-May-1974	1489
18-May-1974	1518
22-May-1974	1501
25-May-1974	1487
2-Jun-1974	1479
9-Jun-1974	1465
12-Jun-1974	1454
29-Aug-1976	1455
1-Sep-1976	1448
7-Sep-1976	1441
12-Sep-1976	1420
16-Sep-1976	1414
19-Sep-1976	1419
22-Sep-1976	1408
26-Sep-1976	1410
13-Oct-1976	1430
17-Oct-1976	1415
20-Oct-1976	1438
23-Oct-1976	1423
16-Oct-1977	1433
19-Oct-1977	1442
26-Oct-1977	1461
30-Oct-1977	1479
2-Nov-1977	1468
6-Nov-1977	1445
10-Nov-1977	1439
13-Nov-1977	1431
24-Nov-1977	1434
27-Nov-1977	1436
4-Dec-1977	1425
8-Dec-1977	1427
11-Dec-1977	1432
14-Dec-1977	1454
15-Dec-1977	1439
26-Mar-1978	1440
29-Mar-1978	1432
2-Apr-1978	1408
13-Apr-1978	1394
20-Apr-1978	1387
23-Apr-1978	1402
27-Apr-1978	1396
30-Apr-1978	1388
3-May-1978	1398
7-May-1978	1410
14-May-1978	1415
21-May-1978	1400
4-Jun-1978	1400
13-Jun-1978	1380
17-Jun-1978	1400
24-Jun-1978	1405
23-Sep-1979	1411
27-Sep-1979	1394
4-Oct-1979	1418
6-Oct-1979	1417
10-Oct-1979	1408
17-Oct-1979	1394
28-Oct-1979	1407
1-Nov-1979	1388
4-Nov-1979	1377
18-Jan-1981	1391
22-Jan-1981	1400
25-Jan-1981	1410
28-Jan-1981	1406
31-Jan-1981	1410
4-Feb-1981	1406
7-Feb-1981	1386
14-Feb-1981	1369
21-Feb-1981	1353
27-Jan-1985	1346
30-Jan-1985	1341
3-Feb-1985	1343
6-Feb-1985	1349
10-Feb-1985	1356
13-Feb-1985	1345
24-Feb-1985	1366
27-Feb-1985	1370
3-Mar-1985	1374
6-Mar-1985	1365
10-Mar-1985	1372
17-Mar-1985	1365
20-Mar-1985	1361
24-Mar-1985	1335
27-Mar-1985	1326
31-Mar-1985	1319
3-Apr-1985	1323
7-Apr-1985	1307
10-Apr-1985	1300
14-Apr-1985	1307
17-Apr-1985	1325
21-Apr-1985	1318
31-Aug-1986	1316
2-Sep-1986	1310
7-Sep-1986	1332
10-Sep-1986	1342
17-Sep-1986	1351
21-Sep-1986	1360
24-Sep-1986	1355
27-Sep-1986	1351
1-Oct-1986	1344
5-Oct-1986	1347
