date	rating
8-mar-1992	1489
17-mar-1992	1478
24-mar-1992	1467
2-abr-1992	1453
7-abr-1992	1464
10-abr-1992	1442
25-fev-1993	1429
5-mar-1993	1414
12-mar-1993	1407
17-mar-1993	1432
23-mar-1993	1425
26-mar-1993	1411
13-mar-1996	1426
22-mar-1996	1451
3-abr-1996	1419
9-abr-1996	1450
16-abr-1996	1439
19-abr-1996	1431
1-mai-1996	1453
8-mai-1996	1443
19-fev-2008	1433
28-fev-2008	1440
19-mar-2008	1465
1-abr-2008	1452
8-abr-2008	1440
16-abr-2008	1428
20-fev-2013	1439
27-fev-2013	1417
5-mar-2013	1409
14-mar-2013	1443
3-abr-2013	1448
10-abr-2013	1441
