date	rating
7-ago-1971	1491
12-ago-1971	1510
15-ago-1971	1510
22-ago-1971	1497
25-ago-1971	1507
29-ago-1971	1514
1-set-1971	1533
8-set-1971	1550
11-set-1971	1549
19-set-1971	1559
25-set-1971	1561
3-out-1971	1538
6-out-1971	1540
9-out-1971	1538
17-out-1971	1545
24-out-1971	1543
30-out-1971	1533
7-nov-1971	1528
14-nov-1971	1534
10-set-1972	1533
13-set-1972	1549
17-set-1972	1555
20-set-1972	1552
23-set-1972	1543
28-set-1972	1570
1-out-1972	1591
5-out-1972	1596
8-out-1972	1588
11-out-1972	1581
15-out-1972	1582
18-out-1972	1593
22-out-1972	1567
25-out-1972	1571
29-out-1972	1562
1-nov-1972	1558
5-nov-1972	1574
8-nov-1972	1589
12-nov-1972	1564
16-nov-1972	1564
19-nov-1972	1552
22-nov-1972	1546
26-nov-1972	1547
30-nov-1972	1540
3-dez-1972	1565
9-dez-1972	1555
13-dez-1972	1539
17-dez-1972	1556
26-ago-1973	1539
29-ago-1973	1541
2-set-1973	1568
5-set-1973	1552
9-set-1973	1552
13-set-1973	1566
16-set-1973	1565
23-set-1973	1577
26-set-1973	1589
27-set-1973	1586
3-out-1973	1575
7-out-1973	1592
14-out-1973	1565
17-out-1973	1561
21-out-1973	1565
27-out-1973	1559
31-out-1973	1558
4-nov-1973	1555
7-nov-1973	1534
10-nov-1973	1555
14-nov-1973	1556
17-nov-1973	1552
25-nov-1973	1550
28-nov-1973	1570
2-dez-1973	1581
8-dez-1973	1553
12-dez-1973	1550
16-dez-1973	1562
13-jan-1974	1568
16-jan-1974	1553
19-jan-1974	1559
24-jan-1974	1549
26-jan-1974	1541
30-jan-1974	1556
2-fev-1974	1569
6-fev-1974	1561
10-fev-1974	1577
9-mar-1974	1573
14-mar-1974	1571
17-mar-1974	1561
21-mar-1974	1576
23-mar-1974	1583
27-mar-1974	1596
30-mar-1974	1593
3-abr-1974	1582
13-abr-1974	1583
20-abr-1974	1568
27-abr-1974	1558
4-mai-1974	1533
12-mai-1974	1514
18-mai-1974	1516
25-mai-1974	1521
2-jun-1974	1527
5-jun-1974	1504
8-jun-1974	1507
12-jun-1974	1514
24-ago-1975	1510
28-ago-1975	1519
3-set-1975	1522
10-set-1975	1517
14-set-1975	1540
17-set-1975	1524
21-set-1975	1527
24-set-1975	1544
28-set-1975	1544
1-out-1975	1542
5-out-1975	1552
9-out-1975	1559
12-out-1975	1576
15-out-1975	1590
19-out-1975	1592
23-out-1975	1615
26-out-1975	1631
30-out-1975	1622
1-nov-1975	1621
5-nov-1975	1620
8-nov-1975	1644
12-nov-1975	1662
16-nov-1975	1676
20-nov-1975	1678
23-nov-1975	1694
26-nov-1975	1684
30-nov-1975	1702
4-dez-1975	1724
7-dez-1975	1714
29-ago-1976	1708
1-set-1976	1715
4-set-1976	1699
7-set-1976	1715
15-set-1976	1707
19-set-1976	1714
22-set-1976	1723
29-set-1976	1730
9-out-1976	1704
13-out-1976	1705
17-out-1976	1714
20-out-1976	1730
24-out-1976	1713
31-out-1976	1716
4-nov-1976	1723
7-nov-1976	1709
10-nov-1976	1689
14-nov-1976	1669
17-nov-1976	1667
24-nov-1976	1683
28-nov-1976	1673
23-out-1977	1669
30-out-1977	1680
2-nov-1977	1690
6-nov-1977	1685
10-nov-1977	1681
13-nov-1977	1670
16-nov-1977	1676
20-nov-1977	1684
27-nov-1977	1675
4-dez-1977	1664
7-dez-1977	1677
14-dez-1977	1686
18-dez-1977	1700
29-jan-1978	1698
1-fev-1978	1697
12-fev-1978	1705
18-fev-1978	1728
23-fev-1978	1739
26-mar-1978	1744
29-mar-1978	1737
2-abr-1978	1767
6-abr-1978	1760
9-abr-1978	1760
12-abr-1978	1764
16-abr-1978	1769
20-abr-1978	1774
23-abr-1978	1780
27-abr-1978	1787
30-abr-1978	1779
7-mai-1978	1784
21-mai-1978	1791
24-mai-1978	1784
28-mai-1978	1783
31-mai-1978	1776
7-jun-1978	1787
10-jun-1978	1796
20-jun-1978	1803
24-jun-1978	1811
2-jul-1978	1825
6-jul-1978	1822
9-jul-1978	1818
13-jul-1978	1820
16-jul-1978	1816
20-jul-1978	1822
23-jul-1978	1816
26-set-1979	1804
30-set-1979	1799
13-out-1979	1802
17-out-1979	1790
21-out-1979	1772
25-out-1979	1781
28-out-1979	1798
31-out-1979	1789
4-nov-1979	1780
7-nov-1979	1787
11-nov-1979	1795
15-nov-1979	1760
18-nov-1979	1770
21-nov-1979	1750
25-nov-1979	1756
28-nov-1979	1738
24-fev-1980	1742
27-fev-1980	1749
2-mar-1980	1741
6-mar-1980	1743
9-mar-1980	1751
16-mar-1980	1736
19-mar-1980	1728
23-mar-1980	1739
30-mar-1980	1716
6-abr-1980	1721
13-abr-1980	1714
16-abr-1980	1702
21-abr-1980	1695
27-abr-1980	1705
4-mai-1980	1706
17-jan-1981	1714
22-jan-1981	1705
25-jan-1981	1705
28-jan-1981	1675
1-fev-1981	1667
4-fev-1981	1674
7-fev-1981	1680
14-fev-1981	1705
21-fev-1981	1709
7-mar-1981	1710
12-mar-1981	1730
15-mar-1981	1747
21-mar-1981	1728
28-mar-1981	1741
4-abr-1981	1708
29-jan-1984	1706
2-fev-1984	1712
5-fev-1984	1722
8-fev-1984	1726
15-fev-1984	1717
18-fev-1984	1715
26-fev-1984	1723
29-fev-1984	1707
11-mar-1984	1700
14-mar-1984	1703
18-mar-1984	1701
21-mar-1984	1691
25-mar-1984	1709
1-abr-1984	1714
27-jan-1985	1708
31-jan-1985	1693
3-fev-1985	1665
6-fev-1985	1641
10-fev-1985	1621
13-fev-1985	1625
24-fev-1985	1641
27-fev-1985	1631
3-mar-1985	1656
6-mar-1985	1635
9-mar-1985	1612
13-mar-1985	1599
17-mar-1985	1620
20-mar-1985	1622
24-mar-1985	1612
27-mar-1985	1605
31-mar-1985	1593
7-abr-1985	1585
10-abr-1985	1571
14-abr-1985	1587
31-ago-1986	1593
4-set-1986	1596
7-set-1986	1612
11-set-1986	1608
14-set-1986	1591
17-set-1986	1609
20-set-1986	1589
1-out-1986	1567
5-out-1986	1575
7-out-1986	1558
23-out-1986	1580
26-out-1986	1585
27-out-1986	1586
5-nov-1986	1573
8-nov-1986	1572
12-nov-1986	1570
16-nov-1986	1587
19-nov-1986	1581
23-nov-1986	1559
26-nov-1986	1560
29-nov-1986	1564
3-dez-1986	1569
10-dez-1986	1571
14-dez-1986	1568
24-jan-1987	1559
28-jan-1987	1578
13-set-1987	1564
20-set-1987	1565
23-set-1987	1553
26-set-1987	1543
4-out-1987	1549
7-out-1987	1556
10-out-1987	1581
17-out-1987	1587
24-out-1987	1591
28-out-1987	1582
31-out-1987	1573
8-nov-1987	1566
11-nov-1987	1582
14-nov-1987	1599
22-nov-1987	1588
4-set-1988	1579
7-set-1988	1571
11-set-1988	1554
18-set-1988	1578
25-set-1988	1585
1-out-1988	1579
9-out-1988	1597
16-out-1988	1613
19-out-1988	1615
23-out-1988	1602
26-out-1988	1584
9-nov-1988	1591
12-nov-1988	1599
16-nov-1988	1586
20-nov-1988	1585
24-nov-1988	1572
27-nov-1988	1589
1-dez-1988	1592
4-dez-1988	1576
7-dez-1988	1568
10-dez-1988	1570
15-dez-1988	1589
18-dez-1988	1578
4-set-1993	1566
11-set-1993	1551
15-set-1993	1560
18-set-1993	1572
22-set-1993	1590
26-set-1993	1577
30-set-1993	1566
6-out-1993	1553
11-out-1993	1540
14-out-1993	1543
16-out-1993	1566
20-out-1993	1561
24-out-1993	1581
27-out-1993	1559
30-jul-2000	1562
6-ago-2000	1559
9-ago-2000	1577
13-ago-2000	1568
16-ago-2000	1575
20-ago-2000	1582
23-ago-2000	1586
27-ago-2000	1575
2-set-2000	1579
6-set-2000	1578
9-set-2000	1572
17-set-2000	1560
24-set-2000	1553
27-set-2000	1567
4-out-2000	1553
7-out-2000	1540
9-out-2000	1533
15-out-2000	1536
21-out-2000	1523
25-out-2000	1510
28-out-2000	1498
5-nov-2000	1490
16-nov-2000	1509
19-nov-2000	1499
2-ago-2001	1507
5-ago-2001	1492
8-ago-2001	1487
11-ago-2001	1479
15-ago-2001	1501
18-ago-2001	1509
25-ago-2001	1503
29-ago-2001	1510
2-set-2001	1529
8-set-2001	1521
