date	rating
19-fev-1967	1522
29-mar-1967	1506
2-abr-1967	1511
18-abr-1967	1492
20-abr-1967	1473
24-abr-1967	1447
28-abr-1967	1448
7-mai-1967	1471
10-mai-1967	1454
14-mai-1967	1485
16-fev-1972	1486
22-fev-1972	1488
24-fev-1972	1472
9-mar-1972	1488
21-mar-1972	1475
23-mar-1972	1457
4-mar-1976	1461
7-mar-1976	1462
11-mar-1976	1446
25-mar-1976	1467
4-abr-1976	1440
7-abr-1976	1426
12-mar-1980	1410
16-mar-1980	1437
19-mar-1980	1436
26-mar-1980	1425
30-mar-1980	1409
2-abr-1980	1428
27-jan-2006	1432
3-fev-2006	1435
10-fev-2006	1453
15-fev-2006	1460
9-mar-2006	1494
21-mar-2006	1484
28-mar-2006	1473
13-abr-2006	1491
26-abr-2006	1479
2-mai-2006	1514
14-fev-2013	1514
21-fev-2013	1516
7-mar-2013	1534
2-abr-2013	1550
9-abr-2013	1566
16-abr-2013	1587
1-mai-2013	1580
16-mai-2013	1602
22-mai-2013	1620
28-mai-2013	1636
2-jul-2013	1617
9-jul-2013	1635
