date	rating
15-ago-1954	1487
22-ago-1954	1483
29-ago-1954	1502
5-set-1954	1485
8-set-1954	1487
12-set-1954	1477
19-set-1954	1468
25-set-1954	1464
2-out-1954	1475
7-out-1954	1470
23-out-1954	1466
31-out-1954	1453
7-nov-1954	1434
21-nov-1954	1423
28-nov-1954	1430
5-dez-1954	1427
12-dez-1954	1443
18-dez-1954	1439
23-dez-1954	1436
2-jan-1955	1448
9-jan-1955	1449
15-jan-1955	1459
23-jan-1955	1458
26-jan-1955	1469
30-jan-1955	1481
6-fev-1955	1504
31-jul-1955	1500
7-ago-1955	1484
14-ago-1955	1478
28-ago-1955	1474
4-set-1955	1485
7-set-1955	1468
11-set-1955	1453
17-set-1955	1460
25-set-1955	1472
28-set-1955	1467
2-out-1955	1469
8-out-1955	1464
16-out-1955	1467
23-out-1955	1468
30-out-1955	1466
6-nov-1955	1479
12-nov-1955	1475
20-nov-1955	1490
26-nov-1955	1480
4-dez-1955	1466
11-dez-1955	1450
18-dez-1955	1463
24-dez-1955	1458
31-dez-1955	1484
8-jan-1956	1496
15-jan-1956	1499
7-out-1956	1493
14-out-1956	1487
17-out-1956	1483
21-out-1956	1484
27-out-1956	1478
1-nov-1956	1473
4-nov-1956	1475
11-nov-1956	1476
15-nov-1956	1495
18-nov-1956	1488
25-nov-1956	1486
2-dez-1956	1485
5-dez-1956	1493
9-dez-1956	1488
12-dez-1956	1483
16-dez-1956	1484
23-dez-1956	1485
30-dez-1956	1475
