date	rating
25-fev-1981	1522
1-mar-1981	1540
5-mar-1981	1530
8-mar-1981	1519
11-mar-1981	1518
15-mar-1981	1519
18-mar-1981	1519
21-mar-1981	1511
25-mar-1981	1500
28-mar-1981	1509
25-abr-1981	1513
29-abr-1981	1516
2-mai-1981	1514
6-mai-1981	1519
9-mai-1981	1529
13-mai-1981	1545
17-mai-1981	1537
20-mai-1981	1527
24-mai-1981	1536
27-mai-1981	1536
30-mai-1981	1529
3-jun-1981	1547
7-jun-1981	1552
14-jun-1981	1550
18-jun-1981	1568
24-jun-1981	1567
28-jun-1981	1550
2-jul-1981	1564
5-jul-1981	1553
12-jul-1981	1555
15-jul-1981	1553
19-jul-1981	1545
22-jul-1981	1548
26-jul-1981	1546
29-jul-1981	1535
9-ago-1981	1553
12-ago-1981	1542
16-ago-1981	1566
19-ago-1981	1554
23-ago-1981	1567
30-ago-1981	1552
2-set-1981	1554
6-set-1981	1533
10-set-1981	1541
13-set-1981	1562
20-set-1981	1573
23-set-1981	1574
27-set-1981	1572
30-set-1981	1574
4-out-1981	1572
7-out-1981	1571
11-out-1981	1560
14-out-1981	1575
15-out-1981	1596
18-out-1981	1604
25-out-1981	1604
4-nov-1981	1605
7-nov-1981	1608
12-nov-1981	1598
15-nov-1981	1609
18-nov-1981	1623
22-nov-1981	1616
17-jan-1982	1633
24-jan-1982	1640
28-jan-1982	1626
31-jan-1982	1631
3-fev-1982	1640
7-fev-1982	1650
10-fev-1982	1654
14-fev-1982	1645
28-fev-1982	1642
7-mar-1982	1645
11-mar-1982	1654
14-mar-1982	1669
17-mar-1982	1678
24-mar-1982	1674
3-jul-1982	1674
9-jul-1982	1667
18-jul-1982	1674
22-jul-1982	1676
25-jul-1982	1671
28-jul-1982	1682
1-ago-1982	1690
4-ago-1982	1677
11-ago-1982	1683
15-ago-1982	1669
18-ago-1982	1649
22-ago-1982	1661
25-ago-1982	1641
28-ago-1982	1653
1-set-1982	1653
5-set-1982	1640
8-set-1982	1650
12-set-1982	1637
19-set-1982	1619
26-set-1982	1609
29-set-1982	1622
3-out-1982	1622
6-out-1982	1605
10-out-1982	1588
13-out-1982	1585
17-out-1982	1583
20-out-1982	1575
24-out-1982	1591
27-out-1982	1594
31-out-1982	1605
3-nov-1982	1603
7-nov-1982	1592
10-nov-1982	1602
13-nov-1982	1596
18-nov-1982	1589
21-nov-1982	1578
27-nov-1982	1587
5-dez-1982	1595
15-mai-1983	1594
19-mai-1983	1599
21-mai-1983	1591
25-mai-1983	1591
1-jun-1983	1594
2-jun-1983	1594
11-jun-1983	1600
15-jun-1983	1579
19-jun-1983	1562
26-jun-1983	1565
29-jun-1983	1559
3-jul-1983	1548
10-jul-1983	1559
17-jul-1983	1578
20-jul-1983	1579
24-jul-1983	1580
31-jul-1983	1578
3-ago-1983	1587
7-ago-1983	1575
14-ago-1983	1576
21-ago-1983	1567
28-ago-1983	1556
4-set-1983	1545
7-set-1983	1537
7-set-1983	1523
21-set-1983	1518
25-set-1983	1535
28-set-1983	1538
