date	rating
26-set-1979	1484
30-set-1979	1497
3-out-1979	1500
7-out-1979	1487
10-out-1979	1499
21-out-1979	1517
24-out-1979	1504
28-out-1979	1502
4-nov-1979	1513
7-nov-1979	1512
11-nov-1979	1508
14-nov-1979	1496
18-nov-1979	1510
22-nov-1979	1508
25-nov-1979	1510
28-nov-1979	1488
24-fev-1980	1502
2-mar-1980	1501
5-mar-1980	1478
9-mar-1980	1468
12-mar-1980	1469
16-mar-1980	1458
19-mar-1980	1446
23-mar-1980	1457
30-mar-1980	1454
28-fev-1982	1473
7-mar-1982	1460
11-mar-1982	1445
14-mar-1982	1451
17-mar-1982	1456
25-mar-1982	1450
