date	rating
16-mar-1930	1499
23-mar-1930	1518
30-mar-1930	1524
6-abr-1930	1522
13-abr-1930	1536
20-abr-1930	1553
3-mai-1930	1561
11-mai-1930	1563
17-mai-1930	1563
25-mai-1930	1559
1-jun-1930	1570
8-jun-1930	1575
17-jun-1930	1591
31-ago-1930	1602
7-set-1930	1611
14-set-1930	1627
21-set-1930	1631
28-set-1930	1625
5-out-1930	1636
12-out-1930	1647
23-nov-1930	1648
30-nov-1930	1662
7-dez-1930	1666
14-dez-1930	1678
21-dez-1930	1681
28-dez-1930	1684
29-mar-1931	1684
12-abr-1931	1689
1-mai-1931	1683
10-mai-1931	1679
16-mai-1931	1683
24-mai-1931	1687
31-mai-1931	1694
7-jun-1931	1697
14-jun-1931	1692
21-jun-1931	1699
28-jun-1931	1701
20-set-1931	1712
27-set-1931	1718
18-out-1931	1721
25-out-1931	1737
31-out-1931	1742
8-nov-1931	1746
15-nov-1931	1754
22-nov-1931	1761
29-nov-1931	1756
6-dez-1931	1778
13-dez-1931	1785
20-dez-1931	1776
27-dez-1931	1779
3-jan-1932	1783
10-jan-1932	1797
1-mai-1932	1804
8-mai-1932	1794
15-mai-1932	1775
29-mai-1932	1791
5-jun-1932	1797
19-jun-1932	1806
26-jun-1932	1798
3-jul-1932	1802
20-nov-1932	1805
4-dez-1932	1811
18-dez-1932	1812
14-mai-1933	1804
21-mai-1933	1807
28-mai-1933	1810
11-jun-1933	1805
29-jun-1933	1810
9-jul-1933	1820
23-jul-1933	1829
27-ago-1933	1833
10-set-1933	1844
24-set-1933	1851
1-out-1933	1852
22-out-1933	1862
12-nov-1933	1852
15-nov-1933	1854
1-abr-1934	1857
15-abr-1934	1851
29-abr-1934	1856
6-mai-1934	1858
27-mai-1934	1865
3-jun-1934	1852
17-jun-1934	1855
24-jun-1934	1856
8-jul-1934	1851
22-jul-1934	1853
29-jul-1934	1858
5-ago-1934	1860
26-ago-1934	1854
2-set-1934	1866
