date	rating
24-jul-1991	1502
27-jul-1991	1488
31-jul-1991	1501
4-ago-1991	1512
7-ago-1991	1523
10-ago-1991	1530
14-ago-1991	1529
18-ago-1991	1538
21-ago-1991	1554
25-ago-1991	1538
1-set-1991	1536
4-set-1991	1549
8-set-1991	1547
15-set-1991	1562
18-set-1991	1573
22-set-1991	1572
29-set-1991	1553
2-out-1991	1550
3-out-1991	1534
6-out-1991	1521
9-out-1991	1530
13-out-1991	1529
16-out-1991	1530
19-out-1991	1521
23-out-1991	1522
26-out-1991	1522
4-jul-1992	1518
12-jul-1992	1511
19-jul-1992	1502
25-jul-1992	1497
2-ago-1992	1517
9-ago-1992	1519
16-ago-1992	1519
19-ago-1992	1534
23-ago-1992	1518
30-ago-1992	1521
2-set-1992	1525
6-set-1992	1541
9-set-1992	1537
20-set-1992	1533
23-set-1992	1561
27-set-1992	1560
1-out-1992	1565
4-out-1992	1555
7-out-1992	1549
11-out-1992	1548
14-out-1992	1543
18-out-1992	1543
21-out-1992	1538
24-out-1992	1524
28-out-1992	1515
1-nov-1992	1507
24-jan-1993	1503
31-jan-1993	1503
3-fev-1993	1505
7-fev-1993	1507
10-fev-1993	1506
14-fev-1993	1527
17-fev-1993	1508
21-fev-1993	1521
28-fev-1993	1519
3-mar-1993	1530
7-mar-1993	1519
10-mar-1993	1530
14-mar-1993	1541
21-mar-1993	1535
24-mar-1993	1517
28-mar-1993	1505
31-mar-1993	1497
4-abr-1993	1506
7-abr-1993	1490
11-abr-1993	1490
14-abr-1993	1471
18-abr-1993	1490
25-abr-1993	1501
28-abr-1993	1485
2-mai-1993	1477
9-mai-1993	1492
