date	rating
10-Sep-1972	1478
13-Sep-1972	1473
17-Sep-1972	1482
20-Sep-1972	1484
24-Sep-1972	1473
27-Sep-1972	1458
1-Oct-1972	1453
4-Oct-1972	1461
8-Oct-1972	1452
11-Oct-1972	1446
15-Oct-1972	1428
18-Oct-1972	1418
22-Oct-1972	1403
25-Oct-1972	1397
29-Oct-1972	1393
1-Nov-1972	1426
5-Nov-1972	1420
8-Nov-1972	1415
12-Nov-1972	1419
16-Nov-1972	1444
19-Nov-1972	1436
22-Nov-1972	1431
26-Nov-1972	1435
29-Nov-1972	1427
3-Dec-1972	1422
26-Aug-1973	1407
29-Aug-1973	1403
2-Sep-1973	1389
5-Sep-1973	1377
9-Sep-1973	1396
12-Sep-1973	1392
16-Sep-1973	1383
23-Sep-1973	1376
26-Sep-1973	1373
30-Sep-1973	1366
3-Oct-1973	1360
7-Oct-1973	1379
14-Oct-1973	1389
17-Oct-1973	1396
21-Oct-1973	1381
24-Oct-1973	1406
27-Oct-1973	1412
31-Oct-1973	1402
4-Nov-1973	1406
11-Nov-1973	1424
14-Nov-1973	1416
18-Nov-1973	1421
25-Nov-1973	1408
28-Nov-1973	1397
2-Dec-1973	1386
8-Dec-1973	1376
12-Dec-1973	1371
16-Dec-1973	1358
20-Aug-1975	1368
24-Aug-1975	1364
27-Aug-1975	1357
3-Sep-1975	1355
10-Sep-1975	1363
14-Sep-1975	1367
17-Sep-1975	1363
21-Sep-1975	1367
24-Sep-1975	1360
28-Sep-1975	1377
1-Oct-1975	1367
19-Oct-1975	1359
22-Oct-1975	1355
26-Oct-1975	1376
29-Oct-1975	1368
1-Nov-1975	1362
16-Oct-1977	1378
19-Oct-1977	1364
23-Oct-1977	1362
30-Oct-1977	1361
2-Nov-1977	1351
6-Nov-1977	1344
10-Nov-1977	1325
16-Nov-1977	1322
20-Nov-1977	1341
27-Nov-1977	1335
1-Dec-1977	1338
4-Dec-1977	1330
10-Dec-1977	1323
14-Dec-1977	1328
18-Dec-1977	1320
26-Mar-1978	1326
30-Mar-1978	1317
2-Apr-1978	1314
6-Apr-1978	1311
12-Apr-1978	1309
16-Apr-1978	1318
20-Apr-1978	1335
23-Apr-1978	1325
30-Apr-1978	1330
11-May-1978	1327
14-May-1978	1318
21-May-1978	1310
28-May-1978	1302
30-May-1978	1289
13-Jun-1978	1282
17-Jun-1978	1272
23-Sep-1979	1262
26-Sep-1979	1267
6-Oct-1979	1274
14-Oct-1979	1283
17-Oct-1979	1276
21-Oct-1979	1302
24-Oct-1979	1329
28-Oct-1979	1335
4-Nov-1979	1355
22-Jan-1983	1359
26-Jan-1983	1374
2-Feb-1983	1407
6-Feb-1983	1416
9-Feb-1983	1399
23-Feb-1983	1391
26-Feb-1983	1386
6-Mar-1983	1408
10-Mar-1983	1402
13-Mar-1983	1395
16-Mar-1983	1428
19-Mar-1983	1419
30-Mar-1983	1415
3-Apr-1983	1405
27-Jan-1985	1418
30-Jan-1985	1407
3-Feb-1985	1405
6-Feb-1985	1404
10-Feb-1985	1396
13-Feb-1985	1388
24-Feb-1985	1382
27-Feb-1985	1397
3-Mar-1985	1386
6-Mar-1985	1373
10-Mar-1985	1363
17-Mar-1985	1341
20-Mar-1985	1330
24-Mar-1985	1356
27-Mar-1985	1357
31-Mar-1985	1363
3-Apr-1985	1370
7-Apr-1985	1367
10-Apr-1985	1350
14-Apr-1985	1346
18-Apr-1985	1336
21-Apr-1985	1330
31-Aug-1986	1320
2-Sep-1986	1341
11-Sep-1986	1336
14-Sep-1986	1330
17-Sep-1986	1329
22-Sep-1986	1347
25-Sep-1986	1357
29-Sep-1986	1365
3-Oct-1986	1382
5-Oct-1986	1374
