date	rating
18-jan-2007	1496
22-jan-2007	1491
25-jan-2007	1476
28-jan-2007	1480
4-fev-2007	1480
7-fev-2007	1491
11-fev-2007	1480
17-fev-2007	1492
25-fev-2007	1486
28-fev-2007	1474
4-mar-2007	1474
7-mar-2007	1465
10-mar-2007	1470
18-mar-2007	1463
25-mar-2007	1465
28-mar-2007	1479
31-mar-2007	1484
8-abr-2007	1499
11-abr-2007	1503
17-jan-2008	1495
20-jan-2008	1511
24-jan-2008	1501
27-jan-2008	1520
30-jan-2008	1524
3-fev-2008	1505
7-fev-2008	1498
10-fev-2008	1515
17-fev-2008	1516
20-fev-2008	1504
26-fev-2008	1497
1-mar-2008	1512
9-mar-2008	1515
12-mar-2008	1505
15-mar-2008	1494
22-mar-2008	1485
27-mar-2008	1480
30-mar-2008	1472
6-abr-2008	1465
17-jan-2010	1466
20-jan-2010	1459
24-jan-2010	1446
28-jan-2010	1448
31-jan-2010	1456
3-fev-2010	1456
6-fev-2010	1448
13-fev-2010	1463
17-fev-2010	1458
20-fev-2010	1449
27-fev-2010	1454
3-mar-2010	1444
8-mar-2010	1440
14-mar-2010	1431
20-mar-2010	1444
25-mar-2010	1437
28-mar-2010	1426
3-abr-2010	1439
7-abr-2010	1435
