date	rating
22-May-1921	1480
29-May-1921	1474
5-Jun-1921	1486
12-Jun-1921	1478
19-Jun-1921	1468
26-Jun-1921	1466
3-Jul-1921	1472
10-Jul-1921	1482
24-Jul-1921	1494
31-Jul-1921	1489
7-Aug-1921	1474
11-Sep-1921	1465
18-Sep-1921	1473
2-Oct-1921	1484
9-Oct-1921	1496
16-Oct-1921	1490
23-Oct-1921	1485
30-Oct-1921	1492
5-Nov-1921	1501
13-Nov-1921	1502
26-Nov-1921	1488
24-Dec-1921	1486
30-Apr-1922	1494
14-May-1922	1494
21-May-1922	1506
28-May-1922	1516
4-Jun-1922	1512
25-Jun-1922	1524
2-Jul-1922	1531
30-Jul-1922	1538
8-Oct-1922	1537
12-Nov-1922	1554
19-Nov-1922	1570
26-Nov-1922	1577
10-Dec-1922	1573
31-Dec-1922	1569
7-Jan-1923	1585
14-Jan-1923	1590
25-Jan-1923	1586
3-Feb-1923	1594
22-Apr-1923	1585
6-May-1923	1582
20-May-1923	1590
3-Jun-1923	1587
10-Jun-1923	1603
17-Jun-1923	1609
8-Jul-1923	1607
22-Jul-1923	1602
29-Jul-1923	1610
5-Aug-1923	1586
12-Aug-1923	1590
26-Aug-1923	1607
2-Sep-1923	1601
9-Sep-1923	1589
16-Sep-1923	1600
4-Oct-1923	1617
21-Oct-1923	1621
28-Oct-1923	1628
21-Apr-1924	1634
3-May-1924	1622
11-May-1924	1602
1-Jun-1924	1607
8-Jun-1924	1595
19-Jun-1924	1619
29-Jun-1924	1617
24-Aug-1924	1622
14-Sep-1924	1626
28-Sep-1924	1618
12-Oct-1924	1631
26-Oct-1924	1626
23-Nov-1924	1621
30-Nov-1924	1617
14-Dec-1924	1623
28-Dec-1924	1617
18-Jan-1925	1605
21-Apr-1925	1603
10-May-1925	1593
17-May-1925	1575
31-May-1925	1570
14-Jun-1925	1579
21-Jun-1925	1573
4-Oct-1925	1596
11-Oct-1925	1601
18-Oct-1925	1605
25-Oct-1925	1611
16-Mar-1930	1604
23-Mar-1930	1590
30-Mar-1930	1562
6-Apr-1930	1550
20-Apr-1930	1556
27-Apr-1930	1571
3-May-1930	1557
11-May-1930	1552
17-May-1930	1552
25-May-1930	1537
8-Jun-1930	1558
3-Aug-1930	1543
17-Aug-1930	1553
24-Aug-1930	1555
31-Aug-1930	1569
14-Sep-1930	1552
21-Sep-1930	1537
28-Sep-1930	1518
5-Oct-1930	1538
11-Oct-1930	1532
15-Nov-1930	1530
23-Nov-1930	1541
7-Dec-1930	1554
14-Dec-1930	1567
21-Dec-1930	1579
4-Jan-1931	1574
29-Mar-1931	1555
5-Apr-1931	1563
12-Apr-1931	1573
30-Apr-1931	1560
10-May-1931	1553
24-May-1931	1563
31-May-1931	1560
7-Jun-1931	1566
14-Jun-1931	1555
28-Jun-1931	1539
20-Sep-1931	1528
27-Sep-1931	1514
4-Oct-1931	1523
18-Oct-1931	1530
24-Oct-1931	1508
1-Nov-1931	1504
8-Nov-1931	1529
15-Nov-1931	1536
22-Nov-1931	1529
29-Nov-1931	1516
6-Dec-1931	1526
13-Dec-1931	1537
20-Dec-1931	1518
27-Dec-1931	1521
3-Jan-1932	1517
10-Jan-1932	1528
1-May-1932	1521
8-May-1932	1506
15-May-1932	1530
29-May-1932	1551
5-Jun-1932	1545
19-Jun-1932	1524
26-Jun-1932	1533
6-Nov-1932	1518
27-Nov-1932	1503
11-Dec-1932	1509
18-Dec-1932	1494
14-May-1933	1482
21-May-1933	1468
28-May-1933	1456
11-Jun-1933	1453
29-Jun-1933	1448
9-Jul-1933	1423
29-Jul-1933	1403
27-Aug-1933	1399
7-Sep-1933	1395
24-Sep-1933	1378
15-Oct-1933	1376
22-Oct-1933	1365
5-Nov-1933	1358
12-Nov-1933	1350
1-Apr-1934	1348
8-Apr-1934	1346
15-Apr-1934	1340
22-Apr-1934	1325
13-May-1934	1321
20-May-1934	1346
3-Jun-1934	1340
24-Jun-1934	1339
1-Jul-1934	1337
8-Jul-1934	1332
22-Jul-1934	1323
12-Aug-1934	1318
19-Aug-1934	1308
2-Sep-1934	1305
