date	rating
4-Mar-1967	1483
11-Mar-1967	1466
15-Mar-1967	1464
25-Mar-1967	1487
28-Mar-1967	1506
1-May-1967	1495
10-May-1967	1479
16-May-1967	1465
6-Apr-1977	1449
6-May-1977	1436
17-May-1977	1417
24-May-1977	1422
27-May-1977	1410
2-Jun-1977	1412
15-May-1985	1399
7-Jul-1985	1387
13-Jul-1985	1356
19-Jul-1985	1341
31-Jul-1985	1336
20-Feb-1991	1327
6-Mar-1991	1364
12-Mar-1991	1370
19-Mar-1991	1360
25-Mar-1991	1344
27-Mar-1991	1334
26-Feb-1992	1339
10-Mar-1992	1335
13-Mar-1992	1345
25-Mar-1992	1329
31-Mar-1992	1326
7-Apr-1992	1318
15-Feb-2001	1311
27-Feb-2001	1304
14-Mar-2001	1299
22-Mar-2001	1292
11-Apr-2001	1288
2-May-2001	1298
