date	rating
10-fev-1962	1485
14-fev-1962	1470
17-fev-1962	1457
20-fev-1962	1474
24-jan-1968	1491
28-jan-1968	1517
15-fev-1968	1520
19-fev-1968	1543
24-fev-1968	1538
2-mar-1968	1542
17-mar-1968	1560
20-mar-1968	1555
25-mar-1968	1562
28-mar-1968	1576
1-abr-1968	1572
10-abr-1968	1578
26-fev-1969	1575
1-mar-1969	1588
3-mar-1969	1608
6-mar-1969	1603
11-mar-1969	1573
13-mar-1969	1556
18-mar-1969	1555
20-mar-1969	1540
13-fev-1971	1538
23-fev-1971	1521
1-mar-1971	1555
17-mar-1971	1560
25-mar-1971	1526
31-mar-1971	1498
2-fev-1973	1502
17-fev-1973	1518
22-fev-1973	1522
2-mar-1973	1539
16-mar-1973	1525
20-mar-1973	1500
17-fev-1974	1477
3-mar-1974	1480
6-mar-1974	1453
13-mar-1974	1434
20-mar-1974	1416
3-abr-1974	1436
5-jul-1978	1439
12-jul-1978	1418
16-jul-1978	1431
21-jul-1978	1413
25-jul-1978	1427
1-ago-1978	1454
16-fev-1980	1456
11-mar-1980	1450
14-mar-1980	1433
9-abr-1980	1423
9-abr-1980	1417
15-abr-1980	1412
25-abr-1980	1436
18-mar-1981	1454
24-mar-1981	1472
27-mar-1981	1473
7-abr-1981	1488
10-abr-1981	1489
14-abr-1981	1464
11-mar-1984	1482
21-mar-1984	1463
25-mar-1984	1481
1-abr-1984	1458
4-abr-1984	1472
8-abr-1984	1499
11-mai-1984	1485
12-fev-1989	1504
23-fev-1989	1526
2-mar-1989	1517
8-mar-1989	1496
21-mar-1989	1488
24-mar-1989	1477
11-abr-1990	1476
17-abr-1990	1479
24-abr-1990	1469
4-mai-1990	1496
8-mai-1990	1477
12-mai-1990	1461
26-fev-1992	1456
17-mar-1992	1451
20-mar-1992	1442
25-mar-1992	1459
3-abr-1992	1495
10-abr-1992	1481
30-abr-1992	1471
4-mai-1992	1461
10-fev-1993	1443
16-fev-1993	1430
2-mar-1993	1465
10-mar-1993	1470
16-mar-1993	1493
19-mar-1993	1506
7-abr-1993	1487
14-abr-1993	1525
21-abr-1993	1534
28-abr-1993	1527
8-fev-1995	1547
21-fev-1995	1544
24-fev-1995	1548
8-mar-1995	1542
17-mar-1995	1566
24-mar-1995	1584
26-abr-1995	1578
4-mai-1995	1595
26-jul-1995	1567
2-ago-1995	1566
13-mar-1996	1541
26-mar-1996	1545
2-abr-1996	1543
7-abr-1996	1558
13-abr-1996	1561
17-abr-1996	1559
1-mai-1996	1582
8-mai-1996	1565
19-fev-1997	1560
28-fev-1997	1582
7-mar-1997	1605
12-mar-1997	1599
11-abr-1997	1590
15-abr-1997	1577
23-abr-1997	1582
8-mai-1997	1601
21-mai-1997	1587
28-mai-1997	1617
30-jul-1997	1641
6-ago-1997	1645
13-ago-1997	1633
4-mar-1998	1611
11-mar-1998	1591
19-mar-1998	1582
25-mar-1998	1592
2-abr-1998	1580
8-abr-1998	1577
24-fev-1999	1559
3-mar-1999	1561
11-mar-1999	1564
17-mar-1999	1564
25-mar-1999	1567
7-abr-1999	1569
22-fev-2000	1552
7-mar-2000	1575
14-mar-2000	1562
23-mar-2000	1566
19-abr-2000	1554
22-fev-2001	1543
1-mar-2001	1524
13-mar-2001	1520
10-abr-2001	1513
18-abr-2001	1533
1-mai-2001	1508
6-fev-2002	1496
26-fev-2002	1487
5-mar-2002	1462
14-mar-2002	1452
20-mar-2002	1444
11-abr-2002	1435
13-fev-2003	1422
19-fev-2003	1444
12-mar-2003	1452
18-mar-2003	1444
27-mar-2003	1475
15-abr-2003	1465
10-fev-2004	1507
26-fev-2004	1514
9-mar-2004	1534
16-mar-2004	1522
23-mar-2004	1560
13-abr-2004	1543
4-mai-2004	1539
12-mai-2004	1534
16-fev-2005	1554
2-mar-2005	1544
8-mar-2005	1557
14-abr-2005	1553
27-abr-2005	1542
4-mai-2005	1518
10-fev-2006	1500
21-fev-2006	1491
8-mar-2006	1511
15-mar-2006	1530
4-abr-2006	1534
13-abr-2006	1517
25-jan-2007	1504
31-jan-2007	1529
29-jan-2009	1549
4-fev-2009	1538
14-fev-2013	1527
28-fev-2013	1550
6-mar-2013	1557
12-mar-2013	1564
9-abr-2013	1538
18-abr-2013	1559
