date	rating
26-abr-1925	1493
3-mai-1925	1476
10-mai-1925	1470
17-mai-1925	1463
24-mai-1925	1453
31-mai-1925	1449
7-jun-1925	1445
14-jun-1925	1452
28-jun-1925	1466
5-jul-1925	1480
12-jul-1925	1490
11-out-1925	1485
18-out-1925	1486
25-out-1925	1468
1-nov-1925	1465
22-nov-1925	1456
6-dez-1925	1450
13-dez-1925	1445
4-abr-1926	1455
18-abr-1926	1449
21-abr-1926	1442
2-mai-1926	1439
16-mai-1926	1454
23-mai-1926	1475
30-mai-1926	1468
6-jun-1926	1466
12-jun-1926	1465
13-jun-1926	1474
27-jun-1926	1487
4-jul-1926	1482
18-jul-1926	1489
25-jul-1926	1475
1-ago-1926	1487
8-ago-1926	1476
15-ago-1926	1470
29-ago-1926	1465
15-abr-1928	1462
22-abr-1928	1448
29-abr-1928	1442
6-mai-1928	1440
13-mai-1928	1436
20-mai-1928	1434
27-mai-1928	1432
3-jun-1928	1418
10-jun-1928	1413
17-jun-1928	1407
8-jul-1928	1405
5-ago-1928	1402
19-ago-1928	1395
26-ago-1928	1403
9-set-1928	1397
23-set-1928	1424
23-set-1928	1432
7-out-1928	1430
12-out-1928	1423
21-out-1928	1437
7-abr-1929	1434
14-abr-1929	1432
21-abr-1929	1428
28-abr-1929	1416
5-mai-1929	1409
26-mai-1929	1407
2-jun-1929	1402
9-jun-1929	1410
16-jun-1929	1412
14-jul-1929	1409
21-jul-1929	1406
28-jul-1929	1403
4-ago-1929	1432
11-ago-1929	1460
18-ago-1929	1475
22-set-1929	1471
26-set-1929	1477
6-out-1929	1473
20-out-1929	1458
27-out-1929	1475
6-abr-1930	1466
13-abr-1930	1463
20-abr-1930	1492
27-abr-1930	1501
4-mai-1930	1523
18-mai-1930	1518
25-mai-1930	1542
1-jun-1930	1545
8-jun-1930	1527
14-set-1930	1522
21-set-1930	1517
28-set-1930	1535
5-out-1930	1526
12-out-1930	1507
19-out-1930	1512
9-nov-1930	1519
20-nov-1930	1546
23-nov-1930	1530
30-nov-1930	1518
7-dez-1930	1508
