date	rating
19-mai-1983	1488
21-mai-1983	1500
29-mai-1983	1502
2-jun-1983	1496
11-jun-1983	1497
15-jun-1983	1509
22-jun-1983	1513
26-jun-1983	1504
3-jul-1983	1506
6-jul-1983	1518
10-jul-1983	1543
13-jul-1983	1533
16-jul-1983	1533
20-jul-1983	1535
24-jul-1983	1526
27-jul-1983	1533
31-jul-1983	1534
3-ago-1983	1525
7-ago-1983	1541
13-ago-1983	1532
21-ago-1983	1519
28-ago-1983	1514
4-set-1983	1525
7-set-1983	1543
10-set-1983	1545
18-set-1983	1549
21-set-1983	1551
25-set-1983	1561
28-set-1983	1545
1-out-1983	1546
9-out-1983	1564
12-out-1983	1554
16-out-1983	1566
19-out-1983	1561
23-out-1983	1548
26-out-1983	1562
30-out-1983	1553
6-nov-1983	1544
1-jul-1984	1542
5-jul-1984	1535
8-jul-1984	1528
11-jul-1984	1527
15-jul-1984	1519
22-jul-1984	1511
26-jul-1984	1517
29-jul-1984	1510
1-ago-1984	1503
5-ago-1984	1489
12-ago-1984	1491
15-ago-1984	1497
19-ago-1984	1491
22-ago-1984	1491
26-ago-1984	1479
2-set-1984	1482
9-set-1984	1496
13-set-1984	1489
16-set-1984	1506
19-set-1984	1489
22-set-1984	1486
26-set-1984	1490
30-set-1984	1494
7-out-1984	1487
14-out-1984	1496
17-out-1984	1490
21-out-1984	1494
28-out-1984	1508
31-out-1984	1502
4-nov-1984	1493
7-nov-1984	1511
11-nov-1984	1509
15-nov-1984	1502
18-nov-1984	1512
21-nov-1984	1515
25-nov-1984	1527
28-nov-1984	1514
2-dez-1984	1505
24-jan-1993	1515
31-jan-1993	1514
3-fev-1993	1519
7-fev-1993	1530
10-fev-1993	1512
14-fev-1993	1504
17-fev-1993	1522
21-fev-1993	1512
28-fev-1993	1525
3-mar-1993	1523
7-mar-1993	1512
10-mar-1993	1513
14-mar-1993	1512
21-mar-1993	1497
24-mar-1993	1485
28-mar-1993	1492
31-mar-1993	1504
4-abr-1993	1492
7-abr-1993	1496
11-abr-1993	1495
14-abr-1993	1505
18-abr-1993	1518
25-abr-1993	1515
28-abr-1993	1514
2-mai-1993	1504
9-mai-1993	1494
