date	rating
26-ago-1973	1507
29-ago-1973	1513
2-set-1973	1525
5-set-1973	1543
9-set-1973	1550
12-set-1973	1554
16-set-1973	1571
22-set-1973	1570
26-set-1973	1566
30-set-1973	1551
3-out-1973	1568
7-out-1973	1557
14-out-1973	1550
17-out-1973	1535
21-out-1973	1535
24-out-1973	1526
27-out-1973	1517
4-nov-1973	1533
7-nov-1973	1544
11-nov-1973	1557
14-nov-1973	1557
18-nov-1973	1568
25-nov-1973	1569
28-nov-1973	1555
2-dez-1973	1565
8-dez-1973	1567
12-dez-1973	1580
16-dez-1973	1560
13-jan-1974	1581
16-jan-1974	1583
20-jan-1974	1570
23-jan-1974	1563
27-jan-1974	1551
30-jan-1974	1553
3-fev-1974	1545
6-fev-1974	1530
10-fev-1974	1536
10-mar-1974	1551
13-mar-1974	1539
17-mar-1974	1542
23-mar-1974	1527
27-mar-1974	1549
30-mar-1974	1539
6-abr-1974	1532
14-abr-1974	1558
20-abr-1974	1556
27-abr-1974	1541
4-mai-1974	1558
8-mai-1974	1555
11-mai-1974	1552
15-mai-1974	1544
18-mai-1974	1534
25-mai-1974	1537
2-jun-1974	1558
9-jun-1974	1573
13-jun-1974	1581
20-ago-1975	1579
24-ago-1975	1566
31-ago-1975	1583
3-set-1975	1585
7-set-1975	1596
10-set-1975	1581
21-set-1975	1572
24-set-1975	1564
1-out-1975	1581
5-out-1975	1598
9-out-1975	1604
12-out-1975	1583
15-out-1975	1574
19-out-1975	1555
22-out-1975	1558
26-out-1975	1552
29-out-1975	1571
1-nov-1975	1573
6-nov-1975	1565
9-nov-1975	1576
23-set-1979	1570
27-set-1979	1568
3-out-1979	1549
6-out-1979	1546
14-out-1979	1536
20-out-1979	1547
25-out-1979	1517
28-out-1979	1498
3-nov-1979	1480
23-jan-1983	1461
30-jan-1983	1483
2-fev-1983	1500
6-fev-1983	1499
9-fev-1983	1490
19-fev-1983	1476
27-fev-1983	1496
6-mar-1983	1510
13-mar-1983	1503
16-mar-1983	1503
19-mar-1983	1494
23-mar-1983	1488
26-mar-1983	1475
30-mar-1983	1466
